Symbol,AnnRet,AnnVol,Sharpe,MaxDD
6B_FRONT_CALENDAR,0.0,0.0,,0.0
6E_FRONT_CALENDAR,-0.0006060292033935877,0.006227654227541411,-0.09423038195506274,-0.018235114711583456
6J_FRONT_CALENDAR,0.0017948464041126488,0.0038760746094390407,0.4645721336348951,-0.0018924145165366557
CL_FRONT_VOLUME,0.04436061113502365,0.14434570026829752,0.37279347686662323,-0.21926820417403925
ES_FRONT_CALENDAR_2D,-0.01380874545979438,0.06716870437915731,-0.1733147150199924,-0.20809725998231965
GC_FRONT_VOLUME,0.030842185524716292,0.06673169042013892,0.48868063985227883,-0.1356067725160105
NQ_FRONT_CALENDAR_2D,-0.0417784092263237,0.09280653259012772,-0.4131228356765803,-0.3455187574103955
RTY_FRONT_CALENDAR_2D,0.0,0.0,,0.0
SR3_FRONT_CALENDAR,0.0,0.0,,0.0
UB_FRONT_VOLUME,0.002737016001349568,0.09205508357290502,0.07570379191301019,-0.17888750586667368
ZF_FRONT_VOLUME,0.013038635089151596,0.026813857961199915,0.4965278647313203,-0.056956965153073025
ZN_FRONT_VOLUME,0.014829618566906122,0.028250021532849206,0.5352028757801954,-0.03449885009054221
ZT_FRONT_VOLUME,0.008081983188581887,0.01307624655021101,0.6221243080302907,-0.024543447622923265
