date,instrument,weight
2020-12-11,GC_FRONT_VOLUME,-0.15878135
2020-12-11,NQ_FRONT_CALENDAR_2D,0.07813270
2020-12-11,RTY_FRONT_CALENDAR_2D,0.06163895
2020-12-11,SR3_FRONT_CALENDAR,-0.14781671
2020-12-11,UB_FRONT_VOLUME,-0.18650141
2020-12-11,ZF_FRONT_VOLUME,-0.24973763
2020-12-11,ZN_FRONT_VOLUME,-0.72395998
2020-12-11,ZT_FRONT_VOLUME,-0.19682721
2020-12-18,6B_FRONT_CALENDAR,0.09272683
2020-12-18,6E_FRONT_CALENDAR,0.19330172
2020-12-18,6J_FRONT_CALENDAR,0.24284651
2020-12-18,CL_FRONT_VOLUME,0.04766511
2020-12-18,ES_FRONT_CALENDAR_2D,0.10417780
2020-12-18,GC_FRONT_VOLUME,-0.11168220
2020-12-18,NQ_FRONT_CALENDAR_2D,0.08733361
2020-12-18,RTY_FRONT_CALENDAR_2D,0.08710714
2020-12-18,SR3_FRONT_CALENDAR,-0.21693578
2020-12-18,UB_FRONT_VOLUME,-0.24844249
2020-12-18,ZF_FRONT_VOLUME,-0.27028024
2020-12-18,ZN_FRONT_VOLUME,-0.76642375
2020-12-18,ZT_FRONT_VOLUME,-0.12496527
2020-12-25,6B_FRONT_CALENDAR,0.08072545
2020-12-25,6E_FRONT_CALENDAR,0.16630313
2020-12-25,6J_FRONT_CALENDAR,0.20822097
2020-12-25,CL_FRONT_VOLUME,0.04226813
2020-12-25,ES_FRONT_CALENDAR_2D,0.09034085
2020-12-25,GC_FRONT_VOLUME,-0.09287746
2020-12-25,NQ_FRONT_CALENDAR_2D,0.07603028
2020-12-25,RTY_FRONT_CALENDAR_2D,0.14171578
2020-12-25,SR3_FRONT_CALENDAR,-0.19809558
2020-12-25,UB_FRONT_VOLUME,-0.31164349
2020-12-25,ZF_FRONT_VOLUME,-0.24401369
2020-12-25,ZN_FRONT_VOLUME,-0.64803275
2020-12-25,ZT_FRONT_VOLUME,-0.17686909
2021-01-01,6B_FRONT_CALENDAR,0.06655298
2021-01-01,6E_FRONT_CALENDAR,0.13838032
2021-01-01,6J_FRONT_CALENDAR,0.17612343
2021-01-01,CL_FRONT_VOLUME,0.03801777
2021-01-01,ES_FRONT_CALENDAR_2D,0.07843013
2021-01-01,GC_FRONT_VOLUME,-0.08374937
2021-01-01,NQ_FRONT_CALENDAR_2D,0.06636898
2021-01-01,RTY_FRONT_CALENDAR_2D,0.19637488
2021-01-01,SR3_FRONT_CALENDAR,-0.20266822
2021-01-01,UB_FRONT_VOLUME,-0.38652052
2021-01-01,ZF_FRONT_VOLUME,-0.19109801
2021-01-01,ZN_FRONT_VOLUME,-0.58247873
2021-01-01,ZT_FRONT_VOLUME,-0.14002230
2021-01-08,6B_FRONT_CALENDAR,0.09490588
2021-01-08,6E_FRONT_CALENDAR,0.13313632
2021-01-08,6J_FRONT_CALENDAR,0.17026791
2021-01-08,CL_FRONT_VOLUME,0.05004282
2021-01-08,ES_FRONT_CALENDAR_2D,0.09580367
2021-01-08,GC_FRONT_VOLUME,-0.08483943
2021-01-08,NQ_FRONT_CALENDAR_2D,0.07671297
2021-01-08,RTY_FRONT_CALENDAR_2D,0.16528975
2021-01-08,SR3_FRONT_CALENDAR,-0.13968067
2021-01-08,UB_FRONT_VOLUME,-0.34646984
2021-01-08,ZF_FRONT_VOLUME,-0.34020497
2021-01-08,ZN_FRONT_VOLUME,-0.62586171
