date,instrument,weight
2020-12-11,GC_FRONT_VOLUME,-0.16715685
2020-12-11,NQ_FRONT_CALENDAR_2D,0.08225410
2020-12-11,RTY_FRONT_CALENDAR_2D,0.06489032
2020-12-11,SR3_FRONT_CALENDAR,-0.15561384
2020-12-11,UB_FRONT_VOLUME,-0.19633911
2020-12-11,ZF_FRONT_VOLUME,-0.26291096
2020-12-11,ZN_FRONT_VOLUME,-0.76214789
2020-12-11,ZT_FRONT_VOLUME,-0.20720958
2020-12-18,6B_FRONT_CALENDAR,0.09515585
2020-12-18,6E_FRONT_CALENDAR,0.19836534
2020-12-18,6J_FRONT_CALENDAR,0.24920799
2020-12-18,CL_FRONT_VOLUME,0.04891372
2020-12-18,ES_FRONT_CALENDAR_2D,0.10690678
2020-12-18,GC_FRONT_VOLUME,-0.11460776
2020-12-18,NQ_FRONT_CALENDAR_2D,0.08962136
2020-12-18,RTY_FRONT_CALENDAR_2D,0.08938895
2020-12-18,SR3_FRONT_CALENDAR,-0.22261851
2020-12-18,UB_FRONT_VOLUME,-0.25495055
2020-12-18,ZF_FRONT_VOLUME,-0.27736035
2020-12-18,ZN_FRONT_VOLUME,-0.78650056
2020-12-18,ZT_FRONT_VOLUME,-0.12823880
2020-12-25,6B_FRONT_CALENDAR,0.08640951
2020-12-25,6E_FRONT_CALENDAR,0.17801291
2020-12-25,6J_FRONT_CALENDAR,0.22288229
2020-12-25,CL_FRONT_VOLUME,0.04524433
2020-12-25,ES_FRONT_CALENDAR_2D,0.09670195
2020-12-25,GC_FRONT_VOLUME,-0.09941718
2020-12-25,NQ_FRONT_CALENDAR_2D,0.08138374
2020-12-25,RTY_FRONT_CALENDAR_2D,0.15169432
2020-12-25,SR3_FRONT_CALENDAR,-0.21204395
2020-12-25,UB_FRONT_VOLUME,-0.33358702
2020-12-25,ZF_FRONT_VOLUME,-0.26119525
2020-12-25,ZN_FRONT_VOLUME,-0.69366222
2020-12-25,ZT_FRONT_VOLUME,-0.18932285
2021-01-01,6B_FRONT_CALENDAR,0.06957508
2021-01-01,6E_FRONT_CALENDAR,0.14466401
2021-01-01,6J_FRONT_CALENDAR,0.18412099
2021-01-01,CL_FRONT_VOLUME,0.03974411
2021-01-01,ES_FRONT_CALENDAR_2D,0.08199155
2021-01-01,GC_FRONT_VOLUME,-0.08755234
2021-01-01,NQ_FRONT_CALENDAR_2D,0.06938272
2021-01-01,RTY_FRONT_CALENDAR_2D,0.20529203
2021-01-01,SR3_FRONT_CALENDAR,-0.21187115
2021-01-01,UB_FRONT_VOLUME,-0.40407198
2021-01-01,ZF_FRONT_VOLUME,-0.19977555
2021-01-01,ZN_FRONT_VOLUME,-0.60892842
2021-01-01,ZT_FRONT_VOLUME,-0.14638055
2021-01-08,6B_FRONT_CALENDAR,0.07804839
2021-01-08,6E_FRONT_CALENDAR,0.10948821
2021-01-08,6J_FRONT_CALENDAR,0.14002437
2021-01-08,CL_FRONT_VOLUME,0.04115406
2021-01-08,ES_FRONT_CALENDAR_2D,0.07878672
2021-01-08,GC_FRONT_VOLUME,-0.06976998
2021-01-08,NQ_FRONT_CALENDAR_2D,0.06308696
2021-01-08,RTY_FRONT_CALENDAR_2D,0.13593045
2021-01-08,SR3_FRONT_CALENDAR,-0.11487014
2021-01-08,UB_FRONT_VOLUME,-0.28492875
2021-01-08,ZF_FRONT_VOLUME,-0.27977667
2021-01-08,ZN_FRONT_VOLUME,-0.51469413
2021-01-08,ZT_FRONT_VOLUME,-0.19273007
2021-01-15,6B_FRONT_CALENDAR,0.11871709
2021-01-15,6E_FRONT_CALENDAR,0.05484825
2021-01-15,6J_FRONT_CALENDAR,0.16249657
2021-01-15,CL_FRONT_VOLUME,0.05456465
2021-01-15,ES_FRONT_CALENDAR_2D,0.10063877
2021-01-15,GC_FRONT_VOLUME,-0.08434564
2021-01-15,NQ_FRONT_CALENDAR_2D,0.06716361
2021-01-15,RTY_FRONT_CALENDAR_2D,0.13836197
2021-01-15,SR3_FRONT_CALENDAR,-0.07513370
2021-01-15,UB_FRONT_VOLUME,-0.27547651
2021-01-15,ZF_FRONT_VOLUME,-0.41371029
2021-01-15,ZN_FRONT_VOLUME,-0.58573874
2021-01-15,ZT_FRONT_VOLUME,-0.28617103
2021-01-22,6B_FRONT_CALENDAR,0.14052370
2021-01-22,6E_FRONT_CALENDAR,0.01659157
2021-01-22,6J_FRONT_CALENDAR,0.12531063
2021-01-22,CL_FRONT_VOLUME,0.05683964
2021-01-22,ES_FRONT_CALENDAR_2D,0.11799680
2021-01-22,GC_FRONT_VOLUME,-0.10590047
2021-01-22,NQ_FRONT_CALENDAR_2D,0.07306028
2021-01-22,RTY_FRONT_CALENDAR_2D,0.13499028
2021-01-22,SR3_FRONT_CALENDAR,-0.01670491
2021-01-22,UB_FRONT_VOLUME,-0.27004295
2021-01-22,ZF_FRONT_VOLUME,-0.44290056
2021-01-22,ZN_FRONT_VOLUME,-0.63948863
2021-01-22,ZT_FRONT_VOLUME,-0.21742315
2021-01-29,6B_FRONT_CALENDAR,0.20731616
2021-01-29,6E_FRONT_CALENDAR,-0.00301078
2021-01-29,6J_FRONT_CALENDAR,0.07477612
2021-01-29,CL_FRONT_VOLUME,0.06738368
2021-01-29,ES_FRONT_CALENDAR_2D,0.09308415
2021-01-29,GC_FRONT_VOLUME,-0.13802380
2021-01-29,NQ_FRONT_CALENDAR_2D,0.05447766
2021-01-29,RTY_FRONT_CALENDAR_2D,0.16545894
