date,leverage
2024-11-29,3.35669923
2024-12-06,2.97210458
2024-12-13,3.26242582
2024-12-20,2.85301072
2024-12-27,2.82825038
2025-01-03,2.54113628
2025-01-10,2.69842389
2025-01-17,2.42721949
2025-01-24,2.63587110
2025-01-31,2.55396258
2025-02-07,2.70116975
2025-02-14,2.62837010
2025-02-21,2.73047407
2025-02-28,3.10821117
2025-03-07,3.39080944
2025-03-14,3.21258879
2025-03-21,3.28032799
2025-03-28,2.87659079
2025-04-04,2.32992663
2025-04-11,1.60549287
2025-04-18,1.77137294
2025-04-25,1.56231292
2025-05-02,1.85385170
2025-05-09,1.61267716
2025-05-16,1.96798523
2025-05-23,1.99860141
2025-05-30,1.89591921
2025-06-06,2.26704978
2025-06-13,2.08387303
2025-06-20,2.42293737
2025-06-27,2.30849820
2025-07-04,2.90993775
2025-07-11,2.24358896
2025-07-18,2.55485823
2025-07-25,2.70971890
2025-08-01,2.75095960
2025-08-08,2.94847548
2025-08-15,2.78672782
2025-08-22,2.81518681
2025-08-29,3.33072145
2025-09-05,3.04538733
2025-09-12,
2025-09-19,2.20638444
2025-09-26,4.00000000
2025-10-03,2.39272107
2025-10-10,3.17435403
2025-10-17,2.07865154
2025-10-24,3.23999028
2025-10-31,2.89219957
