symbol,AnnRet,AnnVol,Sharpe
6B_FRONT_CALENDAR,0.000646976203113807,0.004250214743968452,0.15222200337805078
6E_FRONT_CALENDAR,0.000297275792515992,0.003688001902433342,0.08060619283299436
6J_FRONT_CALENDAR,-0.0006686713397560113,0.0051766393930517225,-0.12917093291325774
CL_FRONT_VOLUME,-0.005111823295487061,0.050883226720080735,-0.10046185403312312
ES_FRONT_CALENDAR_2D,-0.00013174130959404175,0.012585127135706637,-0.01046801579145467
GC_FRONT_VOLUME,0.00973947009135222,0.011511598370016635,0.846057148477301
NQ_FRONT_CALENDAR_2D,0.0030479888528234726,0.01536155137281979,0.1984167340166229
RTY_FRONT_CALENDAR_2D,0.005895742602265362,0.015578600375149911,0.37845136663688433
SR3_FRONT_CALENDAR,-0.0009766143573832018,0.003979972615503533,-0.2453821801634793
UB_FRONT_VOLUME,0.0005644442633663833,0.009405763397197918,0.06001046800034727
ZF_FRONT_VOLUME,0.0008425234583290148,0.0017717449295728584,0.4755331561931631
ZN_FRONT_VOLUME,0.0008465773875153547,0.002639148994492711,0.32077665538473366
ZT_FRONT_VOLUME,3.592452143155392e-05,0.0015316771375779143,0.02345436942955381
