date,risk_scalar
2021-01-13,0.9999964356644975
2021-01-14,0.999997326748373
2021-01-15,0.9999979950612798
2021-01-17,0.9999984962959598
2021-01-18,0.9999988722219699
2021-01-19,0.9999991541664774
2021-01-20,0.999999365624858
2021-01-21,0.9999995242186435
2021-01-22,0.9999996431639826
2021-01-24,0.999999732372987
2021-01-25,0.9999997992797403
2021-01-26,0.9999998494598052
2021-01-27,0.9999998870948539
2021-01-28,0.9999999153211404
2021-01-29,0.9624999364908553
2021-01-31,0.9343749523681415
2021-02-01,0.9132812142761061
2021-02-02,0.8974609107070796
2021-02-03,0.8855956830303097
2021-02-04,0.8766967622727323
2021-02-05,0.8700225717045492
2021-02-07,0.865016928778412
2021-02-08,0.8612626965838089
2021-02-09,0.8584470224378568
2021-02-10,0.8563352668283926
2021-02-11,0.8547514501212944
2021-02-12,0.8535635875909708
2021-02-14,0.8526726906932282
2021-02-15,0.8520045180199212
2021-02-16,0.8515033885149409
2021-02-17,0.8511275413862057
2021-02-18,0.8508456560396543
2021-02-19,0.8506342420297408
2021-02-21,0.8504756815223057
2021-02-22,0.8503567611417293
2021-02-23,0.850267570856297
2021-02-24,0.8502006781422228
2021-02-25,0.8501505086066671
2021-02-26,0.8501128814550003
2021-02-28,0.8500846610912502
2021-03-01,0.8875634958184377
2021-03-02,0.9156726218638283
2021-03-03,0.9367544663978712
2021-03-04,0.9525658497984034
2021-03-05,0.9644243873488025
2021-03-07,0.9733182905116019
2021-03-08,0.9799887178837015
2021-03-09,0.9849915384127761
2021-03-10,0.9887436538095821
2021-03-11,0.9915577403571866
2021-03-12,0.99366830526789
2021-03-14,0.9952512289509174
2021-03-15,0.9964384217131881
2021-03-16,0.997328816284891
2021-03-17,0.9979966122136683
2021-03-18,0.9984974591602512
2021-03-19,0.9988730943701885
2021-03-21,0.9991548207776413
2021-03-22,0.999366115583231
2021-03-23,0.9995245866874232
2021-03-24,0.9996434400155674
2021-03-25,0.9997325800116755
2021-03-26,0.9997994350087567
2021-03-28,0.9998495762565676
2021-03-29,0.9998871821924257
2021-03-30,0.9999153866443192
2021-03-31,0.9999365399832394
2021-04-01,0.9999524049874295
2021-04-02,0.9999643037405721
2021-04-04,0.9999732278054291
2021-04-05,0.9999799208540718
2021-04-06,0.9999849406405539
2021-04-07,0.9999887054804154
2021-04-08,0.9999915291103115
2021-04-09,0.9999936468327336
2021-04-11,0.9999952351245502
2021-04-12,0.9999964263434127
2021-04-13,0.9999973197575596
2021-04-14,0.9999979898181697
2021-04-15,0.9999984923636273
2021-04-16,0.9999988692727204
2021-04-18,0.9999991519545404
2021-04-19,0.9999993639659053
2021-04-20,0.999999522974429
2021-04-21,0.9999996422308217
2021-04-22,0.9999997316731163
2021-04-23,0.9999997987548372
2021-04-25,0.9999998490661279
2021-04-26,0.999999886799596
2021-04-27,0.999999915099697
2021-04-28,0.9999999363247727
2021-04-29,0.9999999522435795
2021-04-30,0.9999999641826847
2021-05-02,0.9999999731370135
2021-05-03,0.9999999798527601
2021-05-04,0.9999999848895701
2021-05-05,0.9999999886671775
2021-05-06,0.9999999915003832
2021-05-07,0.9999999936252875
2021-05-09,0.9999999952189655
2021-05-10,0.9999999964142241
2021-05-11,0.9999999973106681
2021-05-12,0.9999999979830011
2021-05-13,0.9999999984872509
2021-05-14,0.9999999988654381
2021-05-16,0.9999999991490786
2021-05-17,0.962499999361809
2021-05-18,0.9343749995213567
2021-05-19,0.9132812496410175
2021-05-20,0.8974609372307631
2021-05-21,0.8855957029230724
2021-05-23,0.8766967771923043
2021-05-24,0.8700225828942283
2021-05-25,0.8650169371706712
2021-05-26,0.8612627028780034
2021-05-27,0.8584470271585026
2021-05-28,0.856335270368877
