,risk_scalar_computed,risk_scalar_applied
2022-12-16,0.9456721099387593,0.9396142469867756
2022-12-23,0.9508212934479454,0.9456721099387593
2022-12-30,0.9551980994307536,0.9508212934479454
2023-01-06,0.9589183845161405,0.9551980994307536
2023-01-13,0.9620806268387194,0.9589183845161405
2023-01-20,0.9647685328129115,0.9620806268387194
2023-01-27,0.9670532528909748,0.9647685328129115
2023-02-03,0.9689952649573286,0.9670532528909748
2023-02-10,0.9706459752137293,0.9689952649573286
2023-02-17,0.9720490789316699,0.9706459752137293
2023-02-24,0.9732417170919194,0.9720490789316699
2023-03-03,0.9742554595281315,0.9732417170919194
2023-03-10,0.9751171405989117,0.9742554595281315
2023-03-17,0.975849569509075,0.9751171405989117
2023-03-24,0.9764721340827137,0.975849569509075
2023-03-31,0.9770013139703067,0.9764721340827137
2023-04-07,0.9774511168747606,0.9770013139703067
2023-04-14,0.9583334493435465,0.9774511168747606
2023-04-21,0.9420834319420144,0.9583334493435465
2023-04-28,0.9282709171507122,0.9420834319420144
2023-05-05,0.9165302795781054,0.9282709171507122
2023-05-12,0.9065507376413895,0.9165302795781054
2023-05-19,0.8980681269951811,0.9065507376413895
2023-05-26,0.890857907945904,0.8980681269951811
2023-06-02,0.8847292217540184,0.890857907945904
2023-06-09,0.8795198384909155,0.8847292217540184
2023-06-16,0.8750918627172781,0.8795198384909155
2023-06-23,0.8713280833096864,0.8750918627172781
2023-06-30,0.8681288708132333,0.8713280833096864
2023-07-07,0.8654095401912483,0.8681288708132333
2023-07-14,0.8630981091625609,0.8654095401912483
2023-07-21,0.8611333927881768,0.8630981091625609
2023-07-28,0.8594633838699504,0.8611333927881768
2023-08-04,0.8580438762894578,0.8594633838699504
2023-08-11,0.856837294846039,0.8580438762894578
2023-08-18,0.855811700619133,0.856837294846039
2023-08-25,0.854939945526263,0.855811700619133
2023-09-01,0.8541989536973236,0.854939945526263
2023-09-08,0.853569110642725,0.8541989536973236
2023-09-15,0.8530337440463163,0.853569110642725
2023-09-22,0.8720786824393688,0.8530337440463163
2023-09-29,0.8687668800734634,0.8720786824393688
2023-10-06,0.8659518480624437,0.8687668800734634
2023-10-13,0.8635590708530771,0.8659518480624437
2023-10-20,0.8615252102251156,0.8635590708530771
2023-10-27,0.8597964286913482,0.8615252102251156
2023-11-03,0.8583269643876459,0.8597964286913482
2023-11-10,0.8570779197294991,0.8583269643876459
2023-11-17,0.8560162317700741,0.8570779197294991
2023-11-24,0.855113797004563,0.8560162317700741
2023-12-01,0.8543467274538785,0.855113797004563
2023-12-08,0.8536947183357968,0.8543467274538785
2023-12-15,0.8531405105854273,0.8536947183357968
2023-12-22,0.8526694339976131,0.8531405105854273
2023-12-29,0.8522690188979711,0.8526694339976131
2024-01-05,0.8519286660632754,0.8522690188979711
2024-01-12,0.8516393661537842,0.8519286660632754
2024-01-19,0.8513934612307166,0.8516393661537842
2024-01-26,0.851184442046109,0.8513934612307166
2024-02-02,0.8510067757391926,0.851184442046109
2024-02-09,0.8508557593783137,0.8510067757391926
2024-02-16,0.8507273954715666,0.8508557593783137
2024-02-23,0.8506182861508316,0.8507273954715666
2024-03-01,0.8505255432282068,0.8506182861508316
2024-03-08,0.8504467117439758,0.8505255432282068
2024-03-15,0.8503797049823794,0.8504467117439758
2024-03-22,0.8503227492350225,0.8503797049823794
2024-03-29,0.8502743368497692,0.8503227492350225
2024-04-05,0.8502331863223038,0.8502743368497692
2024-04-12,0.8501982083739583,0.8502331863223038
2024-04-19,0.8501684771178646,0.8501982083739583
2024-04-26,0.850143205550185,0.8501684771178646
2024-05-03,0.8501217247176571,0.850143205550185
2024-05-10,0.8501034660100086,0.8501217247176571
2024-05-17,0.8500879461085074,0.8501034660100086
2024-05-24,0.8500747541922313,0.8500879461085074
2024-05-31,0.8500635410633965,0.8500747541922313
2024-06-07,0.8500540099038871,0.8500635410633965
2024-06-14,0.8500459084183041,0.8500540099038871
2024-06-21,0.8500390221555585,0.8500459084183041
2024-06-28,0.8500331688322247,0.8500390221555585
2024-07-05,0.850028193507391,0.8500331688322247
2024-07-12,0.8500239644812824,0.850028193507391
2024-07-19,0.85002036980909,0.8500239644812824
2024-07-26,0.8500173143377265,0.85002036980909
2024-08-02,0.8125147171870675,0.8500173143377265
2024-08-09,0.7806375096090074,0.8125147171870675
2024-08-16,0.7535418831676562,0.7806375096090074
2024-08-23,0.7305106006925077,0.7535418831676562
2024-08-30,0.7109340105886315,0.7305106006925077
2024-09-06,0.7317939090003367,0.7109340105886315
2024-09-13,0.7495248226502862,0.7317939090003367
2024-09-20,0.7645960992527432,0.7495248226502862
2024-09-27,0.7774066843648317,0.7645960992527432
2024-10-04,0.788295681710107,0.7774066843648317
2024-10-11,0.797551329453591,0.788295681710107
2024-10-18,0.8054186300355524,0.797551329453591
2024-10-25,0.8121058355302195,0.8054186300355524
2024-11-01,0.8177899602006866,0.8121058355302195
2024-11-08,0.8226214661705835,0.8177899602006866
2024-11-15,0.789228246244996,0.8226214661705835
2024-11-22,0.7608440093082466,0.789228246244996
2024-11-29,0.7367174079120096,0.7608440093082466
2024-12-06,0.7162097967252081,0.7367174079120096
2024-12-13,0.6987783272164269,0.7162097967252081
2024-12-20,0.7214615781339628,0.6987783272164269
2024-12-27,0.7407423414138683,0.7214615781339628
2025-01-03,0.719630990201788,0.7407423414138683
2025-01-10,0.7016863416715198,0.719630990201788
2025-01-17,0.6864333904207918,0.7016863416715198
2025-01-24,0.673468381857673,0.6864333904207918
2025-01-31,0.662448124579022,0.673468381857673
2025-02-07,0.6905809058921688,0.662448124579022
2025-02-14,0.7144937700083436,0.6905809058921688
2025-02-21,0.7348197045070921,0.7144937700083436
2025-02-28,0.7520967488310282,0.7348197045070921
2025-03-07,0.7667822365063739,0.7520967488310282
2025-03-14,0.7792649010304178,0.7667822365063739
2025-03-21,0.7898751658758552,0.7792649010304178
2025-03-28,0.7988938909944769,0.7898751658758552
