date,CL,GC,6E,6B,6J
2020-01-03,0.00397362042360605,-0.003914652841300104,-0.0004474873659493228,-0.00045829515009310207,-0.002859534172207745
2020-01-05,0.0037658917878351517,-0.0036203158091234755,-0.00187894297662472,-0.0013746756403390514,-0.001132045079252464
2020-01-06,0.003978046458499307,-0.0040156856716748734,-0.003255661254509795,-0.0021998870999784814,-0.0016787159061033563
2020-01-07,0.0038601144202372595,-0.003563506005952455,-0.0020158136151651046,0.00022868468293429922,-0.002266351067191863
2020-01-08,0.0023387915772810075,-0.003585610193203692,-0.0032811230191583107,-0.0005341269059874754,-0.0021241259586455286
2020-01-09,0.0018495171308368086,-0.0038545595713825875,-0.0012148756246858072,-7.651402123171058e-05,-0.0026249604922714553
2020-01-10,0.0011847339965758152,-0.004022094993490377,-0.0024245701532611408,-0.0009185548716887371,-0.0028435519789145047
2020-01-12,0.0008491127282690414,-0.004221574646238402,,,
2020-01-14,-0.0006885867030561599,-0.0037992254076240073,-0.0012093795565989995,-0.0009970472889477833,-0.0013696756010599387
2020-01-15,-0.00034411562624470093,-0.0038476384520702567,-0.0010280938705885673,-0.0006126043533339898,-0.0015897818769232686
2020-01-16,-0.0003411804877861968,-0.003729428190911044,-0.002239441971435857,-0.001145781739374463,-0.0014291213337642716
2020-01-17,-0.0005099872613723022,-0.003909384284937367,-0.0015287085392454575,-0.0006141563220833368,-0.0013186815097716575
2020-01-19,0.0005063718565452291,-0.004165738071421288,-0.0018880652945275772,-0.0003838919007566055,-0.000879314191632119
2020-01-20,0.0003405994583340899,-0.003963185959601212,-0.0017979149035865089,-0.0006912177226938709,-0.0014841283471724864
2020-01-21,0.0008580009106360365,-0.003911891351505048,-0.0014846476689458626,-0.0012252088216185286,-0.0006029875473920754
2020-01-22,-0.0008903927219892083,-0.0038363218405885746,-0.0017084030590461263,-0.0006079027542829074,-0.003069168253810872
2020-01-23,-0.0,-0.00396572094510983,-0.0015342270957650894,-0.0009137288384147291,-0.001093374261559532
2020-01-24,-0.0,-0.004001402652284547,-0.0011763642656006795,-0.000993466131918641,-0.0006541648728708438
2020-01-26,-0.0005701796220232147,-0.003974141802078002,-0.0012215814209970283,-0.0005352705155522997,-0.001248812433234825
2020-01-27,-0.0009436633709620779,-0.003978659452844369,-0.0019472439074892933,-0.0015303392687451844,-0.0014679101230443692
2020-01-28,-0.00018592544443274406,-0.003756889388066398,-0.002082862423826548,-0.0006135440026809325,-0.0015798221900471532
2020-01-29,-0.0013166558847466092,-0.003229383841881095,-0.002402485233458554,-0.0011511455167814155,-0.001142390985113373
2020-01-30,-0.001700841381393925,-0.003360708277062585,-0.0014027468984918467,-0.0002290338598399666,-0.0021208915691373065
2020-01-31,-0.0023215332539208156,-0.003079923236694704,-0.002565315657823433,-0.0008323559937257752,-0.0018391307179888017
2020-02-02,-0.0015658644812335254,0.003267771399029229,-0.001980822688819453,0.000984587499541445,-0.0012985609442974777
2020-02-03,-0.0032012832461552065,-0.0037199374569842902,-0.0017598885433957878,-0.000845796059802062,-0.0014099785416163968
2020-02-04,-0.003623192369420103,-0.003780238363616739,-0.002034220804091033,-0.0006134499080499567,-0.0015302221807678151
2020-02-05,-0.0029242637077970812,-0.0032006172502319075,-0.0016794139616608944,-0.0003075503637958721,-0.0010418095527615634
2020-02-06,-0.0038819924527242478,-0.004069957923324985,-0.0017280586383018465,-0.0010049086765350213,-0.0005489679540593428
2020-02-07,-0.004756251534649092,-0.0038051796294356066,-0.0013229023665961015,-0.000698080307581006,-0.001699515224998116
2020-02-09,-0.0044123617515117175,-0.003036631674860679,-0.0017331026868348948,-0.0011631965950357759,-0.002903872955288378
2020-02-10,-0.00440794141886558,-0.0041806610583750015,-0.0018768172866270444,-0.0009286488827107142,-0.001206008259319269
2020-02-11,-0.004378987889159358,-0.0034963959206804063,-0.0017380967646909162,-0.000848601786701153,-0.000987329354519062
2020-02-12,-0.004071745809683058,-0.0035542053155035447,-0.002113485739619378,-0.00015423768057104548,-0.0018667989828138332
2020-02-13,-0.0046583935173223345,-0.0030956843119467337,-0.0019816131279981747,-0.00022982342001809375,-0.00170026093339537
2020-02-14,-0.004963736804847407,-0.003397084293584207,0.000875152631798562,-0.0035289641533368665,-0.0016454589057062208
2020-02-16,-0.004594188785055131,-0.003399008748641741,0.000875152631798562,0.00030627871602362244,-0.00021923814831570354
2020-02-17,-0.004608303086194532,-0.0035224592969349544,-0.0017029114689393193,-0.0010750212200169584,-0.0014248139192538645
2020-02-18,-0.004590673708599002,-0.003610112224100348,-0.0014325656924436547,-0.0007684032958381604,-0.0024121496263562747
2020-02-19,-0.003913899321136061,-0.0037746401674976227,-0.0018459555751767914,-0.00015461925040466395,-0.0012765368737781557
2020-02-20,-0.005594941860946445,-0.003256431251625891,-0.001618684594384412,-0.0012405987479347513,-0.0011737418556814205
2020-02-21,-0.0024287727959859673,-0.003759858886522416,-0.0018396730571366704,-0.000771010061324684,-0.0011696233475744222
2020-02-23,-0.0026850802476530156,-0.0032915437120815128,-0.001197108665453514,-0.0007713074042238199,-0.00150313180702355
2020-02-24,-0.003104989880577058,-0.0035562558199488947,-0.002115235073857205,-0.0009275004529493147,-0.0014938175341416837
2020-02-25,-0.0031840822921069822,-0.0035262682454035854,-0.0021093184636536283,-0.0005379442973147963,-0.0025310897192651893
2020-02-26,-0.002681796346852394,-0.0033974430543919354,-0.0017420808513429753,0.00030986133953092576,-0.0009369747426752895
2020-02-27,-0.0036681452285369787,-0.0035254108966187303,-0.0014979916099296248,-0.0006978096813494705,0.0019187024497702154
2020-02-28,,,-0.0011358732678131145,-0.0011728372273688836,0.00010774701012472576
2020-03-02,-0.0035413014823770794,-0.004009779196232799,-0.0005826069584653898,-0.001017413509793924,-0.005354113544727035
2020-03-03,-0.0031850541842466384,-0.0019412769988766954,-0.0011169940620299745,0.00015598190641510912,-0.002564789009488422
2020-03-04,-0.002952342928943086,-0.002866642199734315,-0.0014347848042694095,-0.0005435837835266466,-0.0023121397583789616
2020-03-05,-0.003454980763518467,-0.0019082837206028103,-0.0031568910858035537,-0.00023161551927530777,-0.0034463595522851165
2020-03-06,-0.006474066492121455,-0.002684245102412497,-0.002167710818087615,-0.0006895231071888941,-0.0015256335652438224
2020-03-08,-0.010400827929511802,-0.0017619080143767007,-0.0012281241948917943,-0.003201466260602581,-0.000882727164829511
2020-03-09,-0.011957830665480174,-0.001438849169099754,-0.005334745259442192,-0.0022155171597268986,-0.0015960051782819562
2020-03-10,-0.01139197364525879,-0.0016930709087237261,-0.0016333020604026305,0.00038746174300063885,0.0010507513838469151
2020-03-11,-0.012597647105886178,-0.0015808357399276218,-0.0013309083194307653,-0.0004679822252166843,-0.001305653665048645
2020-03-12,-0.015018655836428696,-0.001837595169058126,-0.0011617516945612028,0.0022294777926586407,-0.001725535736256667
2020-03-13,-0.009068985978229804,-0.0017644180365712359,0.00031484022118982713,0.002114509571201545,-0.001511716085321524
2020-03-15,-0.011421236894352038,-0.0011550309292314154,-0.001793239967678259,0.009560921963677999,-0.005909144400500388
2020-03-16,-0.010921610267425663,-0.0011937132526975702,-0.003000920443456692,-0.0010621349909833155,-0.007837777770760113
2020-03-17,-0.016096173831330773,-0.001104505845969328,-0.0014962935526517535,-0.0033090698626575543,-0.001235662445347785
2020-03-18,-0.019727817126949265,-0.0021316288380566206,-0.004547529437629649,0.0011179431013412788,-0.003231020581447197
2020-03-19,-0.027545735481135036,-0.002033071993321478,-0.003414489156620293,0.0023460930950464365,-0.005130338104138765
2020-03-20,-0.06825938201913528,-0.002129501037647863,0.00224341092407776,0.0001724732670712048,0.0016587419483888866
2020-03-22,-0.08185982110175427,-0.0022065469820020667,0.0012625378684858052,-0.0024175456430001185,-0.0032639090740875787
2020-03-23,-0.08284114363441253,-0.003801081548374441,-0.0028839912072403107,0.0033753115259300415,0.0006095702718464935
2020-03-24,-0.08399805175916875,0.0002954995441255548,-0.001755440003617284,0.004074708524021975,-0.002608721264095948
2020-03-25,-0.10996654452816967,0.0002441704321736182,-0.001330611130274606,0.010779959537187134,-0.005772983005091881
2020-03-26,-0.12018515067162827,-0.006395246695348966,-0.0019026915226430102,0.002380074167164653,-0.00016377780847243173
2020-03-27,-0.15611108037668853,-0.014248551354826056,0.0009869012105518105,-0.0024870645416327775,-0.0026917916657120955
2020-03-29,-0.17845912030379996,-0.012402978370001705,-0.0020649107305643066,0.001609010805700667,-0.0024170818804121197
2020-03-30,-0.17719396650917885,0.013025497504394856,-0.000994575127192296,0.0015329382968796434,-0.004629388684421087
2020-03-31,-0.1835523261800871,0.007628571497024339,-0.004812503613075905,0.001688171147342321,-0.0026308033750108706
2020-04-01,-0.13482345834723564,0.009704862821031668,-0.0043334541528407405,-0.001615248291744309,-0.0033142704203052986
2020-04-02,-0.10366004154467845,-0.0008548574740538939,-0.0014732967674160324,-0.002743043268964046,-0.0007027217240995753
2020-04-03,-0.0864940017948519,0.0001213076971220417,0.0006457564800046167,-0.002935183517807055,-0.001029057420136148
2020-04-05,-0.11280054846666276,0.0006058770255021884,0.0016613599280239366,0.003183286367649585,
2020-04-07,-0.17920776560957608,0.00029780517805466644,-0.00032097576908543535,-0.00040500587812117295,-0.0015763871391527573
2020-04-08,-0.16463549238635,5.95078699330287e-05,-0.0019777850661952534,0.00024208190555985443,-0.0009243401142056129
2020-04-09,-0.22804741970390285,0.00022983222348926802,-0.000503328844504769,0.0004812705635527659,-0.0011376873670716492
2020-04-12,-0.23111855392147662,-0.0008623415981805493,-0.0016006222976918394,,-0.0013001085254913392
2020-04-14,-0.2971009200270429,-0.00045669921442303973,-0.0007729556844705415,0.00015832805606236233,-0.0002673725317396958
2020-04-15,-0.26452078309451643,-0.001147183789915296,-0.0007787270497281035,0.00023953052132569264,0.001396048336701483
2020-04-16,-0.2847942557672418,-0.0005776006629707453,-9.196670811649488e-05,-0.0005604708101399347,-0.000647004929024142
2020-04-17,-0.3274439025472682,-0.000354024077334536,-0.0011943590927802478,-0.0004799232214975635,-0.0004297609520884649
2020-04-19,0.356265023867405,-0.0008874427442355781,-4.59632753509881e-05,0.0016799331977766507,0.0010214230923253353
2020-04-20,-0.24334249745869485,-0.001932141471718829,-0.00082762430582764,-0.0006430351479512764,-0.00048409220212253246
2020-04-21,-0.40260796330738424,-0.0026927370950566853,-0.0006901787836949419,-0.0003250975321219818,-0.0014538408182271922
2020-04-22,-0.37628810552763836,-0.00304992323889941,0.0005082592231396982,0.00040559724749925086,-0.0007004876758136547
2020-04-23,-0.26914815995024677,-0.0019425247495465925,-0.0003709026886603989,-0.00040480913802201646,0.0003226500350637096
2020-04-24,-0.21261097881431645,-0.002460166586825352,-0.0007384161310233506,-0.00032344141949325333,-0.00032223415960874746
2020-04-26,-0.23391564829612088,-0.0026922542396627946,-0.00032312415172557063,-8.084401152386178e-05,-0.00016113005916107426
2020-04-27,-0.40165142873791915,-0.002670073562163644,-0.000507696223952761,0.0004023335399274408,0.0019813120621128277
2020-04-28,-0.29926882140294175,-0.0031344348857125226,-0.0014305163834001516,-0.0004021070463123,-0.00048016646693049836
2020-04-29,-0.2151113796169457,-0.004671692898276625,-0.0009649184014229317,0.0002404906019847497,-0.000266389623035046
2020-04-30,-0.1400286446037029,-0.0038261223354458807,-0.0006848846237168388,0.00015893197744831777,0.0002680318437873197
2020-05-01,-0.12582017320103223,-0.00367701117589192,-0.0011835937103506222,-0.00032015367649795845,0.0002670868849508068
2020-05-03,-0.13775179748213517,-0.0035669423545092727,-0.000866412877109049,0.0008024394588821981,-0.00032006828396546894
2020-05-04,-0.10119491556910276,-0.0045462571746170966,-0.00022913182053813097,-8.034387181438118e-05,-0.0014405764796237008
2020-05-05,-0.07374715670690657,-0.004311858446065742,0.00023045191722767533,-0.0007233854754220836,-0.0008514261902172748
2020-05-06,-0.0599812644587332,-0.004716433692857791,-0.0011574343290791794,0.0011351659371904022,0.0002653434887012196
2020-05-07,0.05736927309217954,-0.005896652534927327,-0.0015227375297743456,-0.0013746818159662277,-0.0006380603183453459
2020-05-08,0.05566860520792183,-0.007130780113068447,0.0003686126383717764,0.0020928929799914897,0.0019170355729851707
2020-05-10,0.05361617580369016,-0.007463156324350351,0.0007834643348422071,0.00144845925380635,-0.00042757884136168656
2020-05-11,0.03651358483166156,-0.006978068013965277,-0.00027739251218088234,0.0009725262132916634,-0.0014530584048975115
2020-05-12,0.020360922648915203,-0.005670705909493812,0.001979150532117238,-0.0,-0.00048217300229680404
2020-05-13,0.015839620326876247,-0.006408612909568845,-0.0009702234584921532,-0.0014716706114562828,-0.0009625669192407926
2020-05-14,0.0150864930333805,-0.006351407498541128,-0.0008790395902499998,-0.000408747195553949,0.00032190568441503586
2020-05-15,-0.018629946664523445,-0.006478031518706295,-0.0010624784461784886,0.0003303328133101857,-0.002786114104007531
2020-05-17,0.0022992291291723532,-0.006713895850786855,-0.0006006699961126488,0.002066372599546812,-0.001179688055733763
2020-05-18,-0.015791400118904342,-0.006942280958635472,-0.0058322591901218135,-0.00732182120029734,0.002412287749430142
2020-05-19,-0.01722830396017727,-0.006778528418734275,-0.0010514527015006436,-0.0018748731801401242,-0.0011849618967065823
2020-05-20,-0.013315775975772048,-0.007969076781916051,-0.0005005802284329536,0.00024518818315794055,-0.0011287592910136368
2020-05-21,-0.01373286739175894,-0.009172523856457282,-0.00027384755990395027,-0.0012265425308073674,-0.00021520417579168338
2020-05-22,-0.010964697197133333,-0.010893353907883707,-0.0005040900136531468,-0.0007394930701399849,-0.0010752689208066712
2020-05-24,-0.012388736785432286,-0.010461669249635541,-0.0001374538958889837,0.000985140872711704,-0.0012918507556118897
2020-05-25,-0.011143810337281845,-0.010310854286654347,-4.584737409978057e-05,0.002215203761007173,-0.00037675933597736133
2020-05-26,-0.011678964864146657,-0.01264327734189763,-0.0008646386121959615,-0.0005674678924927345,0.0006988308307516178
2020-05-27,-0.015004970488645686,-0.008628281827178341,-0.000544316442723361,-8.154278962402284e-05,-0.00021555208360712896
2020-05-28,-0.010676257991341753,-0.009200122754713824,-0.0003157918506834223,-0.0,0.00010763104089583919
2020-05-29,-0.009580236699235023,0.006561929952195733,9.000900096084452e-05,0.0014590259538895534,-0.0
2020-05-31,-0.008750937989728147,0.008238032859342326,-0.0007641995382137862,0.0014590259538895534,0.0009158249798355556
2020-06-01,-0.009545271799797916,-0.007775073928495857,-0.0013021127493638013,-0.0002402210044783748,-5.377066811274034e-05
2020-06-02,-0.0064308903302898734,-0.01050315277178715,-4.468974147717186e-05,0.00031791448368220787,-0.0007614489653233747
2020-06-03,-0.008088477637772318,-0.01138465751028317,-0.0006672152906376794,-0.0,-0.0010348866633478337
