date,CL,GC,6E,6B,6J
2020-01-03,0.030907604251839693,-0.015607653627636608,0.0003132131191553311,-0.0036538022379539736,-0.004232230059685316
2020-01-05,0.01284898477157359,-0.01054526748971174,0.00044758750335682773,0.00030560012224001287,-0.0017289820618111573
2020-01-06,-0.013782302270947566,0.0037541359124457774,-0.002418054809242287,-0.006343141001146302,0.004800431499460744
2020-01-07,0.030490709861838994,-0.01979945072491529,0.0037970159921377755,0.0036452004860266785,-0.0032518562679531016
2020-01-08,-0.07643704731083378,0.02361119809607315,0.003990852428142344,-0.0013719512195121686,0.009183728593809115
2020-01-09,-0.00667445352911733,0.0034637588197563574,4.5020709526499836e-05,0.0025186994352007774,0.0043072896788615145
2020-01-10,-0.006887283722492921,-0.006179196704428458,-0.0015307730403855135,0.0008416864335449858,5.475851494918249e-05
2020-01-12,-0.003552097428958012,0.0019831115660184917,-0.0,-0.0,-0.0
2020-01-14,-0.0,-0.0027170397205331653,-0.003372757116517411,-0.004238267704399945,-0.0015374478365912658
2020-01-15,-0.0006888238333047081,-0.004129032258064491,-0.0021513087128004482,-0.0017648864333947856,0.0007127192982455677
2020-01-16,-0.008604371020478396,0.0026342842456952287,0.0025939177101969024,-0.002221371122175242,0.002578592198386964
2020-01-17,-0.003412386964681824,-0.003221026863364118,0.0034974441754103136,0.00473861204524606,-0.00044004400440034175
2020-01-19,-0.007651759904778066,0.00012842740640850447,-0.0,-0.0,-0.0
2020-01-20,-0.008943638204522486,-0.0026973219446406738,-0.00017998560115195517,0.0004607587160190274,0.0004948317572024408
2020-01-21,-0.007321641409841595,0.0032024594888874214,0.0007648011517005227,-0.002688998156115341,-0.003190494526651655
2020-01-22,-0.037221269296740855,-0.0030199832937094495,-0.0005852955742651211,-0.008045360508773358,0.001041838021604291
2020-01-23,0.008373418849100367,0.0004484304932735883,0.003599712023038215,0.00220431742170879,-0.00351300911186736
2020-01-24,-0.0,-0.00704992629622514,0.002483742774566533,0.0036565856631369797,-0.003063122196696133
2020-01-26,-0.0,-0.006873289632788104,-0.0,0.00038229222417629494,-0.0037081470171227426
2020-01-27,-0.00684410646387823,0.0011377283357562051,0.0012675992575488237,0.0011473152822394361,0.0014125828534172769
2020-01-28,-0.0154833836858006,0.008099727899765874,-4.53288608857072e-05,0.0018378130025269446,0.0020674646354733595
2020-01-29,0.01208627742655255,-0.0058692185007975795,0.0012691505756504684,0.0009205983889528646,-0.001635590448151758
2020-01-30,0.004893657067570167,0.0014587429441237365,-0.0022692202959064822,-0.005682254472855863,0.00016329196603526164
2020-01-31,0.02345375449215048,-0.008955792682926678,-0.004845136750588619,-0.008627930060319144,-0.005498394033425891
2020-02-02,0.011233778810769035,-0.0033994334277620553,-0.0,-0.0,-0.0
2020-02-03,0.022526934378060748,-0.006775832862789488,0.002253165697805315,-0.015897047691142974,0.002328099621007107
2020-02-04,0.006212424849699305,0.015981302507737993,0.001896933291179237,-0.0028461538461539426,0.0077603516578931275
2020-02-05,-0.03286953014720706,-0.0012196687636409909,0.0038915788044709965,0.002531257191071612,0.003062787136294043
2020-02-06,-0.003904724716907504,-0.006155029813425639,0.0019079634761277608,0.005690556751768772,0.0009326311169628454
