,ES_FRONT_CALENDAR_2D,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,ZT_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,UB_FRONT_VOLUME,SR3_FRONT_CALENDAR,CL_FRONT_VOLUME,GC_FRONT_VOLUME,6E_FRONT_CALENDAR,6B_FRONT_CALENDAR,6J_FRONT_CALENDAR
2021-01-01,-0.019645347506367906,-0.01616299061059454,0.35331752918594367,0.2843746976808224,0.2760546392359093,-0.07830227592615882,-0.6512178997874633,-0.07830227592615882,-0.006969022308203044,-0.022462941045548416,-0.06339812822664419,-0.04049565821977765,-0.05834570186257273
2021-01-08,-0.003083599121215426,-0.005175737688178892,0.32049859670619785,0.2024534296107051,0.16448261015394935,-0.15480550014001937,-0.6009203389426373,-0.06299418081170612,0.0007679196351657296,-0.032219545299018736,-0.036360548620231616,-0.014318627933046554,-0.025023969065085895
2021-01-15,0.014765933370552719,0.002404643652873055,0.2926889988968253,0.116471779395479,0.052127704164150496,-0.23253293161688837,-0.5514405710545287,-0.03778219235770573,0.008612771665699487,-0.044567499417882926,-0.032359976952684846,0.018182717147282725,0.014286052371444605
2021-01-22,0.037577137684138534,0.013655445899006868,0.2633996952047346,0.06701957428050714,-0.0569190627232905,-0.3387713487178339,-0.5075465477686708,-0.015151752992118375,0.017523889329384312,-0.06506101025996405,-0.023813756420086984,0.054789133122538664,0.04511562535121105
2021-01-29,0.03207378274762683,0.009200085141438746,0.2424267516418582,0.10820927720943821,-0.11858695498802185,-0.4480723803738334,-0.46995068829715614,0.04754554016579274,0.03234491432872921,-0.10096211067096592,-0.03225206660180527,0.12563743093056481,0.01850779748734619
2021-02-05,0.04606181847436132,0.02266333849259937,0.21325336561149677,0.16627541161806725,-0.16302603048102315,-0.5044231881059206,-0.4321283375484027,0.08227600760477746,0.041455096308433685,-0.12374441669443087,-0.08022599544316575,0.17457086776594552,-0.0646588379030309
2021-02-12,0.07124575044195106,0.04591606012342889,0.20259543074023573,0.16525975201594448,-0.2673497285846712,-0.5978841727277898,-0.4357787892624574,0.08884181418973056,0.057780953703435195,-0.14720591361025787,-0.10192801776119009,0.24339741392055786,-0.1662317260232374
2021-02-19,0.09043772755438828,0.05630677107054968,0.20039157133859156,0.1777398090328188,-0.3941191644235327,-0.6831500699024774,-0.4423420255006399,0.15410981955455888,0.06719587842518779,-0.1706261018188972,-0.08755168103023762,0.3025453553182278,-0.23173915586958682
2021-02-26,0.0960728030814777,0.04646897121926269,0.20433526843832714,0.08583096420747545,-0.46634008229090707,-0.7023858337055275,-0.4300147921785156,0.25116438116542106,0.0784094646045284,-0.18937622846094893,-0.058997418904896556,0.35398808538906756,-0.30961455694514733
2021-03-05,0.10114042132788491,0.026094356552877545,0.21794416633782954,-0.01368670893285387,-0.5404198824760625,-0.7096276612112484,-0.4147606095908099,0.3561269671522666,0.0912168924862375,-0.2017465299125,-0.07547708565089356,0.400513117382662,-0.38132492865424394
2021-03-12,0.12250171887140024,0.013991730089828439,0.2216009630221579,-0.1182267078975442,-0.6032280499577124,-0.7219613067646689,-0.3959909867903709,0.4531403566844606,0.10159851533019218,-0.2005412338122096,-0.09227292431175405,0.43504562570613875,-0.4858241177023752
2021-03-19,0.13509804090551858,0.0011408714105905268,0.22697478021654913,-0.20535350002538233,-0.6558182293395936,-0.7259983225977338,-0.37693489611291525,0.5934762002867611,0.10338541183685694,-0.18494815205263054,-0.13913554555378035,0.45593487582590936,-0.5667253485440467
2021-03-26,0.1564580976003352,-0.005306044543062438,0.2369700164921777,-0.24772515162788156,-0.698095444628032,-0.7286933706297011,-0.34682224125584943,0.7206709945921341,0.10173801051650488,-0.17206017855551814,-0.24206860860569301,0.45097118587050616,-0.6618396477098243
2021-04-02,0.17200361642832515,0.0005545843888043423,0.22417722697981418,-0.3298718327652241,-0.708661980295043,-0.696863121185187,-0.30690603278964634,0.7686961938296961,0.09426239992795936,-0.11226251859742584,-0.3450144066614238,0.4254560241370792,-0.7194216061491758
2021-04-09,0.20188303495918322,0.024771927368820907,0.21721329214146648,-0.41111231331582443,-0.7079015334961583,-0.6568471871187938,-0.270912082959252,0.8357128964919851,0.08534411444389356,-0.10054242952235425,-0.429991959697705,0.3679929482365626,-0.7702543923954565
2021-04-16,0.24048835767672852,0.050886953513641905,0.1954180992117761,-0.5678515609819418,-0.7366949115139916,-0.5728660269990479,-0.24092003957943414,0.8197333051815711,0.07959442820569354,-0.09272705704730373,-0.445347876795395,0.32420083054613336,-0.7449684481828114
2021-04-23,0.3044319116516633,0.0662602545092744,0.17477728179231605,-0.7087996104805963,-0.7866546213949814,-0.584381334359908,-0.22572401396172792,0.889129857660961,0.0781659427511596,-0.12388062809575277,-0.4048656918274853,0.3055814280225676,-0.7236254094048977
2021-04-30,0.37778235057124565,0.071597416239295,0.1689703929943218,-0.8184721902578632,-0.7601498545641939,-0.5518413181272337,-0.18734902306119516,0.830262443135312,0.07424781277942649,-0.14152136254250733,-0.3710004963685173,0.24712939752404664,-0.7592950613144134
2021-05-07,0.43347781613858477,0.03900485524901192,0.1562687756373448,-0.8763472739909475,-0.7788126055603011,-0.5580680415149116,-0.20346758884810304,0.7498288204173165,0.08290993651872766,-0.13923814721306432,-0.276089317739507,0.32033964525917336,-0.7999219053451603
