date,vx1_ret
2020-07-13,0.1007285398347797
2020-07-14,-0.07162187970852774
2020-07-15,-0.044866047743048476
2020-07-16,-0.007084691340659699
2020-07-17,-0.06233689388556796
2020-07-20,-0.06648264708287277
2020-07-21,0.0020197946676714373
2020-07-22,0.09501664490825679
2020-07-23,0.05462718034996872
2020-07-24,-0.0017388284680235344
2020-07-27,-0.042665553836682246
2020-07-28,0.0
2020-07-29,-0.0276209788914894
2020-07-30,0.01482606845997081
2020-07-31,-0.012960744285464898
2020-08-03,-0.0018653241745059113
2020-08-04,-0.034184870630326714
2020-08-05,-0.021481005619115923
2020-08-06,-0.017925196142605238
2020-08-07,-0.010099055738532314
2020-08-10,-0.03512032086981076
2020-08-11,0.04722700627283061
2020-08-12,-0.06847727467222908
2020-08-13,-0.0021500760809192165
2020-08-14,0.0021500760809192165
2020-08-17,-0.06660250535842271
2020-08-18,0.0
2020-08-19,0.18591167637396788
2020-08-20,-0.013433324246082456
2020-08-21,0.0019301299178731135
2020-08-24,-0.0038639924428238714
2020-08-25,-0.013642776403786527
2020-08-26,0.023274906354489477
2020-08-27,0.035778623229904216
2020-08-28,-0.0029640629333500534
2020-08-31,0.03392628853731683
2020-09-01,0.016011727950102195
2020-09-02,0.019228000182200056
2020-09-03,0.15967555575922843
2020-09-04,-0.1333627443401193
2020-09-08,0.019372683347632424
2020-09-09,-0.06315013705947026
2020-09-10,0.013996029727325165
2020-09-11,-0.08897172795100383
2020-09-14,-0.023051347214565254
2020-09-15,-0.013696164007411138
2020-09-16,0.1847483444605449
2020-09-17,-0.023195208220129437
2020-09-18,0.008345900554981966
2020-09-21,0.03751867221334804
2020-09-22,0.004791576009899323
2020-09-23,0.03445376798859057
2020-09-24,-0.007726819466130408
2020-09-25,-0.03151852453235948
2020-09-28,-0.01289092939692793
2020-09-29,-0.034651214642196226
2020-09-30,0.019947469911763882
2020-10-01,0.009826479331428661
2020-10-02,0.04462180649925829
2020-10-05,-0.039744541100254605
2020-10-06,0.01289092939692793
2020-10-07,-0.039182289299747985
2020-10-08,-0.06536025949347346
2020-10-09,-0.045454106846817055
2020-10-12,-0.02067354214673056
2020-10-13,0.01694636675480865
2020-10-14,0.011140107781047348
2020-10-15,0.018295424321081555
2020-10-16,0.010818713527167567
2020-10-19,0.045573957202316606
2020-10-20,0.003421145998470987
2020-10-21,-0.001709109969956213
2020-10-22,-0.013779067472843742
2020-10-23,-0.0017358101910889268
2020-10-26,0.08489540350487834
2020-10-27,0.0
2020-10-28,0.13894283349200975
2020-10-29,-0.08307972214430537
2020-10-30,0.028858167977666493
2020-11-02,-0.02134046605578188
2020-11-03,-0.06019406742421296
2020-11-04,-0.10207817907757955
2020-11-05,-0.021368334405698963
2020-11-06,-0.08642250662223505
2020-11-09,0.003916965446733922
2020-11-10,-0.035817597113509514
2020-11-11,-0.035047907926536226
2020-11-12,0.0825251785220491
2020-11-13,-0.10373038359936126
2020-11-16,-0.017293989163525758
2020-11-17,0.0021781755507968015
2020-11-18,0.07943999545036906
2020-11-19,-0.016207810226853248
2020-11-20,-0.004093333591000281
2020-11-23,-0.011551283556515912
2020-11-24,-0.020965128465044724
2020-11-25,-0.041970252386118734
2020-11-27,0.007484076314949295
2020-11-30,-0.018592833076616078
2020-12-01,0.019907757657925185
