date,signal
2020-07-13,-0.3908927253785525
2020-07-14,-0.24567778166772913
2020-07-15,-0.23629615375574306
2020-07-16,-0.23303095124056136
2020-07-17,-0.18028856597194923
2020-07-20,-0.3619930433244805
2020-07-21,-0.3638168194604605
2020-07-22,-0.4224875634342325
2020-07-23,-0.3301024248116677
2020-07-24,-0.2672686667073075
2020-07-27,-0.20597254717255484
2020-07-28,-0.2187378279479362
2020-07-29,-0.1555282602138279
2020-07-30,-0.2395808178279281
2020-07-31,-0.2416993523519986
2020-08-03,-0.31457083662449814
2020-08-04,-0.34825999975847616
2020-08-05,-0.3233864729748735
2020-08-06,-0.31524177744113707
2020-08-07,-0.35101466653683716
2020-08-10,-0.3089444634419318
2020-08-11,-0.304428631866262
2020-08-12,-0.21234827222851102
2020-08-13,-0.20803637956786694
2020-08-14,-0.1936746384840783
2020-08-17,-0.2168808504898315
2020-08-18,-0.30046083331096995
2020-08-19,-0.25189837320996167
2020-08-20,-0.2193374708654731
2020-08-21,-0.21412807607096526
2020-08-24,-0.16556424255115418
2020-08-25,-0.2628879370292066
2020-08-26,-0.2799035376209413
2020-08-27,-0.32908763139862923
2020-08-28,-0.31217348478063817
2020-08-31,-0.301767829412337
2020-09-01,-0.2749070362909681
2020-09-02,-0.22919694422713366
2020-09-03,0.1638181671941282
2020-09-04,0.21330316206358058
2020-09-08,0.19576755626131684
2020-09-09,0.24009225539141973
2020-09-10,0.26726541216707206
2020-09-11,0.33043083467363676
2020-09-14,0.08366736400709225
2020-09-15,-0.1022945648293843
2020-09-16,-0.3184896471796224
2020-09-17,-0.25108825987222533
2020-09-18,-0.2602879144359122
2020-09-21,-0.28978437024303694
2020-09-22,-0.18668854747752692
2020-09-23,-0.07538744198482489
2020-09-24,0.009947646798179782
2020-09-25,0.07809495236799296
2020-09-28,0.12807230907570913
2020-09-29,-0.18304886186943117
2020-09-30,-0.19514977267116088
2020-10-01,-0.20235660571897895
2020-10-02,-0.17022210161636586
2020-10-05,-0.333708178283096
2020-10-06,-0.26841785482037733
2020-10-07,-0.07463405159166027
2020-10-08,-0.061487424131333214
2020-10-09,-0.030154954060637697
2020-10-12,-0.15781446968020266
2020-10-13,-0.1446118820975629
2020-10-14,-0.1282459939610379
2020-10-15,-0.1547632459696836
2020-10-16,-0.15224250450843815
2020-10-19,-0.36799536576793024
2020-10-20,-0.3661706272950378
2020-10-21,-0.3285045976424093
2020-10-22,-0.20808941553600066
2020-10-23,-0.20487917245034468
2020-10-26,-0.2981427362718297
2020-10-27,-0.32470994257399816
2020-10-28,-0.4658436214654928
2020-10-29,-0.418420338087018
2020-10-30,-0.38909019700503267
2020-11-02,-0.17810386913076304
2020-11-03,-0.22939004194826415
2020-11-04,-0.10086017802056046
2020-11-05,-0.07430453442434316
2020-11-06,-0.18672214416828578
2020-11-09,-0.2180236102471034
2020-11-10,-0.15432598047686116
2020-11-11,-0.2530740370822199
2020-11-12,-0.18141129314559812
2020-11-13,-0.07128736117767177
2020-11-16,-0.07265509766425308
2020-11-17,-0.06254274439310346
2020-11-18,-0.04597186721550839
2020-11-19,-0.11607185061710897
2020-11-20,-0.18620417326811034
2020-11-23,-0.09240158744296334
2020-11-24,-0.10833250740157192
2020-11-25,-0.11390990278211004
2020-11-27,-0.07702135721439037
2020-11-30,-0.23947825655547858
2020-12-01,-0.229437701437607
2020-12-02,-0.2834668856638454
2020-12-03,-0.29361472138778694
2020-12-04,-0.26066731487584893
2020-12-07,-0.23446020932939104
2020-12-08,-0.19084871834516878
2020-12-09,-0.14321731506167068
2020-12-10,-0.1763795899576106
2020-12-11,-0.20666230507631697
2020-12-14,-0.24901064438455545
2020-12-15,-0.13903640832337547
2020-12-16,-0.13073955126597028
2020-12-17,-0.1369355048969331
2020-12-18,-0.1297856546908238
2020-12-21,-0.2699748097969631
2020-12-22,-0.256451449613779
2020-12-23,-0.27825882017491943
2020-12-24,-0.22642048043865312
2021-01-08,0.05988481894645901
2021-01-11,-0.14583511393627535
2021-01-12,-0.14319253187400713
2021-01-13,-0.24001588156123702
2021-01-14,-0.319789679607751
2021-01-15,-0.2146531719737761
2021-01-19,-0.08440954094307863
2021-01-20,0.008033831003389067
2021-01-21,-0.16477072823994254
2021-01-22,-0.130656567731346
2021-01-25,-0.18527290652162384
2021-01-26,-0.31535790461509206
2021-01-27,-0.09903423510148242
2021-01-28,0.20473628254902554
2021-01-29,0.15740493078087517
2021-02-01,0.4229625995972857
2021-02-02,0.25046507001142154
2021-02-03,0.28879042534781135
2021-02-04,0.09907644489506799
2021-02-05,0.02341269299232657
2021-02-08,-0.24470144304190636
2021-02-09,-0.2387184822109418
2021-02-10,-0.27459144646293904
2021-02-11,-0.2744442651582335
2021-02-12,-0.20273927613814666
2021-02-15,-0.2183790322475839
2021-02-16,-0.17610386628009964
2021-02-17,-0.17364149207971472
2021-02-18,-0.2048277130076711
2021-02-19,-0.19587131433078223
2021-02-22,-0.2431372549781882
2021-02-23,-0.26321860396923996
2021-02-24,-0.020263156164918264
2021-02-25,0.10643897263303204
2021-02-26,0.12041096006024783
2021-03-01,0.3616954697018277
2021-03-02,0.28168086495872985
2021-03-03,0.0992185045222993
2021-03-04,0.07184507657228456
2021-03-05,0.30460007239511105
2021-03-08,0.18271158122891307
2021-03-09,0.07252965652685998
2021-03-10,-0.006776178515933069
2021-03-11,-0.13401999885266644
2021-03-12,-0.08691008677874468
2021-03-15,-0.16393424284768252
2021-03-16,-0.15446071844340065
2021-03-17,-0.23699015716628838
2021-03-18,-0.02342228940637973
