date,vx1,vx2,spread,signal,position,vx1_return,pnl
2020-01-06,14.88,16.68,-1.799999999999999,0.0,0.0,-0.010030174359937138,0.0
2020-01-07,14.68,16.53,-1.8500000000000014,0.0,0.0,-0.01353200621857642,0.0
2020-01-08,14.18,16.13,-1.9499999999999993,0.0,0.0,-0.034653502082388155,0.0
2020-01-09,13.63,15.78,-2.1499999999999986,0.0,0.0,-0.03955927539554027,0.0
2020-01-10,13.58,15.73,-2.1500000000000004,0.0,0.0,-0.0036751235778913482,0.0
2020-01-13,13.18,15.38,-2.200000000000001,0.0,0.0,-0.029897593056188665,0.0
2020-01-14,13.08,15.23,-2.1500000000000004,0.0,0.0,-0.007616183045308755,0.0
2020-01-15,12.93,15.18,-2.25,0.0,0.0,-0.011534153245286394,0.0
2020-01-16,12.58,14.93,-2.3499999999999996,0.0,0.0,-0.0274419415114715,0.0
2020-01-17,12.53,14.93,-2.4000000000000004,0.0,0.0,-0.00398248236431753,0.0
2020-01-21,12.93,15.08,-2.1500000000000004,0.0,0.0,0.03142442387578903,-0.0
2020-01-22,15.18,15.73,-0.5500000000000007,0.0,0.0,0.1604285791837179,-0.0
2020-01-23,15.03,15.68,-0.6500000000000004,0.0,0.0,-0.009930568202600742,0.0
2020-01-24,16.03,16.23,-0.1999999999999993,0.0,0.0,0.0644137628565784,-0.0
2020-01-27,17.78,17.33,0.45000000000000284,-1.0,0.0,0.10361226346429708,-0.0
2020-01-28,16.68,16.83,-0.14999999999999858,0.0,-1.0,-0.0638638331551582,-0.0638638331551582
2020-01-29,16.68,16.8,-0.120000000000001,0.0,0.0,0.0,-0.0
2020-01-30,16.08,16.43,-0.3500000000000014,0.0,0.0,-0.03663413317978037,0.0
2020-01-31,18.23,17.73,0.5,-1.0,0.0,0.1254923249397515,-0.0
2020-02-03,17.98,17.43,0.5500000000000007,-1.0,-1.0,-0.013808559647097152,-0.013808559647097152
2020-02-04,16.53,16.53,0.0,0.0,-1.0,-0.0840831172105414,-0.0840831172105414
2020-02-05,15.73,16.13,-0.3999999999999986,0.0,0.0,-0.049607194762746776,0.0
2020-02-06,15.58,15.98,-0.40000000000000036,0.0,0.0,-0.009581676627584024,0.0
2020-02-07,16.03,16.23,-0.1999999999999993,0.0,0.0,0.028473926178859355,-0.0
2020-02-10,15.63,15.98,-0.34999999999999964,0.0,0.0,-0.025269822188076496,0.0
2020-02-11,15.63,15.93,-0.29999999999999893,0.0,0.0,0.0,-0.0
2020-02-12,14.48,15.33,-0.8499999999999996,0.0,0.0,-0.07642375747581465,0.0
2020-02-13,14.83,15.58,-0.75,0.0,0.0,0.02388376919227042,-0.0
2020-02-14,14.43,15.43,-1.0,0.0,0.0,-0.027342783364061596,0.0
2020-02-18,14.88,15.83,-0.9499999999999993,0.0,0.0,0.030708656619166774,-0.0
2020-02-19,15.38,16.33,-0.9499999999999975,0.0,0.0,0.033049934672551906,-0.0
2020-02-20,16.08,16.83,-0.75,0.0,0.0,0.04450829967332215,-0.0
2020-02-21,16.93,17.33,-0.3999999999999986,0.0,0.0,0.051510932394223996,-0.0
2020-02-24,20.08,19.38,0.6999999999999993,-1.0,0.0,0.1706370986784842,-0.0
2020-02-25,22.23,20.88,1.3500000000000014,-1.0,-1.0,0.10171843315257689,0.10171843315257689
2020-02-26,22.33,20.98,1.3499999999999979,-1.0,-1.0,0.004488337875961257,0.004488337875961257
2020-02-27,26.28,23.53,2.75,-1.0,-1.0,0.1628771277643435,0.1628771277643435
2020-02-28,26.33,23.03,3.299999999999997,-1.0,-1.0,0.0019007798918080354,0.0019007798918080354
2020-03-02,26.28,23.33,2.950000000000003,-1.0,-1.0,-0.0019007798918080354,-0.0019007798918080354
2020-03-03,29.18,25.53,3.6499999999999986,-1.0,-1.0,0.10467534947822976,0.10467534947822976
2020-03-04,27.43,24.63,2.8000000000000007,-1.0,-1.0,-0.061846238145127685,-0.061846238145127685
2020-03-05,31.88,27.53,4.349999999999998,-1.0,-1.0,0.15034154897250218,0.15034154897250218
2020-03-06,35.78,30.33,5.450000000000003,-1.0,-1.0,0.11541022415855906,0.11541022415855906
2020-03-09,44.38,36.23,8.150000000000006,-1.0,-1.0,0.21539983942387453,0.21539983942387453
2020-03-10,41.83,34.78,7.049999999999997,-1.0,-1.0,-0.05917513205034064,-0.05917513205034064
2020-03-11,46.35,38.58,7.770000000000003,-1.0,-1.0,0.10260750655775697,0.10260750655775697
2020-03-12,58.3,45.83,12.469999999999999,-1.0,-1.0,0.22938080134458216,0.22938080134458216
2020-03-13,53.43,43.9,9.530000000000001,-1.0,-1.0,-0.08722970738676628,-0.08722970738676628
2020-03-16,72.63,59.15,13.479999999999997,-1.0,-1.0,0.30700567364839637,0.30700567364839637
2020-03-17,68.83,61.43,7.399999999999999,-1.0,-1.0,-0.05373836320780345,-0.05373836320780345
2020-03-18,70.48,59.93,10.550000000000004,-1.0,-1.0,0.023689285217651346,0.023689285217651346
2020-03-19,66.3,58.98,7.32,-1.0,-1.0,-0.061139084436107716,-0.061139084436107716
2020-03-20,61.53,56.63,4.899999999999999,-1.0,-1.0,-0.07466503643941724,-0.07466503643941724
2020-03-23,49.45,45.33,4.1200000000000045,-1.0,-1.0,-0.21856280268367811,-0.21856280268367811
2020-03-24,48.25,40.15,8.100000000000001,-1.0,-1.0,-0.024566230283726398,-0.024566230283726398
2020-03-25,51.28,44.53,6.75,-1.0,-1.0,0.060904984827419906,0.060904984827419906
2020-03-26,45.88,39.65,6.230000000000004,-1.0,-1.0,-0.11127152035124466,-0.11127152035124466
2020-03-27,53.43,44.83,8.600000000000001,-1.0,-1.0,0.15234309370850996,0.15234309370850996
2020-03-30,49.78,42.75,7.030000000000001,-1.0,-1.0,-0.07075908903023409,-0.07075908903023409
2020-03-31,46.78,40.93,5.850000000000001,-1.0,-1.0,-0.062157535783412765,-0.062157535783412765
2020-04-01,51.33,44.63,6.699999999999996,-1.0,-1.0,0.09281961541617845,0.09281961541617845
2020-04-02,47.18,42.03,5.149999999999999,-1.0,-1.0,-0.08430530259268254,-0.08430530259268254
2020-04-03,44.93,40.9,4.030000000000001,-1.0,-1.0,-0.04886435089746044,-0.04886435089746044
2020-04-06,41.78,37.93,3.8500000000000014,-1.0,-1.0,-0.07268796695364887,-0.07268796695364887
2020-04-07,44.03,39.68,4.350000000000001,-1.0,-1.0,0.05245346363924286,0.05245346363924286
2020-04-08,42.38,38.3,4.080000000000005,-1.0,-1.0,-0.0381946669275095,-0.0381946669275095
2020-04-09,41.28,36.93,4.350000000000001,-1.0,-1.0,-0.02629843166684598,-0.02629843166684598
2020-04-13,40.58,36.13,4.449999999999996,-1.0,-1.0,-0.017102786775638368,-0.017102786775638368
2020-04-14,37.88,32.98,4.900000000000006,-1.0,-1.0,-0.06885206607979111,-0.06885206607979111
2020-04-15,36.58,34.58,2.0,-1.0,-1.0,-0.03492162535515808,-0.03492162535515808
2020-04-16,36.53,34.43,2.1000000000000014,-1.0,-1.0,-0.0013678021555283415,-0.0013678021555283415
2020-04-17,34.58,33.08,1.5,-1.0,-1.0,-0.05485836055204674,-0.05485836055204674
2020-04-20,39.08,36.23,2.8500000000000014,-1.0,-1.0,0.12233534691943726,0.12233534691943726
