date,ES_FRONT_CALENDAR_2D,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,ZT_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,UB_FRONT_VOLUME,SR3_FRONT_CALENDAR,CL_FRONT_VOLUME,GC_FRONT_VOLUME,6E_FRONT_CALENDAR,6B_FRONT_CALENDAR,6J_FRONT_CALENDAR
2021-01-01,,,0.0,-0.0,-0.0,,-0.0,,,,,,
2021-01-03,,,,0.0,0.0,,-0.0,,,,,,
2021-01-04,0.0006388429619709892,0.0005179192004864476,,7.305234060359394e-06,0.00014969961613432107,-0.00019394019879537264,0.0009650856164774911,,0.00032096858326553974,-0.0007198884107012036,-0.00013588602677700693,0.0007576558084247238,-0.00015153891417209758
2021-01-05,-0.00024136487993352734,-0.00033321879856546287,0.012561198344858021,-7.304975778880843e-06,-0.00020573502853454972,0.0002712090984532985,0.009897941337663809,4.2837436584516896e-06,-0.0007618249876027957,-0.00021461460618153424,-0.0005543246203298624,-0.0005029311390732947,-0.0006449215676852235
2021-01-06,-0.00041352220034406836,0.0003363220706232766,0.04411249805770001,-7.305234060453442e-05,-0.0006924894002604966,0.0007955152251753052,0.03643144705215636,1.2851552489332312e-05,-0.00021429891407063502,0.0007214876849035567,-0.0003267631539140205,0.00018185126202101005,0.000497627910213517
2021-01-07,-0.000569974537162099,-0.000741159977726909,0.017756543979313047,0.0,-0.0003376607066499339,0.00044834761326001865,0.012170801941128396,-8.568344751650201e-06,-0.00014189115839214985,0.0002092122097931164,0.0006744719962015956,0.000273338203607332,0.0009662858851840096
2021-01-08,-0.0002544021355165558,-0.0005033075812537803,-0.0026438270075291176,1.461563576073404e-05,-0.0002629188493410462,0.00039089099764040797,0.007757357009383363,-0.0,-0.0005324178858134474,0.001721853076928281,0.0005874000960319785,0.00011097944626444693,0.0001722119402064297
2021-01-10,0.00010622457811729493,8.371998376219038e-05,,6.016608697730862e-06,1.5686207721782034e-05,-5.546932977414556e-05,-0.0005170939106106435,,7.551092151677161e-05,0.00017528717371753747,0.0003524952800579327,,
2021-01-11,0.00010874095535341242,0.0003338237982819056,,-4.211477141380059e-05,-0.00018822278216797287,0.0004991097682705846,0.003101614232071712,,3.624628716697704e-05,-0.00010360786813988999,0.00034809439133282104,,
2021-01-12,6.545934894855302e-06,5.597410815621917e-05,0.00683260071427255,1.2035771405176882e-05,0.00010987865253372037,-0.00038899735024426824,-0.007509352679648,4.225457378579815e-06,-0.00023104730068746287,-0.0003635468614550685,-0.0005423312885879045,-0.0007679148129417959,-0.0004180942481208691
2021-01-13,-8.729637395655034e-05,-0.00015768452103903324,0.014706420221439693,-6.017459974071712e-06,0.00017259123678242704,-0.0004715972077136054,-0.014178858622315956,-0.0,0.00011188715506499258,0.0003519351921773703,0.0005721719018986298,0.00015974408390379555,0.00011733920740818211
2021-01-14,0.00010012709478127938,0.00011100784139461086,-0.0050432745413738185,1.2035345661701592e-05,-4.703813744659526e-05,0.00038762013258100616,0.014827818500440635,4.225563094277787e-06,-0.0001869085320353253,3.760219043936722e-05,-4.296753821784212e-05,-0.0003201674813104996,-0.0001526994126009002
2021-01-15,0.0004257380324545168,0.00033649638975037763,0.020223619188494725,2.4068988529798007e-05,0.0002822814891369726,-0.0005823613385173834,-0.010058703978615918,-8.451337630602197e-06,0.0003084286803293263,0.0005957548900491202,0.0007463153265614724,0.0004782175962904687,-1.1730269295128795e-05
2021-01-17,-2.1187537195627024e-05,1.9307516398535004e-05,,0.0,-1.2184208190715063e-05,-3.6273046172130406e-05,0.002896182922971027,,-6.900222491513957e-06,0.0006605056713817073,0.00011523245648261562,0.00011816464300082063,
2021-01-18,-0.0001406144113107089,-0.00013729294015194432,,-4.610693309446536e-06,-4.873986102402376e-05,0.0002176134438187613,0.0031647548749955687,,-1.1473912910863492e-05,-0.001006052814730012,-2.7460153850671208e-05,0.00016915463651905182,
2021-01-19,-0.00018332522374626492,-0.00034875101909210556,0.004093405368041912,4.610856375531773e-06,4.875197783225275e-05,-3.6293754693379425e-05,-0.002113691926561872,,-4.800636075646615e-05,-0.00013897304017247754,-0.0007193071245142688,-0.00039868756033259445,0.0001736416826122348
2021-01-20,-0.00026532964744860907,-0.0004160721516020815,0.007558433780314811,1.3832079928426454e-05,7.310979153602476e-05,-0.0003266064998789727,-0.0031666802011557243,-8.264696379319883e-06,1.3499533024750664e-05,-0.0011095490325737161,0.000245757580122411,-8.42423831476212e-06,-0.00027336151727271193
2021-01-21,2.3574045506085304e-05,-0.00010676983339116486,0.00710965858502745,9.220408360812857e-06,-1.2180424275081466e-05,0.0003262712514187555,0.012907054220526121,-4.1321414274691955e-06,-3.390177289070813e-06,1.475655646166993e-05,-0.0006237414695499643,-0.00040430413958674675,-3.964841758065479e-05
2021-01-22,8.259501687728019e-05,4.409747521737948e-05,0.0032858114974077634,4.6098781521027816e-06,0.00012181180870250424,-0.00039918572207412747,-0.007696119447273387,4.132038054139774e-06,5.8696573870977474e-05,0.0005165899825982585,2.7229045732618772e-05,0.00020073903654012216,0.0002823779819503216
2021-01-24,-2.7182867310236313e-05,-3.641327001548496e-05,,3.6598718013100445e-06,-1.6834900526032553e-05,0.0001827266433747401,0.002964905442866724,-0.0,2.1896594698334186e-05,-2.2652936373019808e-05,4.92210154163262e-05,,
