date,signal
2020-07-01,0.24191445440364914
2020-07-02,0.25547989346886224
2020-07-06,0.24677798554035887
2020-07-07,0.23260773489779396
2020-07-08,0.25512904334887876
2020-07-09,0.21535475024795284
2020-07-10,0.25571926885310087
2020-07-13,0.10592980910296283
2020-07-14,0.1433680665150342
2020-07-15,0.17988284833374232
2020-07-16,0.14340969938466355
2020-07-17,0.19313014864432873
2020-07-20,0.153136139766155
2020-07-21,0.12550908097746089
2020-07-22,0.36895078687654964
2020-07-23,0.3474122306605542
2020-07-24,0.36026799541398863
2020-07-27,0.3494475701924755
2020-07-28,0.29010090256116067
2020-07-29,0.3362928963986782
2020-07-30,0.31286265541104213
2020-07-31,0.30680155115436375
2020-08-03,0.31546993182034083
2020-08-04,0.2825185967132125
2020-08-05,0.2988504354982934
2020-08-06,0.288093160200582
2020-08-07,0.3019622789193641
2020-08-10,0.23715485244780496
2020-08-11,0.17435041004077415
2020-08-12,0.18188415452942064
2020-08-13,0.18939491980351164
2020-08-14,0.19936466516421494
2020-08-17,0.13206764897671033
2020-08-18,0.1182502084847779
2020-08-19,0.40231292502652344
2020-08-20,0.3554879534844921
2020-08-21,0.37215532987921623
2020-08-24,0.3753762249928218
2020-08-25,0.3719650760035523
2020-08-26,0.3166153388974045
2020-08-27,0.2941201265387234
2020-08-28,0.41065774135832683
2020-08-31,0.1992952480060096
2020-09-01,0.25999962740625604
2020-09-02,0.26708318850713836
2020-09-03,0.09646067234253987
2020-09-04,-0.01957752176834504
2020-09-08,-0.03045739555856794
2020-09-09,0.037128700322887356
2020-09-10,-0.005286228331513731
2020-09-11,0.02782518130975808
2020-09-14,0.06348540334105418
2020-09-15,0.055622596305324006
2020-09-16,0.45527238950858356
2020-09-17,0.3572420674233843
2020-09-18,0.4293485453795578
2020-09-21,0.35887322129595806
2020-09-22,0.4467594633294993
2020-09-23,0.39139175421990435
2020-09-24,0.3737729466319554
2020-09-25,0.4660989717543775
2020-09-28,0.44493836244636237
2020-09-29,0.3473719737654047
2020-09-30,0.3872407007148078
2020-10-01,0.3823517621978865
2020-10-02,0.41917697777767793
2020-10-05,0.28466852726935715
2020-10-06,0.18951736336272149
2020-10-07,0.2073690219420635
2020-10-08,0.18979137566344692
2020-10-09,0.19843255138681734
2020-10-12,0.14532626668251478
2020-10-13,0.09823926926437311
2020-10-14,0.0954203150721621
2020-10-15,0.08919511347539553
2020-10-16,0.07699280013112775
2020-10-19,0.03651771836954341
2020-10-20,0.030412842474933838
2020-10-21,0.08631271598266488
2020-10-22,0.0981690000124786
2020-10-23,0.1419990370180825
2020-10-26,-0.06296080255515672
2020-10-27,-0.14009941183887328
2020-10-28,-0.33574924949037704
2020-10-29,-0.34969841440284216
2020-10-30,-0.30127005669243206
2020-11-02,-0.2852567192072768
2020-11-03,-0.3161601878960127
2020-11-04,-0.059998436105428904
2020-11-05,0.06158561005188645
2020-11-06,0.09820422270481176
2020-11-09,0.02864757162749729
2020-11-10,0.03297952755785075
2020-11-11,0.07697799102679974
2020-11-12,0.09004240259504816
2020-11-13,0.06326996000093747
2020-11-16,0.08530097977859558
2020-11-17,0.06642867163816683
2020-11-18,0.13485809545588104
2020-11-19,0.16393757609888196
2020-11-20,0.10183667021772443
2020-11-23,0.16963290608722514
2020-11-24,0.21574563909894848
2020-11-25,0.16305263591099986
2020-11-27,0.21472882325701134
2020-11-30,0.20058289757792544
2020-12-01,0.2225075019885309
2020-12-02,0.17221499283718814
2020-12-03,0.18891958905392955
2020-12-04,0.18748480597909226
2020-12-07,0.14072477799286495
2020-12-08,0.09674838772932293
2020-12-09,0.056439607598012635
2020-12-10,0.03348850661910026
2020-12-11,0.06178634031973961
2020-12-14,-0.008039752204510552
2020-12-15,0.031493497555399215
2020-12-16,0.17958711512948133
2020-12-17,0.2067238866145096
2020-12-18,0.27149667212383183
2020-12-21,0.13782947485923389
2020-12-22,0.17263195863784256
2020-12-23,0.15089992097952062
2020-12-24,0.2431906820824166
2020-12-28,0.21093447376247074
2020-12-29,0.17041186168467126
2020-12-30,0.11040591732265898
2020-12-31,0.11256628229126288
2021-01-04,-0.03840491251661403
2021-01-05,0.025634667802459793
2021-01-06,0.03250303371906257
2021-01-07,0.10736265361617303
2021-01-08,0.1410152551781996
2021-01-11,0.06448057876577286
2021-01-12,0.027345746488225728
2021-01-13,0.07145562406078375
2021-01-14,0.021089620808382836
2021-01-15,-0.024510688432413812
2021-01-19,0.027181902166301813
2021-01-20,0.32615513221309234
2021-01-21,0.3264504291977511
2021-01-22,0.30344188148379997
2021-01-25,0.28308618855940665
2021-01-26,0.24725511618206
2021-01-27,-0.5001010324229205
2021-01-28,0.04345725322053318
2021-01-29,-0.03769324008577199
2021-02-01,0.03532980445538708
2021-02-02,0.2134445975742795
2021-02-03,0.2909300080745852
2021-02-04,0.25203278315240035
2021-02-05,0.3217048724524342
2021-02-08,0.2625121123200897
2021-02-09,0.21295859136815554
2021-02-10,0.1829064823406141
2021-02-11,0.15589575730210822
2021-02-12,0.14915219459500265
2021-02-15,0.1433868840836681
2021-02-16,0.0008798861062019465
2021-02-17,0.39617584225722147
2021-02-18,0.3220885537455831
2021-02-19,0.26938509621830037
2021-02-22,0.23982467191197168
2021-02-23,0.16356562394090005
2021-02-24,0.2332836898276245
2021-02-25,-0.0580128178724306
2021-02-26,-0.11750429666201224
2021-03-01,0.12267998556270464
2021-03-02,0.06090511112380254
2021-03-03,-0.061435816347447596
2021-03-04,-0.1163368612246064
2021-03-05,0.026772816703262942
2021-03-08,-0.0276876040285956
