date,position
2020-07-01,
2020-07-02,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-28,
2020-09-29,0.03871017631667119
2020-09-30,0.04323859357244661
2020-10-01,0.042756895402200325
2020-10-02,0.04665404429913944
2020-10-05,0.031704391018252974
2020-10-06,0.021166066941496513
2020-10-07,0.023099264373895364
2020-10-08,0.021043404995417087
2020-10-09,0.022485655861865333
2020-10-12,0.01666336908578669
2020-10-13,0.011311375749552611
2020-10-14,0.010983804167410332
2020-10-15,0.01036700073506207
2020-10-16,0.009061450477534934
2020-10-19,0.004275319445568811
2020-10-20,0.003649872773939443
2020-10-21,0.010447623984715878
2020-10-22,0.011876020914550051
2020-10-23,0.017273598183974413
2020-10-26,-0.007503194790987497
2020-10-27,-0.016738970195945828
2020-10-28,-0.03814896802465889
2020-10-29,-0.03899587636748804
2020-10-30,-0.03354393832738854
2020-11-02,-0.031826348445981194
2020-11-03,-0.0349703104884521
2020-11-04,-0.006468684836749184
2020-11-05,0.006633544515935674
2020-11-06,0.01042198067415067
2020-11-09,0.003055312025035887
2020-11-10,0.0035457121567895504
2020-11-11,0.008251564860825435
2020-11-12,0.009505762473560568
2020-11-13,0.006584241634589318
2020-11-16,0.008870437542330053
2020-11-17,0.007505632828143028
2020-11-18,0.014991078841450836
2020-11-19,0.018213043607337977
2020-11-20,0.011313752602766423
2020-11-23,0.018848026963465884
2020-11-24,0.02398437158709012
2020-11-25,0.018120191438412186
2020-11-27,0.023856762528624793
2020-11-30,0.022348445805228635
2020-12-01,0.024780799739458275
2020-12-02,0.019204578616413014
2020-12-03,0.022657076252429194
2020-12-04,0.023626237351011336
2020-12-07,0.01776533621124347
2020-12-08,0.012267498135873668
2020-12-09,0.007090228120845361
2020-12-10,0.0043098191414740064
2020-12-11,0.007898324822172611
2020-12-14,-0.0010255919624049085
2020-12-15,0.00452273783786069
2020-12-16,0.025497094464340557
2020-12-17,0.02935968933141529
2020-12-18,0.03877782994759485
2020-12-21,0.019080079010355744
2020-12-22,0.02400090876745531
2020-12-23,0.020839036021832985
2020-12-24,0.033579486773886565
2020-12-28,0.029133085780025235
2020-12-29,0.02345650538215473
2020-12-30,0.015154034543575303
2020-12-31,0.015460971738471435
2021-01-04,-0.005096420306339448
2021-01-05,0.0034042854971380715
2021-01-06,0.004320123828038951
2021-01-07,0.014052337449927873
2021-01-08,0.018689403039852656
2021-01-11,0.008435760881333538
2021-01-12,0.003555423301190005
2021-01-13,0.009280748902612442
2021-01-14,0.0027353437954363903
2021-01-15,-0.003175226224853022
2021-01-19,0.0035182581261695265
2021-01-20,0.04190287174742023
2021-01-21,0.0419383017886797
2021-01-22,0.03894549880550536
2021-01-25,0.03611362972364463
2021-01-26,0.03150421144693138
2021-01-27,-0.056736599941819926
2021-01-28,0.004913020672431627
2021-01-29,-0.004442863160868454
2021-02-01,0.004194364515004764
2021-02-02,0.024805269794685045
2021-02-03,0.03346700006259419
2021-02-04,0.028976374912050448
2021-02-05,0.03799415443873389
2021-02-08,0.031028514945595515
2021-02-09,0.02569816764649229
2021-02-10,0.02207287212874605
2021-02-11,0.01877644252532327
2021-02-12,0.017836009023834365
2021-02-15,0.017517796143020358
2021-02-16,0.00011101798130274543
2021-02-17,0.04519511746930822
2021-02-18,0.03673988502194399
2021-02-19,0.031103415566528982
2021-02-22,0.027573273280638445
2021-02-23,0.018700724352653842
2021-02-24,0.02656371680670339
2021-02-25,-0.006157342035342545
2021-02-26,-0.012437338950613679
2021-03-01,0.012779775920820559
2021-03-02,0.006349889595872579
2021-03-03,-0.00637243811075931
2021-03-04,-0.012005832683512052
2021-03-05,0.002709801183137767
2021-03-08,-0.002804943517491785
2021-03-09,-0.002607833105521005
2021-03-10,0.007673917198758763
2021-03-11,0.007853782035388161
2021-03-12,0.011159436455707793
2021-03-15,-0.003333138426229634
2021-03-16,-0.0030140850424257267
2021-03-17,0.03844351322800269
2021-03-18,0.026196540206878664
2021-03-19,0.021883520045245308
2021-03-22,0.027670312042357554
2021-03-23,0.024663460718890067
2021-03-24,0.015185937227691437
2021-03-25,0.02654237871850528
2021-03-26,0.02814223768673841
2021-03-29,0.007252107924116712
