date,estimator,realized_vol,vol_window
2023-08-25,rolling_covariance,0.08652089,63
2023-09-01,rolling_covariance,0.07130840,63
2023-09-08,rolling_covariance,0.08791744,63
2023-09-15,rolling_covariance,0.08024386,63
2023-09-22,rolling_covariance,0.09020817,63
2023-09-29,rolling_covariance,0.08815926,63
2023-10-06,rolling_covariance,0.10268536,63
2023-10-13,rolling_covariance,0.09837104,63
2023-10-20,rolling_covariance,0.09478221,63
2023-10-27,rolling_covariance,0.10729065,63
2023-11-03,rolling_covariance,0.05000000,63
2023-11-10,rolling_covariance,0.12615592,63
2023-11-17,rolling_covariance,0.05036251,63
2023-11-24,rolling_covariance,0.09707756,63
2023-12-01,rolling_covariance,0.05544630,63
2023-12-08,rolling_covariance,0.09379628,63
2023-12-15,rolling_covariance,0.05918169,63
2023-12-22,rolling_covariance,0.09117256,63
2023-12-29,rolling_covariance,0.06528423,63
2024-01-05,rolling_covariance,0.08138236,63
2024-01-12,rolling_covariance,0.06602647,63
2024-01-19,rolling_covariance,0.07356299,63
2024-01-26,rolling_covariance,0.06601309,63
2024-02-02,rolling_covariance,0.07906135,63
2024-02-09,rolling_covariance,0.06814928,63
2024-02-16,rolling_covariance,0.08306761,63
2024-02-23,rolling_covariance,0.06991976,63
2024-03-01,rolling_covariance,0.08792439,63
2024-03-08,rolling_covariance,0.07670933,63
2024-03-15,rolling_covariance,0.08802419,63
2024-03-22,rolling_covariance,0.08616874,63
2024-03-29,rolling_covariance,0.08063312,63
2024-04-05,rolling_covariance,0.09060139,63
2024-04-12,rolling_covariance,0.08072233,63
2024-04-19,rolling_covariance,0.08328863,63
2024-04-26,rolling_covariance,0.07864791,63
2024-05-03,rolling_covariance,0.08727384,63
2024-05-10,rolling_covariance,0.08174002,63
2024-05-17,rolling_covariance,0.08970435,63
2024-05-24,rolling_covariance,0.07722895,63
2024-05-31,rolling_covariance,0.08320768,63
2024-06-07,rolling_covariance,0.07450488,63
2024-06-14,rolling_covariance,0.08265800,63
2024-06-21,rolling_covariance,0.07398311,63
2024-06-28,rolling_covariance,0.08219569,63
2024-07-05,rolling_covariance,0.07537627,63
2024-07-12,rolling_covariance,0.07032510,63
2024-07-19,rolling_covariance,0.07626418,63
2024-07-26,rolling_covariance,0.06536667,63
2024-08-02,rolling_covariance,0.07219488,63
2024-08-09,rolling_covariance,0.07107983,63
2024-08-16,rolling_covariance,0.07584946,63
2024-08-23,rolling_covariance,0.05000000,63
2024-08-30,rolling_covariance,0.18956576,63
2024-09-06,rolling_covariance,0.07553667,63
2024-09-13,rolling_covariance,0.10792093,63
2024-09-20,rolling_covariance,0.05000000,63
2024-09-27,rolling_covariance,0.20999032,63
2024-10-04,rolling_covariance,0.07689012,63
2024-10-11,rolling_covariance,0.14057579,63
2024-10-18,rolling_covariance,0.06634911,63
2024-10-25,rolling_covariance,0.12968199,63
2024-11-01,rolling_covariance,0.07872655,63
2024-11-08,rolling_covariance,0.10423760,63
2024-11-15,rolling_covariance,0.05000000,63
2024-11-22,rolling_covariance,0.10821444,63
2024-11-29,rolling_covariance,0.06015675,63
2024-12-06,rolling_covariance,0.10029626,63
2024-12-13,rolling_covariance,0.06959628,63
2024-12-20,rolling_covariance,0.09380557,63
2024-12-27,rolling_covariance,0.08182612,63
2025-01-03,rolling_covariance,0.09588713,63
2025-01-10,rolling_covariance,0.08181867,63
2025-01-17,rolling_covariance,0.09430129,63
2025-01-24,rolling_covariance,0.07955132,63
2025-01-31,rolling_covariance,0.08598721,63
2025-02-07,rolling_covariance,0.07880953,63
2025-02-14,rolling_covariance,0.08225985,63
2025-02-21,rolling_covariance,0.07858746,63
2025-02-28,rolling_covariance,0.07176750,63
2025-03-07,rolling_covariance,0.06236507,63
2025-03-14,rolling_covariance,0.06628072,63
2025-03-21,rolling_covariance,0.06286417,63
2025-03-28,rolling_covariance,0.07438471,63
2025-04-04,rolling_covariance,0.08777546,63
2025-04-11,rolling_covariance,0.13485360,63
2025-04-18,rolling_covariance,0.12675244,63
2025-04-25,rolling_covariance,0.05000000,63
2025-05-02,rolling_covariance,0.23494021,63
2025-05-09,rolling_covariance,0.09500840,63
2025-05-16,rolling_covariance,0.14640802,63
2025-05-23,rolling_covariance,0.08736767,63
2025-05-30,rolling_covariance,0.13360419,63
2025-06-06,rolling_covariance,0.08421277,63
2025-06-13,rolling_covariance,0.11476641,63
2025-06-20,rolling_covariance,0.08275277,63
2025-06-27,rolling_covariance,0.10724810,63
2025-07-04,rolling_covariance,0.07214697,63
2025-07-11,rolling_covariance,0.11328897,63
2025-07-18,rolling_covariance,0.08272197,63
2025-07-25,rolling_covariance,0.10331748,63
2025-08-01,rolling_covariance,0.08520202,63
2025-08-08,rolling_covariance,0.08911723,63
2025-08-15,rolling_covariance,0.08376723,63
2025-08-22,rolling_covariance,0.08530076,63
2025-08-29,rolling_covariance,0.06722435,63
2025-09-05,rolling_covariance,0.08021772,63
2025-09-12,rolling_covariance,,63
2025-09-19,rolling_covariance,0.10135984,63
2025-09-26,rolling_covariance,0.05964823,63
2025-10-03,rolling_covariance,0.09815291,63
2025-10-10,rolling_covariance,0.07389094,63
2025-10-17,rolling_covariance,0.10049338,63
2025-10-24,rolling_covariance,0.06969092,63
2025-10-31,rolling_covariance,0.07327819,63
