date,baseline,vx_carry,combined
2020-01-06,0.0,-0.0,0.0
2020-01-07,0.0,-0.0021321816618768,-0.00010660908309383999
2020-01-08,0.0,-0.00023531772323,-1.1765886161500001e-05
2020-01-09,0.0,-0.001433090115222,-7.165450576110001e-05
2020-01-10,0.0,-3.765800508827695e-05,-1.8829002544138477e-06
2020-01-13,0.0,-0.0016403196877586,-8.201598438793001e-05
2020-01-14,0.0,-0.0020643916757017,-0.000103219583785085
2020-01-15,0.0,0.0021467617467439,0.00010733808733719499
2020-01-16,0.0,-0.0014534204472333,-7.2671022361665e-05
2020-01-17,0.0,-0.0,0.0
2020-01-21,0.0,0.0001519437604463,7.597188022315001e-06
2020-01-22,0.0,-0.002461451841764,-0.0001230725920882
2020-01-23,0.0,-0.0025896882174374,-0.00012948441087187
2020-01-24,0.0,0.0091411890546551,0.00045705945273275504
2020-01-27,0.0,0.0042103929730014,0.00021051964865007
2020-01-28,0.0,0.0022645003256416,0.00011322501628208001
2020-01-29,0.0,0.0017060300477637,8.530150238818501e-05
2020-01-30,0.0,-4.342247449732498e-05,-2.171123724866249e-06
2020-01-31,0.0,-0.0035565976429401,-0.000177829882147005
2020-02-03,0.0,-0.0025982782509987,-0.000129913912549935
2020-02-04,0.0,0.0115812841794336,0.00057906420897168
2020-02-05,0.0,0.0027141960597479,0.000135709802987395
2020-02-06,0.0,-5.2655888109044994e-05,-2.63279440545225e-06
2020-02-07,0.0,-0.0013059646039947,-6.5298230199735e-05
2020-02-10,0.0,-0.0002613250904735,-1.3066254523675002e-05
2020-02-11,0.0,-0.001699715658548,-8.498578292740001e-05
2020-02-12,0.0,-0.0112456247054045,-0.000562281235270225
2020-02-13,0.0,0.0039086369755845,0.00019543184877922503
2020-02-14,0.0,0.0026196695718205,0.000130983478591025
2020-02-18,0.0,0.0009503161663715,4.7515808318575006e-05
2020-02-19,0.0,0.0250937179979175,0.001254685899895875
2020-02-20,0.0,-0.0067441551856466,-0.00033720775928233
2020-02-21,0.0,-0.0088649477408968,-0.00044324738704484005
2020-02-24,0.0,-0.0455329571080318,-0.00227664785540159
2020-02-25,0.0,-0.0150011171044652,-0.0007500558552232601
2020-02-26,0.0,0.0028716064167439,0.000143580320837195
2020-02-27,0.0,-0.0176416416667914,-0.00088208208333957
2020-02-28,0.0,-0.0017073723753784,-8.536861876892e-05
2020-03-02,0.0,-0.0130264871906207,-0.000651324359531035
2020-03-03,0.0,-0.0214608397332811,-0.0010730419866640552
2020-03-04,0.0,0.0155417372465879,0.000777086862329395
2020-03-05,0.0,-0.0149722596846193,-0.000748612984230965
2020-03-06,0.0,-0.0368774067600334,-0.0018438703380016701
2020-03-09,0.0,-0.049930219638768,-0.0024965109819384003
2020-03-10,0.0,0.0217375066801346,0.0010868753340067302
2020-03-11,0.0,-0.0178257527797482,-0.00089128763898741
2020-03-12,0.0,-0.0529537810388558,-0.0026476890519427903
2020-03-13,0.0,-0.0139293991498998,-0.00069646995749499
2020-03-16,0.0,-0.0476410529419797,-0.002382052647098985
2020-03-17,0.0,0.0465697952123291,0.0023284897606164552
2020-03-18,0.0,0.0819129033196162,0.00409564516598081
2020-03-19,0.0,-0.0053143307835308,-0.00026571653917654
2020-03-20,-0.0224029919808793,0.0250152304800685,-0.02003208085783191
2020-03-23,0.0042736671615632,0.0075730430163659,0.004438635954303335
2020-03-24,0.0217850562261803,-0.0004136109765268,0.020675122866044945
2020-03-25,-0.0005078039703395,-0.0033829812122154,-0.000651562832433295
2020-03-26,0.0127630416249866,0.0067539157974121,0.012462585333607874
2020-03-27,0.0020942928068528,-0.005981500519082,0.00169050314055606
2020-03-30,0.0055237119973861,0.0065312275958327,0.00557408777730843
2020-03-31,-0.011138419449,0.0018110877899607,-0.010490944087051967
2020-04-01,-0.0070302676325963,-0.0003807190331261,-0.0066977902026227895
2020-04-02,-0.0029463527232511,0.0006980408059637,-0.0027641330467903596
2020-04-03,-0.0081612823232386,0.0010077355998409,-0.007702831427084624
2020-04-06,0.011738232844725,0.000617770947119,0.011182209749844699
2020-04-07,0.0092055658017637,0.0001175518595698,0.008751165104654004
2020-04-08,0.0059082689110567,0.0006273281624601,0.005644221873626869
2020-04-09,0.0055370099191569,-6.166839647067666e-06,0.005259851081216701
2020-04-13,0.0048142512158562,-8.140590882384273e-06,0.004573131625519271
2020-04-14,0.0074465425589063,0.0001683073275493,0.00708263079733845
2020-04-15,-0.0154343150222796,0.0008420259360355,-0.014620497974363844
2020-04-16,0.0036986313316482,-0.0001189723639984,0.00350775114686587
2020-04-17,0.0022722705092057,-0.0001485687624786,0.0021512285456214853
2020-04-20,-0.0087199336268284,0.0007026545580438,-0.00824880421758479
2020-04-21,-0.0204034060690018,0.0001326545517919,-0.019376603037962112
2020-04-22,0.0030023418762019,3.163202788524258e-05,0.002853806383786067
2020-04-23,0.0033024278573225,1.7633485941085563e-05,0.003138188138753429
2020-04-24,0.0059748133490091,-4.952281631297653e-05,0.005673596540742996
2020-04-27,0.0011437899337116,-0.0003807116016755,0.001067564856942245
2020-04-28,0.0004573075838769,0.0002259856391493,0.00044574148664052
2020-04-29,0.013502852138453,-0.000468074904977,0.012804305786281498
2020-04-30,0.0093270010980384,0.0009454516696502,0.00890792362661899
2020-05-01,-0.0053101136363442,0.00063389701681,-0.00501291310368649
2020-05-04,0.0098593265623685,-0.0001794925533078,0.009357385606584685
2020-05-05,0.0080426721720887,-0.0002706910771987,0.007627004009624329
2020-05-06,-0.0049812055267398,4.0664496140854334e-05,-0.004730112025595767
