symbol,AnnRet,AnnVol,Sharpe
6B_FRONT_CALENDAR,0.010664603852123677,0.06608166100719656,0.16138522684776732
6E_FRONT_CALENDAR,-0.003840884310748605,0.06514721777960869,-0.05895699680901516
6J_FRONT_CALENDAR,0.014792563638354302,0.08372890019637959,0.17667213594899134
CL_FRONT_VOLUME,0.03847108695752286,0.32883232532102064,0.11699302043972011
ES_FRONT_CALENDAR_2D,0.057192270619742414,0.14485776572036865,0.3948167385802812
GC_FRONT_VOLUME,0.04446017938536974,0.14169140401816388,0.31378176886207043
NQ_FRONT_CALENDAR_2D,0.06070410586706816,0.19610674043530676,0.30954624880471004
RTY_FRONT_CALENDAR_2D,-0.04412650696207168,0.1569142134205776,-0.2812142125315269
SR3_FRONT_CALENDAR,0.00410133114379031,0.006123768182991464,0.6697397780637098
UB_FRONT_VOLUME,0.060857570992719004,0.13847248527593223,0.4394921552209376
ZF_FRONT_VOLUME,0.0190651122479653,0.040298368996161134,0.4730988554346074
ZN_FRONT_VOLUME,0.025157453476400953,0.056955132723627205,0.4417065200861987
ZT_FRONT_VOLUME,0.01591326032847597,0.019176687357993476,0.8298232135407265
