date,engine,policy_multiplier,policy_state,stress_percentile,stress_value
2020-03-24,trend,1,ON,0.00000000,0
2020-03-24,vrp,1,ON,0.00000000,0
2020-03-25,trend,1,ON,0.00000000,0
2020-03-25,vrp,1,ON,0.00000000,0
2020-03-26,vrp,1,ON,0.00000000,0
2020-03-26,trend,1,ON,0.00000000,0
2020-03-27,trend,1,ON,0.00000000,0
2020-03-27,vrp,1,ON,0.00000000,0
2020-03-29,trend,1,ON,0.00000000,0
2020-03-29,vrp,1,ON,0.00000000,0
2020-03-30,trend,1,ON,0.00000000,0
2020-03-30,vrp,1,ON,0.00000000,0
2020-03-31,trend,1,ON,0.00000000,0
2020-03-31,vrp,1,ON,0.00000000,0
2020-04-01,trend,1,ON,0.00000000,0
2020-04-01,vrp,1,ON,0.00000000,0
2020-04-02,trend,1,ON,0.00000000,0
2020-04-02,vrp,1,ON,0.00000000,0
2020-04-03,vrp,1,ON,0.00000000,0
2020-04-03,trend,1,ON,0.00000000,0
2020-04-05,trend,1,ON,0.00000000,0
2020-04-05,vrp,1,ON,0.00000000,0
2020-04-06,trend,1,ON,0.00000000,0
2020-04-06,vrp,1,ON,0.00000000,0
2020-04-07,trend,1,ON,0.00000000,0
2020-04-07,vrp,1,ON,0.00000000,0
2020-04-08,trend,1,ON,0.00000000,0
2020-04-08,vrp,1,ON,0.00000000,0
2020-04-09,trend,1,ON,0.00000000,0
2020-04-09,vrp,1,ON,0.00000000,0
2020-04-10,vrp,1,ON,0.00000000,0
2020-04-10,trend,1,ON,0.00000000,0
2020-04-12,vrp,1,ON,0.00000000,0
2020-04-12,trend,1,ON,0.00000000,0
2020-04-13,trend,1,ON,0.00000000,0
2020-04-13,vrp,1,ON,0.00000000,0
2020-04-14,trend,1,ON,0.00000000,0
2020-04-14,vrp,1,ON,0.00000000,0
2020-04-15,trend,1,ON,0.00000000,0
2020-04-15,vrp,1,ON,0.00000000,0
2020-04-16,trend,1,ON,0.00000000,0
2020-04-16,vrp,1,ON,0.00000000,0
2020-04-17,trend,1,ON,0.00000000,0
2020-04-17,vrp,1,ON,0.00000000,0
2020-04-19,trend,1,ON,0.00000000,0
2020-04-19,vrp,1,ON,0.00000000,0
2020-04-20,vrp,1,ON,0.00000000,0
2020-04-20,trend,1,ON,0.00000000,0
2020-04-21,trend,1,ON,0.00000000,0
2020-04-21,vrp,1,ON,0.00000000,0
2020-04-22,trend,1,ON,0.00000000,0
2020-04-22,vrp,1,ON,0.00000000,0
2020-04-23,trend,1,ON,0.00000000,0
2020-04-23,vrp,1,ON,0.00000000,0
2020-04-24,trend,1,ON,0.00000000,0
2020-04-24,vrp,1,ON,0.00000000,0
2020-04-26,trend,1,ON,0.00000000,0
2020-04-26,vrp,1,ON,0.00000000,0
2020-04-27,vrp,1,ON,0.00000000,0
2020-04-27,trend,1,ON,0.00000000,0
2020-04-28,vrp,1,ON,0.00000000,0
2020-04-28,trend,1,ON,0.00000000,0
2020-04-29,trend,1,ON,0.00000000,0
2020-04-29,vrp,1,ON,0.00000000,0
2020-04-30,trend,1,ON,0.00000000,0
2020-04-30,vrp,1,ON,0.00000000,0
2020-05-01,trend,1,ON,0.00000000,0
2020-05-01,vrp,1,ON,0.00000000,0
2020-05-03,trend,1,ON,0.00000000,0
2020-05-03,vrp,1,ON,0.00000000,0
2020-05-04,trend,1,ON,0.00000000,0
2020-05-04,vrp,1,ON,0.00000000,0
2020-05-05,trend,1,ON,0.00000000,0
2020-05-05,vrp,1,ON,0.00000000,0
2020-05-06,vrp,1,ON,0.00000000,0
2020-05-06,trend,1,ON,0.00000000,0
2020-05-07,trend,1,ON,0.00000000,0
2020-05-07,vrp,1,ON,0.00000000,0
2020-05-08,trend,1,ON,0.00000000,0
2020-05-08,vrp,1,ON,0.00000000,0
2020-05-10,trend,1,ON,0.00000000,0
2020-05-10,vrp,1,ON,0.00000000,0
2020-05-11,trend,1,ON,0.00000000,0
2020-05-11,vrp,1,ON,0.00000000,0
2020-05-12,trend,1,ON,0.00000000,0
2020-05-12,vrp,1,ON,0.00000000,0
2020-05-13,trend,1,ON,0.00000000,0
2020-05-13,vrp,1,ON,0.00000000,0
2020-05-14,trend,1,ON,0.00000000,0
2020-05-14,vrp,1,ON,0.00000000,0
2020-05-15,vrp,1,ON,0.00000000,0
2020-05-15,trend,1,ON,0.00000000,0
2020-05-17,trend,1,ON,0.00000000,0
2020-05-17,vrp,1,ON,0.00000000,0
2020-05-18,trend,1,ON,0.00000000,0
