date,position
2020-01-03,0.0
2020-01-06,-0.7071067811865476
2020-01-07,-1.1338934190277075
2020-01-08,1.1349748626873142
2020-01-09,0.9045340337329868
2020-01-10,0.7789711910619713
2020-01-13,0.6961075244317204
2020-01-14,0.043852900965688946
2020-01-15,0.041666666666987595
2020-01-16,0.03977087275636343
2020-01-17,0.7735449421177368
2020-01-22,-0.7889778788293427
2020-01-23,-1.4083812917367313
2020-01-24,-0.5990790478082503
2020-01-28,-1.2678943935557099
2020-01-29,-2.0
2020-01-30,-1.9966590146721763
2020-01-31,-2.0
2020-02-02,-1.8337505464520627
2020-02-03,-1.6494113620788424
2020-02-04,-0.4906208763111289
2020-02-05,0.09052585304690214
2020-02-06,0.08861109938540869
2020-02-07,-0.5092595406497147
2020-02-11,-0.2956940043996888
2020-02-12,-0.2896771404873524
2020-02-13,-0.2840139991230596
2020-02-14,-0.7029139695370812
2020-02-18,-1.3986248090662254
2020-02-19,-1.2342754750706089
2020-02-20,-1.8372481603198798
2020-02-21,-2.0
2020-02-23,-2.0
2020-02-24,-2.0
2020-02-25,-2.0
2020-02-26,-2.0
2020-02-27,-2.0
2020-02-28,-2.0
2020-03-03,-1.0737165778900377
2020-03-04,-1.3007063790902855
2020-03-05,-1.2946368810083806
2020-03-06,-0.8549471480448179
2020-03-09,-1.3109168070071935
2020-03-10,-0.5038471569816624
2020-03-11,-0.15628256664595047
2020-03-12,1.061599586227774
2020-03-13,1.2580697381314825
2020-03-15,1.1519498433603352
2020-03-16,1.197658378467603
2020-03-17,1.0962751501165524
2020-03-18,2.0
2020-03-19,1.9787527066930575
2020-03-20,1.3775317057344327
2020-03-22,1.789693738800757
2020-03-23,1.6612289076584406
2020-03-24,1.606771523487902
2020-03-25,1.3108013221110328
2020-03-26,1.2804901775223616
2020-03-27,1.3753081129008566
2020-03-30,12.81516833695707
2020-03-31,11.929143427543895
2020-04-01,11.69843621111195
2020-04-02,12.090754761562847
2020-04-03,11.860582627967908
2020-04-06,11.035259369998087
2020-04-07,12.064814623330077
2020-04-08,10.634901465746458
2020-04-09,9.251135403267876
2020-04-13,9.127575042355812
2020-04-14,9.008859434237852
2020-04-15,8.279388907277387
2020-04-16,8.800159626779259
2020-04-17,9.310908664957537
2020-04-20,9.810762649092537
2020-04-21,9.683245529519688
2020-04-22,10.791802335517257
2020-04-23,9.41026940231209
2020-04-24,9.914349265928943
2020-04-28,11.021461521607183
2020-04-29,11.4826698666422
2020-04-30,10.093917545809703
2020-05-01,9.355025234566435
2020-05-05,8.632386509085974
2020-05-06,9.162040720158178
2020-05-07,5.32885729619384
2020-05-08,6.5437595002651925
2020-05-11,7.745688983788167
2020-05-12,7.046786723789445
2020-05-13,6.9878481228598135
2020-05-14,6.930368795451391
2020-05-15,7.457955492382375
2020-05-19,7.9651578228017925
2020-05-20,7.81070558145326
2020-05-21,7.394344050172387
2020-05-22,7.2981454969272495
2020-05-25,7.824235884264388
2020-05-26,7.098088990334931
2020-05-27,6.372696890301136
2020-05-28,5.660349265156558
2020-05-29,5.577501878099145
2020-06-02,6.124963384677599
2020-06-03,6.941805622272234
2020-06-04,7.117292066369528
2020-06-05,7.298356035178894
2020-06-07,7.463821155649945
2020-06-08,6.386771790818734
2020-06-09,6.2401197803123925
2020-06-10,5.7728086479543625
2020-06-11,5.0057524832638345
2020-06-12,5.4807990780572045
2020-06-15,5.663870637096782
2020-06-16,5.548599469922917
2020-06-17,4.196908933452432
2020-06-18,4.084248302733867
2020-06-19,4.597703024718659
2020-06-21,3.861923903918531
2020-06-22,3.1324512298135323
2020-06-23,3.6462098858876306
2020-06-24,2.884805057812443
2020-06-25,4.0190285533661205
2020-06-26,1.3237072195522042
2020-06-30,1.785946950269178
2020-07-01,2.237498296636905
2020-07-02,2.007270575802392
2020-07-03,1.7617754496471703
2020-07-06,-0.09135512135674423
2020-07-07,-0.5616397809217151
2020-07-08,-0.26365335397683426
2020-07-09,-1.7123088170406928
2020-07-10,-1.1938902893779844
2020-07-12,-3.1948669143374495
2020-07-13,-4.101022592248815
2020-07-14,-2.2857899965898483
2020-07-15,-5.970769225462988
2020-07-16,-5.534489601239096
2020-07-17,-2.8791842337477873
2020-07-20,-9.867262784091043
2020-07-21,-3.5079018972143112
2020-07-22,-7.4714236136421155
2020-07-23,-8.091516306301317
2020-07-24,-8.378145118259216
2020-07-27,-8.356131525957679
2020-07-28,-8.28124718128225
2020-07-29,-3.6406575239688186
2020-07-30,-8.174375767536114
2020-07-31,-3.1787948601703886
2020-08-04,-7.980314749718528
2020-08-05,-7.808855244787626
2020-08-06,-2.6645328428799524
2020-08-07,-2.517729040153456
2020-08-10,2.63866967259206
2020-08-11,-2.362260575553761
2020-08-12,-2.212250246549752
2020-08-13,-2.060190762857315
2020-08-14,-1.951515113248139
2020-08-18,-4.397394550186896
2020-08-19,6.343281296246604
2020-08-20,0.9530880810728086
2020-08-21,8.837660605776282
2020-08-25,8.68327385897771
2020-08-26,5.883555450775245
2020-08-27,5.785278048196053
2020-08-28,-2.1258410697645242
2020-09-01,5.888241717962625
2020-09-02,5.930682910301318
2020-09-03,-1.8782124166665246
2020-09-04,3.6494340484352468
2020-09-07,6.5416570866303
2020-09-08,1.3418838922766603
2020-09-09,7.855608198795427
2020-09-10,5.150893548625122
2020-09-11,8.529117732650919
2020-09-14,11.727536882396555
2020-09-15,18.1243751819052
2020-09-16,-7.7621598120294575
2020-09-17,-14.105268606782335
2020-09-18,-1.0811565084921118
2020-09-22,-1.0811565084736747
2020-09-23,-1.0811565084921118
