date,core_v9,crisis_sleeve,combined
2020-01-07,0.0,0.004498521120908983,0.00022492605604544915
2020-01-08,0.0,0.010157482386572436,0.0005078741193286218
2020-01-09,0.0,0.017621698676151265,0.0008810849338075633
2020-01-10,0.0,0.0005015252303492979,2.5076261517464895e-05
2020-01-13,0.0,0.0073958400635003585,0.00036979200317501795
2020-01-14,0.0,-0.0021846141251189444,-0.00010923070625594722
2020-01-15,0.0,0.008245758305700068,0.00041228791528500345
2020-01-16,0.0,0.010835781095086539,0.0005417890547543269
2020-01-17,0.0,0.00398248236431753,0.0001991241182158765
2020-01-21,0.0,-0.02142767284707814,-0.001071383642353907
2020-01-22,0.0,-0.11822822469334149,-0.005911411234667075
2020-01-23,0.0,0.006746866054676115,0.0003373433027338058
2020-01-24,0.0,-0.029938396252340294,-0.0014969198126170147
2020-01-27,0.0,-0.03803454126328232,-0.001901727063164116
2020-01-28,0.0,0.03458773763035827,0.0017293868815179136
2020-01-29,0.0,-0.001784121793501292,-8.920608967506461e-05
2020-01-30,0.0,0.014364178819743945,0.0007182089409871973
2020-01-31,0.0,-0.04934313690281167,-0.0024671568451405837
2020-02-03,0.0,-0.003256700907090071,-0.00016283504535450355
2020-02-04,0.0,0.03106716951154498,0.001553358475577249
2020-02-05,0.0,0.025111175066931057,0.001255558753346553
2020-02-06,0.0,0.00023872482859532695,1.1936241429766348e-05
2020-02-07,0.0,-0.012950484990488231,-0.0006475242495244116
2020-02-10,0.0,0.009746380999705373,0.0004873190499852687
2020-02-11,0.0,-0.0031338164161716087,-0.00015669082080858044
2020-02-12,0.0,0.038031326437580226,0.0019015663218790114
2020-02-13,0.0,-0.007707421633390776,-0.00038537108166953883
2020-02-14,0.0,0.017668409296528687,0.0008834204648264344
2020-02-18,0.0,-0.005115449101315228,-0.0002557724550657614
2020-02-19,0.0,-0.0019529015830990204,-9.764507915495103e-05
2020-02-20,0.0,-0.014349198452981327,-0.0007174599226490664
2020-02-21,0.0,-0.02223483686942407,-0.0011117418434712035
2020-02-24,0.0,-0.0588345959433787,-0.002941729797168935
2020-02-25,0.0,-0.027168276600758823,-0.0013584138300379413
2020-02-26,0.0,0.00028950207775180203,1.4475103887590102e-05
2020-02-27,0.0,-0.04817052799322363,-0.002408526399661182
2020-02-28,0.0,-0.023379268798485064,-0.0011689634399242534
2020-03-02,0.0,0.014843152092552714,0.0007421576046276357
2020-03-03,0.0,-0.014561204258175753,-0.0007280602129087877
2020-03-04,0.0,0.025957219024181466,0.0012978609512090734
2020-03-05,0.0,-0.03903044195043259,-0.0019515220975216297
2020-03-06,0.0,-0.01854922161258532,-0.000927461080629266
2020-03-09,0.0,-0.0376496562173787,-0.0018824828108689351
2020-03-10,0.0,0.018330136069491854,0.0009165068034745927
2020-03-11,0.0,0.0010839919936893594,5.419959968446797e-05
2020-03-12,0.0,-0.05717591030113267,-0.0028587955150566335
2020-03-13,0.0,0.04420512894685924,0.002210256447342962
2020-03-16,0.0,-0.00884340330512634,-0.00044217016525631707
2020-03-17,0.0,0.09156008795924375,0.004578004397962188
2020-03-18,0.0,-0.048410385923393306,-0.0024205192961696655
2020-03-19,0.0,0.045160273353143765,0.0022580136676571883
2020-03-20,-0.0206106649302768,0.034005513178001046,-0.018910389271376747
2020-03-23,0.0039311365870835,-0.004007012489277706,0.0037307859626196146
2020-03-24,0.0200416742565256,-0.09678039427626084,0.015202654542712555
2020-03-25,-0.0004670658826726,0.042635694113420275,0.0016647188229984137
2020-03-26,0.0117421413140003,-0.004800650901509496,0.011502108768924825
2020-03-27,0.0019269067173929,-0.029556483622018792,0.00044908253629196023
2020-03-30,0.005081689061834,0.023250726245655162,0.006244225374116758
2020-03-31,-0.0102471917359872,0.01865163090495514,-0.009314610190739443
2020-04-01,-0.0064678386974084,-0.006276627279311331,-0.006781670061373967
2020-04-02,-0.0027110037029391,0.024282672968529262,-0.001496870054512637
2020-04-03,-0.0075084243373857,0.021610764929191006,-0.006427886090926149
2020-04-06,0.0107991034287299,-0.0026997403942994325,0.010664116409014927
2020-04-07,0.0084691914234671,-0.007348536923378113,0.008101764577298195
2020-04-08,0.0054355710158938,0.0027972806974374542,0.005575435050765673
2020-04-09,0.005094055349844,-0.010127235655282618,0.0045876935670798695
2020-04-13,0.0044291090419157,-0.004797896929284118,0.004189214195451494
2020-04-14,0.0068508219366146,-0.022370161948305434,0.005732313839199328
2020-04-15,-0.0141995659183443,0.08229578847885,-0.010084776494401801
2020-04-16,0.00340273444754,-0.0029794007491839025,0.003253764410080805
2020-04-17,0.0020904888684692,0.014858953357105076,0.0028334365363244535
2020-04-20,-0.0080223389366821,-0.031376712167942244,-0.009591174545079212
2020-04-21,-0.0187711335834816,-0.0013717632757299647,-0.0188397217472681
2020-04-22,0.0027621545261058,0.01864448036839894,0.0036943785445257473
2020-04-23,0.0030382336287367,0.006799569324638988,0.0033782120949686495
2020-04-24,0.0054968282810884,0.018480498911801924,0.006420853226678497
2020-04-27,0.0010522867390147,0.021293912775906865,0.0021169823778100436
2020-04-28,0.0004207229771668,0.0015839292677517491,0.0004999194405543875
2020-04-29,0.0124226239673767,0.005583849276706854,0.012701816431212043
2020-04-30,0.0085808410101953,-0.017610188259162385,0.007700331597237181
2020-05-01,-0.0048853045454367,-0.015050649179156217,-0.005637837004394511
2020-05-04,0.009070580437379,0.01755584493508655,0.009948372684133327
2020-05-05,0.0073992583983216,0.01244026098819262,0.00802127144773123
2020-05-06,-0.0045827090846006,0.0016065484621679005,-0.0045023816614922045
