date,6E_FRONT_CALENDAR_2D,CL_FRONT_VOLUME,ES_FRONT_CALENDAR_2D,GC_FRONT_VOLUME,NQ_FRONT_CALENDAR_2D,ZN_FRONT_VOLUME
2021-01-08,0.6034992164751449,-0.040156875625175406,0.13572561695649,0.27046856929261426,0.35000392056521806,0.34617390887961835
2021-01-15,0.46857823623402517,0.00702670843672034,0.23614529241289042,0.24656392199881805,0.4038008557848497,0.20639973115246213
2021-01-22,0.36773032617388035,0.04050187413377614,0.30177701306145216,0.17599163442514584,0.4618222920320932,0.034948251379140205
2021-01-29,0.3023823613588548,0.08427103047369267,0.28976491179347735,0.24686879663705602,0.36037315816224846,0.07504014194257436
2021-02-05,0.2818202180687976,0.1225750626729045,0.285072913901767,0.15760463751057036,0.2937214095572067,-0.02798875214774425
2021-02-12,0.18241496095429302,0.171995865504384,0.26981646198504805,0.08792727207787109,0.29471070027072693,-0.060079999205515544
2021-02-19,0.24429579684936664,0.15049618152055433,0.2931556453461956,0.08359061787398173,0.3242428927707042,-0.054426774168312014
2021-02-26,0.1948488300479339,0.2747220320038649,0.2196416539494497,0.038956780990907616,0.2707434571221134,-0.03739692738710885
2021-03-05,0.20890110599573966,0.27784883525832826,0.20989649370053437,0.05920909671541233,0.23520558666727004,-0.06360585676539489
2021-03-12,0.1845956811955051,0.30708365700039386,0.1896899295909949,0.015081401528924942,0.19888305775029794,-0.0790709097734412
2021-03-19,0.16569504554510814,0.2942970849184023,0.18339230760712943,0.032403433314408786,0.1795973591075014,-0.07928637237054328
2021-03-26,0.2102771930569796,0.27834421951521604,0.18746022372114807,0.011049486232503552,0.17769471567666129,-0.14058602666641742
2021-04-02,0.20010593651845554,0.2793365606541006,0.2297285644024806,-0.02405084180264685,0.1909729226115581,-0.21390829463547856
2021-04-09,0.21546317581091093,0.29796687230287855,0.26410067408241283,-0.00025861832512987296,0.2167507837486122,-0.2545042545981677
2021-04-16,0.2034138407081699,0.2843967956257123,0.3221347675449466,-0.019650355014631665,0.27114268170927514,-0.31528763600411935
2021-04-23,0.1360955835997603,0.29627731118973893,0.3395532262118847,-0.0022482293785848705,0.29234663155544316,-0.33701847067380253
2021-04-30,0.16333263147931473,0.2872657766622286,0.3875507704055104,0.001997464991347036,0.29871115945441556,-0.3166019697643922
2021-05-07,0.22716028515620926,0.26367323207695514,0.42786720514573817,-0.009953634739115341,0.32364223564165434,-0.32327550286547135
2021-05-14,0.20779090361486116,0.29237774107157144,0.41258395539987075,-0.004204223777231468,0.2923924775513137,-0.30045904978917576
2021-05-21,0.2439653939657775,0.2891601357434885,0.4178692269995098,-0.0071849869555071525,0.2895361162311079,-0.351268385017333
2021-05-28,0.201658384350803,0.33745355464686655,0.40067369067286196,-0.018744107997245654,0.2218530216100285,-0.3559741297342683
2021-06-04,0.21705089628787871,0.3299616544157399,0.39141539712133233,0.022851991230520015,0.23692388539641643,-0.3585050477573088
2021-06-11,0.18161493817355692,0.334830809755212,0.4062433448977738,-0.03481538073105895,0.25606592284725677,-0.38442484850394876
2021-06-18,0.13864540615655394,0.358841519605106,0.4056370835987385,-0.08416772135036492,0.2500188412233993,-0.3682586580540616
2021-06-25,0.1358213832567763,0.3790766863657132,0.39141066944617187,-0.12300223862230399,0.24043467589579245,-0.4563851362466551
2021-07-02,0.09961297410388106,0.413189987625082,0.43714329807093555,-0.04384078199362011,0.2808049840540643,-0.3836568644027598
2021-07-09,0.09922479685511201,0.4376598137381503,0.432975127310669,-0.07903932650927369,0.2556627308729738,-0.3982174421396213
2021-07-16,-0.020926480089505217,0.46343729991105526,0.4015044480283007,-0.2190917511021709,0.24880633019605405,-0.41134523225035197
2021-07-23,6.938208837668394e-05,0.45116849176392954,0.4093340928550087,-0.16045092246452397,0.29816522851251176,-0.33149591946034335
2021-07-30,-0.02574316080537164,0.4618464161189195,0.43120786005560985,-0.12954786388494297,0.3248337167023678,-0.2860246467382309
2021-08-06,-0.042837493620831446,0.4230264245028615,0.48316934140721524,-0.12723673046203038,0.3720717124621887,-0.2953368595829179
2021-08-13,0.033286262383746844,0.3985909548755185,0.5431662106326419,-0.05204274220628928,0.38131809997037264,-0.2601575916830862
2021-08-20,0.015169848599177688,0.4593841725547939,0.49144063554076006,-0.09207823199834855,0.34162070933394617,-0.22754738935200208
2021-08-27,-0.009634873924278932,0.46544416768683655,0.5104685231941757,-0.11471258895499462,0.3569639115198178,-0.21026836939204202
2021-09-03,-0.031253093442919884,0.45356040236669615,0.5476239268688999,-0.19482656115916408,0.3737822178940744,-0.3126179236533734
2021-09-10,-0.08229634882785188,0.4527277004635126,0.5599364730666831,-0.1160359328232939,0.3828908945293425,-0.22915958220691812
2021-09-17,0.01426443918830395,0.4556818986273684,0.5477478805858972,-0.05815944289670176,0.3920694379105587,-0.18237697345056153
2021-09-24,-0.06417229215707727,0.4893510608862266,0.5084437128565054,-0.13836232539838558,0.34712886721081754,-0.23428027315771502
2021-10-01,-0.03201689827141791,0.4621535137871258,0.4856543427121069,-0.09759828551676543,0.3999222523234887,-0.2766705162973815
2021-10-08,-0.05950665658989516,0.4532909096095726,0.48676154739939154,-0.07090662539236449,0.38968451460275155,-0.27358179299278834
2021-10-15,-0.1661678427375517,0.4772211478167392,0.4432278160555869,-0.009623939530435312,0.3504481822195377,-0.34269001246421826
2021-10-22,-0.25521887432482154,0.5137069311872173,0.4227056472778027,-0.13843458198776418,0.2995514599617155,-0.39222874712636335
2021-10-29,-0.29245998103850884,0.5509862334190662,0.40945313084651386,-0.10958772940078079,0.28902321443736756,-0.399024027345681
