date,ES_FRONT_CALENDAR_2D,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,ZT_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,UB_FRONT_VOLUME,SR3_FRONT_CALENDAR,CL_FRONT_VOLUME,GC_FRONT_VOLUME,6E_FRONT_CALENDAR,6B_FRONT_CALENDAR,6J_FRONT_CALENDAR
2024-01-01,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,-0.0,-0.0,-0.0
2024-01-02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
2024-01-03,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,-0.0,0.0,-0.0
2024-01-04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,0.0,0.0,0.0,-0.0
2024-01-05,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,-0.0,0.0,-0.0
2024-01-07,9.098948544909655e-05,-1.414865908210351e-05,,-0.0008560992314124993,-0.0010620112366545246,-0.0006246624253069887,-0.0003052729522361072,,0.0005701085097648553,0.00015812205309824278,0.00020146419103472915,0.00015844060229044363,0.0004426546676283165
2024-01-08,0.0015132065994089383,-0.00024086537151175053,,0.0012563292343997778,0.002453102878235707,0.0017197466693636234,0.0008300007184342599,,0.010218372096951736,0.0015190818250774396,-0.0008060777385272795,-0.0008189960974145867,-0.001303526182499701
2024-01-09,-0.00013472740893592306,-4.1049715283034665e-05,0.0006942830243011233,0.00034234851078374096,0.0008159279738106917,0.0006234411888934976,0.0002609066445068618,,-0.005013231530947864,-0.0,0.0012413416245880065,0.001001488812908646,0.0004675786084276976
2024-01-10,0.0007514465012575303,-9.58737499169697e-05,-0.000435501967465031,-5.704506560155753e-05,-0.00040766934297426497,-0.0005449022959211137,-0.0009118561789631064,,0.003161388743354724,0.0006268021225565617,-0.0021508184862768496,-0.0006872783503778845,0.0033813425908144706
2024-01-11,-0.0002617298276550413,6.964278282373213e-06,8.210424835973768e-05,0.0030805506959766804,0.004322856084234806,0.0025713358292206424,0.001047408747312746,,-0.007483424333440364,-0.000926952773240797,-0.0005026270688010218,-0.0008705336162915802,-0.0017066802740949396
2024-01-12,6.39725492699114e-06,-2.709768346262908e-06,-0.00047972876409939667,0.002675724912706068,0.002356313544865082,0.0010083045621561643,-0.0002603425897867075,-0.0,0.002162373421233603,-0.0014958943202641882,-0.0008706248042907295,-0.0004209858397064481,-0.0015679735994277813
2024-01-14,-3.7123777937712556e-05,-3.695325022961545e-05,,-0.0010229210077666862,-0.0016175092034493408,-0.0010746013756138676,-0.0004779425099792731,,0.0006727889820645149,0.0002751697573309314,0.0016386272258529368,,5.6008803712910125e-05
2024-01-15,-6.498011726136337e-05,-3.6975057668304374e-05,,-0.00022747090268010473,-0.0005114903845835633,-0.0004140549909347727,-0.0005991577243618333,,-0.0004260318647114976,-0.0007785255985612957,-0.0003790417622054828,,0.001708515158993135
