date,leverage
2024-11-29,3.40800375
2024-12-06,2.91423322
2024-12-13,3.37213028
2024-12-20,2.53698794
2024-12-27,2.81347563
2025-01-03,2.28784392
2025-01-10,2.63601591
2025-01-17,2.19954172
2025-01-24,2.52621982
2025-01-31,2.32852880
2025-02-07,2.56228796
2025-02-14,2.40323100
2025-02-21,2.56735764
2025-02-28,2.83552181
2025-03-07,3.14951398
2025-03-14,2.97627836
2025-03-21,3.08085362
2025-03-28,2.75394441
2025-04-04,2.41778422
2025-04-11,1.50686578
2025-04-18,1.64244096
2025-04-25,1.47145293
2025-05-02,1.75183420
2025-05-09,1.53574018
2025-05-16,1.88184407
2025-05-23,1.91272766
2025-05-30,1.82679661
2025-06-06,2.18452708
2025-06-13,2.01737087
2025-06-20,2.36455407
2025-06-27,2.24386301
2025-07-04,2.74459115
2025-07-11,2.13159713
2025-07-18,2.39554700
2025-07-25,2.48747018
2025-08-01,2.51645689
2025-08-08,2.80539669
2025-08-15,2.67109345
2025-08-22,2.62520911
2025-08-29,2.93905746
2025-09-05,2.77371356
2025-09-12,
2025-09-19,2.20638444
2025-09-26,3.47785384
2025-10-03,2.29679311
2025-10-10,2.89152447
2025-10-17,2.01641707
2025-10-24,3.01426632
2025-10-31,2.83521502
