date,estimator,realized_vol,vol_window
2023-06-16,rolling_covariance,0.07416254,63
2023-06-23,rolling_covariance,0.08901748,63
2023-06-30,rolling_covariance,0.07406287,63
2023-07-07,rolling_covariance,0.08402166,63
2023-07-14,rolling_covariance,0.07257458,63
2023-07-21,rolling_covariance,0.08298241,63
2023-07-28,rolling_covariance,0.06988615,63
2023-08-04,rolling_covariance,0.07145488,63
2023-08-11,rolling_covariance,0.07030060,63
2023-08-18,rolling_covariance,0.07457152,63
2023-08-25,rolling_covariance,0.08637859,63
2023-09-01,rolling_covariance,0.06962848,63
2023-09-08,rolling_covariance,0.08692129,63
2023-09-15,rolling_covariance,0.08050896,63
2023-09-22,rolling_covariance,0.08937424,63
2023-09-29,rolling_covariance,0.08703859,63
2023-10-06,rolling_covariance,0.10168176,63
2023-10-13,rolling_covariance,0.10236648,63
2023-10-20,rolling_covariance,0.09581592,63
2023-10-27,rolling_covariance,0.11349732,63
2023-11-03,rolling_covariance,0.08822062,63
2023-11-10,rolling_covariance,0.09374143,63
2023-11-17,rolling_covariance,0.08317175,63
2023-11-24,rolling_covariance,0.08028758,63
2023-12-01,rolling_covariance,0.07170853,63
2023-12-08,rolling_covariance,0.07456643,63
2023-12-15,rolling_covariance,0.06721034,63
2023-12-22,rolling_covariance,0.06362827,63
2023-12-29,rolling_covariance,0.06956027,63
2024-01-05,rolling_covariance,0.05969579,63
2024-01-12,rolling_covariance,0.07238595,63
2024-01-19,rolling_covariance,0.05650703,63
2024-01-26,rolling_covariance,0.07774558,63
2024-02-02,rolling_covariance,0.07080620,63
2024-02-09,rolling_covariance,0.07669648,63
2024-02-16,rolling_covariance,0.07787444,63
2024-02-23,rolling_covariance,0.07537765,63
2024-03-01,rolling_covariance,0.08550168,63
2024-03-08,rolling_covariance,0.07694372,63
2024-03-15,rolling_covariance,0.08352121,63
2024-03-22,rolling_covariance,0.09109546,63
2024-03-29,rolling_covariance,0.07996487,63
2024-04-05,rolling_covariance,0.09439912,63
2024-04-12,rolling_covariance,0.08077595,63
2024-04-19,rolling_covariance,0.08592157,63
2024-04-26,rolling_covariance,0.07921218,63
2024-05-03,rolling_covariance,0.08921791,63
2024-05-10,rolling_covariance,0.08252771,63
2024-05-17,rolling_covariance,0.09209818,63
2024-05-24,rolling_covariance,0.07832637,63
2024-05-31,rolling_covariance,0.08303781,63
2024-06-07,rolling_covariance,0.06843453,63
2024-06-14,rolling_covariance,0.07151008,63
2024-06-21,rolling_covariance,0.07313584,63
2024-06-28,rolling_covariance,0.07232378,63
2024-07-05,rolling_covariance,0.07419640,63
2024-07-12,rolling_covariance,0.05920138,63
2024-07-19,rolling_covariance,0.07865043,63
2024-07-26,rolling_covariance,0.05352661,63
2024-08-02,rolling_covariance,0.08320626,63
2024-08-09,rolling_covariance,0.06693302,63
2024-08-16,rolling_covariance,0.08209709,63
2024-08-23,rolling_covariance,0.08555541,63
2024-08-30,rolling_covariance,0.10038823,63
2024-09-06,rolling_covariance,0.10086748,63
