date,profile,regime
2024-01-05,H,NORMAL
2024-01-12,H,NORMAL
2024-01-19,H,NORMAL
2024-01-26,H,NORMAL
2024-02-02,H,NORMAL
2024-02-09,H,NORMAL
2024-02-16,H,NORMAL
2024-02-23,H,NORMAL
2024-03-01,H,NORMAL
2024-03-08,H,NORMAL
2024-03-15,H,NORMAL
2024-03-22,H,NORMAL
2024-03-29,H,NORMAL
2024-04-05,H,NORMAL
2024-04-12,H,NORMAL
2024-04-19,H,NORMAL
2024-04-26,H,NORMAL
2024-05-03,H,NORMAL
2024-05-10,H,NORMAL
2024-05-17,H,NORMAL
2024-05-24,H,NORMAL
2024-05-31,H,NORMAL
2024-06-07,H,NORMAL
2024-06-14,H,NORMAL
2024-06-21,H,NORMAL
2024-06-28,H,NORMAL
2024-07-05,H,NORMAL
2024-07-12,H,NORMAL
2024-07-19,H,NORMAL
2024-07-26,H,NORMAL
2024-08-02,H,NORMAL
2024-08-09,H,NORMAL
2024-08-16,H,NORMAL
2024-08-23,H,NORMAL
2024-08-30,H,NORMAL
2024-09-06,H,NORMAL
2024-09-13,H,NORMAL
2024-09-20,H,NORMAL
2024-09-27,H,NORMAL
2024-10-04,H,NORMAL
2024-10-11,H,NORMAL
2024-10-18,H,NORMAL
2024-10-25,H,NORMAL
2024-11-01,H,NORMAL
2024-11-08,H,NORMAL
2024-11-15,H,NORMAL
2024-11-22,H,NORMAL
2024-11-29,H,NORMAL
2024-12-06,H,NORMAL
2024-12-13,H,NORMAL
2024-12-20,H,NORMAL
2024-12-27,H,NORMAL
