date,vix,rv252,vx1,spread,signal,position,vx_return,pnl
2020-10-23,27.55,33.083277206339254,28.78,-5.533277206339253,0.0,0.0,-0.0017358101910889268,0.0
2020-10-26,32.46,33.10287226361929,31.33,-0.6428722636192887,0.0,0.0,0.08489540350487834,-0.0
2020-10-27,33.35,33.107823152185894,31.33,0.24217684781410753,-1.0,0.0,0.0,-0.0
2020-10-28,40.28,33.18257432940395,36.0,7.097425670596053,-1.0,-1.0,0.13894283349200975,0.13894283349200975
2020-10-29,37.59,33.13341681182062,33.13,4.456583188179387,-1.0,-1.0,-0.08307972214430537,-0.08307972214430537
2020-10-30,38.02,33.129871819831294,34.1,4.890128180168709,-1.0,-1.0,0.028858167977666493,0.028858167977666493
2020-11-02,37.13,33.18092199529483,33.38,3.9490780047051715,-1.0,-1.0,-0.02134046605578188,-0.02134046605578188
2020-11-03,35.55,33.245957289642,31.43,2.3040427103579972,-1.0,-1.0,-0.06019406742421296,-0.06019406742421296
2020-11-04,29.57,33.27540820849993,28.38,-3.7054082084999322,0.0,-1.0,-0.10207817907757955,-0.10207817907757955
2020-11-05,27.58,33.3230405603852,27.78,-5.743040560385204,0.0,0.0,-0.021368334405698963,0.0
2020-11-06,24.86,33.31753635523531,25.48,-8.457536355235312,0.0,0.0,-0.08642250662223505,0.0
2020-11-09,25.75,33.32693564789756,25.58,-7.576935647897557,0.0,0.0,0.003916965446733922,-0.0
2020-11-10,24.8,33.32809776404787,24.68,-8.528097764047867,0.0,0.0,-0.035817597113509514,0.0
2020-11-11,23.45,33.3388934843817,23.83,-9.8888934843817,0.0,0.0,-0.035047907926536226,0.0
2020-11-12,25.35,33.35303929141531,25.88,-8.003039291415305,0.0,0.0,0.0825251785220491,-0.0
2020-11-13,23.1,33.37566448084803,23.33,-10.275664480848029,0.0,0.0,-0.10373038359936126,0.0
2020-11-16,22.45,33.34697870498991,22.93,-10.896978704989909,0.0,0.0,-0.017293989163525758,0.0
2020-11-17,22.71,33.347484048672754,22.98,-10.637484048672754,0.0,0.0,0.0021781755507968015,-0.0
2020-11-18,23.84,33.36394592648165,24.88,-9.523945926481648,0.0,0.0,0.07943999545036906,-0.0
2020-11-19,23.11,33.3668270582323,24.48,-10.256827058232304,0.0,0.0,-0.016207810226853248,0.0
2020-11-20,23.7,33.363736069061005,24.38,-9.663736069061006,0.0,0.0,-0.004093333591000281,0.0
2020-11-23,22.66,33.3195232202255,24.1,-10.659523220225498,0.0,0.0,-0.011551283556515912,0.0
2020-11-24,21.64,33.34584181487153,23.6,-11.705841814871526,0.0,0.0,-0.020965128465044724,0.0
2020-11-25,21.25,33.310509322161245,22.63,-12.060509322161245,0.0,0.0,-0.041970252386118734,0.0
2020-11-27,20.84,33.29159187923616,22.8,-12.451591879236158,0.0,0.0,0.007484076314949295,-0.0
2020-11-30,20.57,33.279600704504,22.38,-12.709600704503998,0.0,0.0,-0.018592833076616078,0.0
2020-12-01,20.77,33.26251661176347,22.83,-12.492516611763474,0.0,0.0,0.019907757657925185,-0.0
2020-12-02,21.17,33.26222854508546,22.68,-12.092228545085462,0.0,0.0,-0.006591981682153136,0.0
2020-12-03,21.28,33.2618452046257,22.98,-11.9818452046257,0.0,0.0,0.013140793561058572,-0.0
2020-12-04,20.79,33.26544147092259,22.48,-12.47544147092259,0.0,0.0,-0.021998247395119463,0.0
2020-12-07,21.3,33.26886653377188,22.48,-11.968866533771877,0.0,0.0,0.0,-0.0
2020-12-08,20.68,33.27235680806614,21.38,-12.592356808066143,0.0,0.0,-0.050170119428591065,0.0
2020-12-09,22.27,33.28444562455072,22.53,-11.01444562455072,0.0,0.0,0.0523918488472539,-0.0
2020-12-10,22.52,33.282573728257475,22.53,-10.762573728257475,0.0,0.0,0.0,-0.0
2020-12-11,23.31,33.26683937248093,23.63,-9.956839372480932,0.0,0.0,0.04766933675466323,-0.0
2020-12-14,24.72,33.24984837261626,24.28,-8.529848372616264,0.0,0.0,0.027135874992481046,-0.0
2020-12-15,22.89,33.2151389987867,22.88,-10.325138998786699,0.0,0.0,-0.05938979967970015,0.0
2020-12-16,22.5,33.09535309636782,24.1,-10.595353096367823,0.0,0.0,0.05194867398501213,-0.0
2020-12-17,21.93,33.05878029315256,23.83,-11.128780293152559,0.0,0.0,-0.011266549385958502,0.0
2020-12-18,21.57,32.74125659607655,24.18,-11.171256596076553,0.0,0.0,0.014580554075995789,-0.0
2020-12-21,25.16,32.64363378051157,26.33,-7.483633780511571,0.0,0.0,0.08518312832157138,-0.0
2020-12-22,24.23,32.18799987274847,25.78,-7.95799987274847,0.0,0.0,-0.021109975997176456,0.0
2020-12-23,23.31,32.031619244401185,24.63,-8.721619244401186,0.0,0.0,-0.04563378537859508,0.0
2020-12-24,21.53,31.813253343782605,23.85,-10.283253343782604,0.0,0.0,-0.03218099479809622,0.0
2020-12-28,21.7,31.63375868440711,23.68,-9.93375868440711,0.0,0.0,-0.007153407318545302,0.0
2020-12-29,23.08,31.240428324602444,24.63,-8.160428324602446,0.0,0.0,0.03933440211664152,-0.0
2020-12-30,22.77,31.22223042663237,23.68,-8.452230426632369,0.0,0.0,-0.03933440211664152,0.0
2020-12-31,22.75,31.20993615455851,23.68,-8.459936154558509,0.0,0.0,0.0,-0.0
2021-01-04,26.97,28.851875654822397,26.28,-1.881875654822398,0.0,0.0,0.10417738360060502,-0.0
2021-01-05,25.34,27.521458527800114,25.33,-2.181458527800114,0.0,0.0,-0.03681872960282595,0.0
2021-01-06,25.07,27.260800188680122,25.13,-2.1908001886801216,0.0,0.0,-0.007927112458083307,0.0
2021-01-07,22.37,26.80206988363957,23.23,-4.432069883639571,0.0,0.0,-0.0786178047731827,0.0
2021-01-08,21.56,26.78878597715389,22.78,-5.2287859771538905,0.0,0.0,-0.019561588763282067,0.0
2021-01-11,24.08,26.506102562771794,24.48,-2.4261025627717956,0.0,0.0,0.07197349962508959,-0.0
2021-01-12,23.33,26.344432610980135,23.33,-3.014432610980137,0.0,0.0,-0.04811637161078686,0.0
2021-01-13,22.21,23.84553500416854,22.68,-1.6355350041685384,0.0,0.0,-0.02825660717378753,0.0
2021-01-14,23.25,23.710875358229092,23.18,-0.4608753582290923,0.0,0.0,0.021806359052054525,-0.0
2021-01-15,24.34,22.684801948321244,23.78,1.6551980516787559,-1.0,0.0,0.025555053351030033,-0.0
2021-01-19,23.24,21.325139372447982,23.23,1.9148606275520166,-1.0,-1.0,-0.023400344480317692,-0.023400344480317692
2021-01-20,21.58,21.295698734392648,24.78,0.2843012656073505,-1.0,-1.0,0.06459232941867832,0.06459232941867832
2021-01-21,21.32,20.715928241355158,24.53,0.6040717586448423,-1.0,-1.0,-0.010140017930598155,-0.010140017930598155
2021-01-22,21.91,20.477027529289575,24.88,1.4329724707104248,-1.0,-1.0,0.014167409600580605,0.014167409600580605
2021-01-25,23.19,20.23791913979009,25.95,2.952080860209911,-1.0,-1.0,0.04210734174091879,0.04210734174091879
2021-01-26,23.02,20.205236405276324,25.41,2.8147635947236758,-1.0,-1.0,-0.021028812279825004,-0.021028812279825004
2021-01-27,37.21,20.520239037427164,31.53,16.689760962572837,-1.0,-1.0,0.21579667622489707,0.21579667622489707
2021-01-28,30.21,19.83041038111817,30.39,10.37958961888183,-1.0,-1.0,-0.0368258666282677,-0.0368258666282677
2021-01-29,33.09,19.92335762797227,32.39,13.166642372027734,-1.0,-1.0,0.06373612625453617,0.06373612625453617
2021-02-01,30.24,19.729992529593503,30.33,10.510007470406496,-1.0,-1.0,-0.06571241148274831,-0.06571241148274831
2021-02-02,25.56,19.7098987891119,27.58,5.8501012108880985,-1.0,-1.0,-0.09504644933533424,-0.09504644933533424
2021-02-03,22.91,19.69595845147676,25.78,3.214041548523241,-1.0,-1.0,-0.06749187485411401,-0.06749187485411401
2021-02-04,21.77,19.59043787920184,24.23,2.1795621207981597,-1.0,-1.0,-0.06200746268260726,-0.06200746268260726
2021-02-05,20.87,19.372270972565886,24.1,1.497729027434115,-1.0,-1.0,-0.005379694331824947,-0.005379694331824947
2021-02-08,21.24,18.958793566170698,23.84,2.2812064338293006,-1.0,-1.0,-0.010846998299460342,-0.010846998299460342
2021-02-09,21.63,18.940243300073973,23.7,2.6897566999260256,-1.0,-1.0,-0.00588979405606338,-0.00588979405606338
2021-02-10,21.99,18.901664698587915,23.74,3.0883353014120836,-1.0,-1.0,0.00168634104043619,0.00168634104043619
2021-02-11,21.25,18.683027965562125,22.71,2.5669720344378746,-1.0,-1.0,-0.04435603306405467,-0.04435603306405467
2021-02-12,19.97,18.64955389775387,21.36,1.3204461022461302,-1.0,-1.0,-0.06128534202547309,-0.06128534202547309
2021-02-15,19.97,18.543395923332316,21.3,1.426604076667683,-1.0,-1.0,-0.002812941376614475,-0.002812941376614475
2021-02-16,21.46,18.554846263298565,21.24,2.905153736701436,-1.0,-1.0,-0.0028208763416417426,-0.0028208763416417426
2021-02-17,21.5,18.48844408683681,25.6,3.011555913163189,-1.0,-1.0,0.18670615511177902,0.18670615511177902
2021-02-18,22.49,18.503919495539975,25.8,3.9860805044600234,-1.0,-1.0,0.007782140442055052,0.007782140442055052
2021-02-19,22.05,18.3432575474319,24.8,3.7067424525681005,-1.0,-1.0,-0.03953083875663532,-0.03953083875663532
2021-02-22,23.45,18.05022185362795,25.9,5.39977814637205,-1.0,-1.0,0.04339931553455534,0.04339931553455534
2021-02-23,23.11,17.985096137869895,24.75,5.124903862130104,-1.0,-1.0,-0.04541747969079246,-0.04541747969079246
2021-02-24,21.34,17.94935529372836,23.76,3.3906447062716403,-1.0,-1.0,-0.040821994520255256,-0.040821994520255256
2021-02-25,28.89,18.169037850446898,28.22,10.720962149553102,-1.0,-1.0,0.17202745193022384,0.17202745193022384
2021-02-26,27.95,18.1297764030968,26.74,9.820223596903201,-1.0,-1.0,-0.053870374750871086,-0.053870374750871086
2021-03-01,23.35,18.070153483544345,24.62,5.279846516455656,-1.0,-1.0,-0.0826014509174895,-0.0826014509174895
2021-03-02,24.1,18.087616535273334,24.77,6.012383464726668,-1.0,-1.0,0.006074122744960775,0.006074122744960775
2021-03-03,26.67,18.201801355715958,26.13,8.468198644284044,-1.0,-1.0,0.05345083603125289,0.05345083603125289
2021-03-04,28.57,17.96454133319277,27.52,10.60545866680723,-1.0,-1.0,0.05182893353262186,0.05182893353262186
2021-03-05,24.66,18.072530104245093,25.05,6.587469895754907,-1.0,-1.0,-0.09403918553426927,-0.09403918553426927
2021-03-08,25.47,18.042863917880197,25.37,7.427136082119802,-1.0,-1.0,0.01269354608031703,0.01269354608031703
2021-03-09,24.03,18.060280837643067,23.97,5.969719162356935,-1.0,-1.0,-0.05676432516489793,-0.05676432516489793
2021-03-10,22.56,17.857663575547846,23.5,4.702336424452152,-1.0,-1.0,-0.01980262729617932,-0.01980262729617932
2021-03-11,21.91,17.84998301080333,22.89,4.060016989196669,-1.0,-1.0,-0.026300287185637927,-0.026300287185637927
2021-03-12,20.69,17.80432864152434,21.98,2.885671358475662,-1.0,-1.0,-0.04056718498900036,-0.04056718498900036
2021-03-15,20.03,17.79400144537615,20.1,2.235998554623851,-1.0,-1.0,-0.08941313391044492,-0.08941313391044492
2021-03-16,19.79,17.79230629845688,19.92,1.9976937015431204,-1.0,-1.0,-0.008995562908578059,-0.008995562908578059
2021-03-17,19.23,17.79118831162327,23.0,1.438811688376731,-1.0,-1.0,0.14376996377269746,0.14376996377269746
2021-03-18,21.58,17.8706426269019,24.3,3.709357373098097,-1.0,-1.0,0.05498213441735311,0.05498213441735311
2021-03-19,20.95,17.79642696572744,23.32,3.153573034272558,-1.0,-1.0,-0.04116498886421116,-0.04116498886421116
2021-03-22,18.88,17.793306807452737,21.73,1.086693192547262,-1.0,-1.0,-0.07061756721395351,-0.07061756721395351
2021-03-23,20.3,17.788300159872307,22.83,2.5116998401276938,-1.0,-1.0,0.049381666273366154,0.049381666273366154
2021-03-24,21.2,17.79037019869172,22.98,3.409629801308281,-1.0,-1.0,0.006548811878905436,0.006548811878905436
2021-03-25,19.81,17.735372440589654,22.31,2.074627559410345,-1.0,-1.0,-0.029589263976168567,-0.029589263976168567
2021-03-26,18.86,17.749369309593718,21.39,1.110630690406282,-1.0,-1.0,-0.04211148535012699,-0.04211148535012699
2021-03-29,20.74,17.59160092427345,22.0,3.148399075726548,-1.0,-1.0,0.028118930264001918,0.028118930264001918
2021-03-30,19.61,17.58624271799587,21.03,2.02375728200413,-1.0,-1.0,-0.04509246364370778,-0.04509246364370778
2021-03-31,19.4,17.587145278698234,20.73,1.8128547213017647,-1.0,-1.0,-0.014368063266919862,-0.014368063266919862
2021-04-01,17.33,17.615832067420087,20.08,-0.28583206742008826,0.0,-1.0,-0.03185763162416011,-0.03185763162416011
2021-04-02,17.33,17.534456502266636,19.6,-0.20445650226663759,0.0,0.0,-0.024194728587056513,0.0
2021-04-05,17.91,16.9619526453701,19.54,0.9480473546298995,-1.0,0.0,-0.0030659196218350004,0.0
2021-04-06,18.12,16.90194244453867,19.56,1.218057555461332,-1.0,-1.0,0.001023017992034525,0.001023017992034525
2021-04-07,17.16,16.59225792425407,18.99,0.5677420757459295,-1.0,-1.0,-0.029574139782476916,-0.029574139782476916
2021-04-08,16.95,16.559508009965736,18.49,0.3904919900342634,-1.0,-1.0,-0.026682479425161,-0.026682479425161
2021-04-09,16.69,16.51880957121563,18.15,0.17119042878437085,-1.0,-1.0,-0.01855948468817381,-0.01855948468817381
2021-04-12,16.91,16.371595004221607,18.0,0.538404995778393,-1.0,-1.0,-0.008298802814695083,-0.008298802814695083
2021-04-13,16.65,15.691032267173663,17.68,0.958967732826336,-1.0,-1.0,-0.017937700686667224,-0.017937700686667224
