date,port_rvol_20d,port_rvol_60d,vol_accel,dd_level,dd_slope_10d,corr_20d,corr_60d,corr_shock
2024-11-22,0.1110602256637532,0.08391410872578654,1.3234988412577247,-0.0892752036987714,-0.02203386005098562,0.2351986343925375,0.1767979886000088,0.05840064579252868
2024-11-24,0.11244419899896023,0.08444945947371454,1.3314969651636341,-0.08604394842129037,-0.011081543563698282,0.28123169609461296,0.1795192209593074,0.10171247513530557
2024-11-25,0.11664178890378149,0.08675915556045832,1.3444320446676015,-0.09635357690077495,-0.00836182454624268,0.2506690423054188,0.16868800691667704,0.08198103538874177
2024-11-26,0.12129486667747365,0.08833030312699897,1.3731965405244801,-0.08989958763128303,0.003636294570904197,0.24483831636200962,0.1700388095941347,0.07479950676787492
2024-11-27,0.13061123120828688,0.09175562809180159,1.4234683356710307,-0.07992269266125618,0.007308778390164972,0.2376152704893638,0.17611847245799858,0.06149679803136521
2024-11-28,0.12976289997742227,0.09183345583977658,1.4130242490691176,-0.08252319140516107,0.0044473796473151195,0.2262032531710751,0.1766946446876393,0.0495086084834358
2024-11-29,0.10604288676579346,0.09184199873879169,1.154623028919379,-0.08091318892957677,0.00509417754799657,0.26679581855591783,0.18167592433154667,0.08511989422437116
2024-12-01,0.10242945866854827,0.09181131030791934,1.1156518551474486,-0.08332664109840227,-0.001848630215096625,0.21687357419661674,0.18090172586574144,0.0359718483308753
2024-12-02,0.1008543610786844,0.09218273544052168,1.0940699535192016,-0.08868915789270637,-0.005725950526628498,0.2307108170173594,0.1802970488965891,0.05041376812077031
2024-12-03,0.10067637874701334,0.0920441212768908,1.0937839087425762,-0.08818490534641132,-0.0029444510459094575,0.22424357378271303,0.17635250933995045,0.04789106444276259
2024-12-04,0.10166278485941727,0.09289796854948995,1.0943488479541723,-0.09484917416394023,-0.0055739704651688315,0.2115728124799391,0.17023554973035174,0.04133726274958735
2024-12-05,0.10296540575712251,0.09456334213337798,1.0888511703815813,-0.08816839406002552,-0.0021244456387351507,0.164095612400762,0.17120045666464753,-0.007104844263885524
2024-12-06,0.0916084199396159,0.094180759085927,0.9726872115782779,-0.09255309384389565,0.0038004830568793,0.1753731279460823,0.17229171746792302,0.0030814104781592966
2024-12-08,0.08899641862326772,0.09425823412656673,0.9441765957949773,-0.09190989334845068,-0.0020103057171676486,0.15275396060525104,0.17268737281611665,-0.019933412210865614
2024-12-09,0.08569621628368485,0.09394550109968305,0.9121907412336316,-0.08987355097121297,-0.00995085830995679,0.18659447591302622,0.1725703636896099,0.014024112223416318
2024-12-10,0.08597418966624687,0.09397127529190895,0.9148986155522502,-0.0881971567941211,-0.005673965388960034,0.18689416278377613,0.17566687616782514,0.011227286615950988
2024-12-11,0.08667742027094028,0.09300154454345672,0.9319997930834216,-0.08527524184510671,-0.004362052915529935,0.15993270439811605,0.17575189318511436,-0.01581918878699831
