date,instrument,weight
2021-02-19,ES_FRONT_CALENDAR_2D,0.02864192
2021-02-19,GC_FRONT_VOLUME,-0.15505100
2021-02-19,NQ_FRONT_CALENDAR_2D,0.02060860
2021-02-19,RTY_FRONT_CALENDAR_2D,0.87534691
2021-02-19,SR3_FRONT_CALENDAR,-0.04706433
2021-02-19,UB_FRONT_VOLUME,-1.48623771
2021-02-19,ZF_FRONT_VOLUME,-0.13738935
2021-02-19,ZN_FRONT_VOLUME,-0.64065658
2021-02-19,ZT_FRONT_VOLUME,0.12738292
2021-02-26,6B_FRONT_CALENDAR,0.16893278
2021-02-26,6E_FRONT_CALENDAR,-0.12629755
2021-02-26,6J_FRONT_CALENDAR,-0.23409538
2021-02-26,CL_FRONT_VOLUME,0.05813553
2021-02-26,ES_FRONT_CALENDAR_2D,0.03771318
2021-02-26,GC_FRONT_VOLUME,-0.16637895
2021-02-26,NQ_FRONT_CALENDAR_2D,0.02127494
2021-02-26,RTY_FRONT_CALENDAR_2D,0.81862639
2021-02-26,SR3_FRONT_CALENDAR,0.02159213
2021-02-26,UB_FRONT_VOLUME,-1.38392984
2021-02-26,ZF_FRONT_VOLUME,-0.20739574
2021-02-26,ZN_FRONT_VOLUME,-0.65470596
2021-02-26,ZT_FRONT_VOLUME,0.05933148
2021-03-05,6B_FRONT_CALENDAR,0.21000168
2021-03-05,6E_FRONT_CALENDAR,-0.12892424
2021-03-05,6J_FRONT_CALENDAR,-0.28364904
2021-03-05,CL_FRONT_VOLUME,0.06964335
2021-03-05,ES_FRONT_CALENDAR_2D,0.04744056
2021-03-05,GC_FRONT_VOLUME,-0.17887288
2021-03-05,NQ_FRONT_CALENDAR_2D,0.01543864
2021-03-05,RTY_FRONT_CALENDAR_2D,0.77897804
2021-03-05,SR3_FRONT_CALENDAR,0.09717220
2021-03-05,UB_FRONT_VOLUME,-1.30123702
2021-03-05,ZF_FRONT_VOLUME,-0.28515541
2021-03-05,ZN_FRONT_VOLUME,-0.67408479
2021-03-05,ZT_FRONT_VOLUME,-0.00640686
2021-03-12,6B_FRONT_CALENDAR,0.23560664
2021-03-12,6E_FRONT_CALENDAR,-0.13150040
