symbol,AnnRet,AnnVol,Sharpe
6B_FRONT_CALENDAR,0.049840642755920726,0.09201994402542675,0.5416287010797232
6E_FRONT_CALENDAR,0.06832567752680535,0.07926038429140811,0.8620407046677909
6J_FRONT_CALENDAR,0.11291483972249601,0.10696721444533341,1.0556023199071167
CL_FRONT_VOLUME,0.5253066491639473,0.3901167038073525,1.346537187557481
ES_FRONT_CALENDAR_2D,0.0326386419079058,0.19094175857173606,0.17093506497502794
GC_FRONT_VOLUME,-0.04736159944073876,0.14834542279604213,-0.3192656608344129
NQ_FRONT_CALENDAR_2D,0.09611628547577168,0.2461684880045777,0.3904491848444238
RTY_FRONT_CALENDAR_2D,-0.04474178992662125,0.24159619031759932,-0.1851924480589046
SR3_FRONT_CALENDAR,-0.00016861595708779836,0.0009044253042445185,-0.1864343647800147
UB_FRONT_VOLUME,0.26304090709088457,0.14913428784774052,1.7637855847036172
ZF_FRONT_VOLUME,0.05569131783941299,0.04552424570731245,1.2233331266478826
ZN_FRONT_VOLUME,0.10801955499041765,0.06351352783876943,1.7007330354035413
ZT_FRONT_VOLUME,0.025978313448314895,0.02108272630945917,1.2322084471902113
