date,tsmom_multihorizon,csmom_meta
2024-01-01,0.0,0.0
2024-01-02,0.0,0.0
2024-01-03,0.0,0.0
2024-01-04,0.0,0.0
2024-01-05,0.0,0.0
2024-01-07,-0.0032697153361862484,-0.0001473782066899107
2024-01-08,0.04117433269497052,-0.002336647793705412
2024-01-09,0.0016592039947821134,-0.0008464907555148658
2024-01-10,0.0054454872632545654,0.0006457651383760707
2024-01-11,-7.848727052357264e-05,0.00048470352258908
2024-01-12,0.008067036324319255,0.0008286110895975594
2024-01-14,-0.004709926471170706,0.00029012215983080774
2024-01-15,-0.004083272643015019,0.00011748810052197235
2024-01-16,0.01757671565732065,0.0015070858337512204
2024-01-17,-0.03266620668415707,0.0005273187328704087
2024-01-18,-0.013698027714870874,-0.000519723788539306
2024-01-19,0.014254015998959155,-0.0005221379221774647
2024-01-21,0.0024607458245875825,0.00013543439916128224
2024-01-22,-0.00013468564346449496,-0.000465449224966378
2024-01-23,0.012687056517919446,-0.00015675052811012308
2024-01-24,-0.026089793019169687,-9.560409514452025e-05
2024-01-25,0.01758719874844256,-0.0012780180183908014
2024-01-26,-0.01690203005600288,9.643381532450557e-05
2024-01-28,-0.0073368151784248435,-7.582936751849259e-05
2024-01-29,0.03587447004098833,-0.0006074349640001275
2024-01-30,-0.022173129251698336,-0.000339252979496564
2024-01-31,-0.0063906906502355105,-0.00010620567533769378
2024-02-01,0.028025131670356595,-0.00102963271572185
2024-02-02,0.056114608653356365,0.0015226073975696036
2024-02-04,0.003416471325650866,0.0001402357651751317
2024-02-05,0.009675715215249557,0.0010561298964665649
2024-02-06,-0.03901284324834975,-0.000360113490658485
2024-02-07,0.022649355025399488,-0.0005582565616464388
2024-02-08,-0.015491677832643718,1.397748843033088e-07
2024-02-09,0.012415406686792174,-8.066112469984631e-05
2024-02-11,-0.003431916077358948,-8.112995261641467e-05
2024-02-12,0.00035083274801116053,0.00023855391895181104
2024-02-13,0.0015510227002191023,0.0016138407586564214
2024-02-14,0.029749191860085678,-0.0003260110637778223
2024-02-15,-0.002394094281521866,-0.0013284519597061943
2024-02-16,-0.016673250137493413,4.2345792431316666e-05
2024-02-18,-0.01874105907245535,-0.00023966094118494638
2024-02-19,0.0004812543782395473,0.00030076630861702663
2024-02-20,-0.022539089802317162,-0.00039626777402605176
2024-02-21,-0.012116367210016897,0.0006631141765951099
2024-02-22,0.06197210244360272,-0.0010098707455162765
2024-02-23,0.006562025952647457,-0.000647294767901733
2024-02-25,0.0046438603112197,0.00012322532328884966
2024-02-26,-0.008459866045766592,0.000250837893211881
2024-02-27,0.00929827020159791,0.0004921935281412653
2024-02-28,-0.020512094611199988,-0.0006153469555088206
2024-02-29,-0.0019631342268211435,-0.0004958397858297122
2024-03-01,-0.014449645447452267,-0.001174574569612842
2024-03-03,0.0013739220482637748,5.051782193140461e-05
2024-03-04,-0.004277815993731283,-0.000421239688295665
2024-03-05,-0.031030824359373353,-0.0002100394801552588
2024-03-06,-0.0188277128824522,0.0011469703019276602
2024-03-07,-0.01374686988476266,0.001338466660483699
2024-03-08,-0.022601874434521302,-0.00025485121443975144
2024-03-10,-0.004907010043478049,-2.016735110446628e-05
2024-03-11,0.004319429837651916,-2.4760374186085996e-06
2024-03-12,0.02719590324645686,-0.00021059398885664963
2024-03-13,-0.001829242416360155,0.0005837775681165199
2024-03-14,0.023250607640282854,-0.0008799379022536967
2024-03-15,1.4287623307471589e-05,-0.0006084583391650888
2024-03-17,0.01134100740811185,0.0006198783056858903
2024-03-18,0.010556046045931675,0.0005753381178403244
2024-03-19,0.02346304015887494,0.00026982983937038507
2024-03-20,0.0232809393575768,0.001610878814476816
2024-03-21,0.0189051881391906,-0.0008287568915596921
2024-03-22,-0.015252421753651295,-0.0002459656150288761
2024-03-24,0.0009467721478633594,0.00012926598846312102
2024-03-25,-0.0014361482879080736,0.0001487193191362528
2024-03-26,-0.005671781629715053,-0.00043991356157654406
2024-03-27,0.015702091222868083,0.0007127644162486472
2024-03-28,0.008875004895699576,0.00047011192990201634
2024-03-29,0.002600016305578346,-0.0004805918313541088
2024-03-31,0.007618484843623403,0.000455126644860332
