date,regime
2024-03-14,CRISIS
2024-03-15,CRISIS
2024-03-17,CRISIS
2024-03-18,CRISIS
2024-03-19,CRISIS
2024-03-20,CRISIS
2024-03-21,STRESS
2024-03-22,STRESS
2024-03-24,STRESS
2024-03-25,STRESS
2024-03-26,STRESS
2024-03-27,STRESS
2024-03-28,STRESS
2024-03-29,CRISIS
2024-03-31,CRISIS
