date,position
2020-10-05,-6.520791484248272
2020-10-06,-5.991505190675419
2020-10-07,-5.972612993425343
2020-10-08,-5.826566195908543
2020-10-09,-5.553519451164513
2020-10-11,-5.409112300143901
2020-10-12,-5.649161380334345
2020-10-13,-5.88859611322481
2020-10-14,-5.999036329841357
2020-10-15,-5.980703298085385
2020-10-16,-5.705073812721377
2020-10-18,-5.430317282167564
2020-10-19,-5.285543201625829
2020-10-20,-5.400013712149844
2020-10-21,-5.125466279852801
2020-10-22,-5.241137932371194
2020-10-23,-4.446163419932061
2020-10-25,-4.825572323759951
2020-10-26,-5.073753817470228
2020-10-27,-5.060035877699197
2020-10-28,-5.046428709528805
2020-10-29,-5.0329308291183725
2020-10-30,-4.75679998142943
2020-11-01,-4.7444706777220516
2020-11-02,-4.732236829650707
2020-11-03,-4.85213434137908
2020-11-04,-4.310546786277906
2020-11-05,-5.3597392679904745
2020-11-06,-4.9475026871236265
2020-11-09,-4.801921416586399
2020-11-10,-3.325044950575864
2020-11-11,-2.9171090875595302
2020-11-12,-2.9106666521636804
2020-11-13,-3.03824339149716
2020-11-16,-2.4945969682041462
2020-11-17,-4.774843205729271
2020-11-18,-5.301342257270884
2020-11-19,-4.479163360945007
2020-11-20,-4.468474901428088
2020-11-23,-4.5930983129419936
2020-11-24,-4.257169345648462
2020-11-25,-4.192729228116349
2020-11-26,-3.705849452573353
2020-11-27,-3.7805470064846802
2020-11-30,-3.5666294754628733
2020-12-01,-2.901064195353567
2020-12-02,-3.57872902971276
2020-12-03,-3.354056076776768
2020-12-04,-3.123461339478743
2020-12-06,-3.207222849590557
2020-12-07,-3.1321462679486345
2020-12-08,-3.056017049261683
2020-12-09,-2.2887797122786178
2020-12-10,-2.5487807148555977
2020-12-11,-3.0027274305885325
2020-12-13,-2.556635107858838
2020-12-14,-2.1007525225627446
2020-12-15,-3.1506893207869697
2020-12-16,-3.074415026702403
2020-12-17,-2.2125191068263033
2020-12-18,-2.923868685122774
2020-12-20,-3.2525997092117596
2020-12-21,-3.1797579586085414
2020-12-22,-3.105137159716454
2020-12-23,-3.0279464917973957
2020-12-24,-2.949617502090176
2020-12-28,-2.870578647689472
2020-12-29,-2.3308989754134997
2020-12-30,-3.415926280563059
2020-12-31,-3.104412761980097
2021-01-03,-4.029052275200036
2021-01-04,-3.9954871996414507
2021-01-05,-3.1496545854318505
2021-01-06,-3.0856480859959303
2021-01-07,-3.9110702801088886
2021-01-08,-4.498019697738297
2021-01-11,-4.189908831482546
2021-01-12,-4.51368598580809
2021-01-13,-4.512812163813608
2021-01-14,-5.253192018042073
2021-01-15,-6.787680096760128
2021-01-17,-6.4258102768499565
2021-01-18,-6.484183547123786
2021-01-19,-5.644155443965412
2021-01-20,-6.452548173135026
2021-01-21,-6.021732574281201
2021-01-22,-7.003952967892872
2021-01-24,-6.9891810465434725
2021-01-25,-6.0322348484705675
2021-01-26,-4.504117507721157
2021-01-27,-4.451341484566967
2021-01-28,-3.8697204220373127
2021-01-29,-4.370125606046035
2021-02-01,-5.455289922253738
2021-02-02,-5.397666167634404
2021-02-03,-6.498896864230199
2021-02-04,-7.5947391128222295
2021-02-05,-6.965703161046055
2021-02-07,-7.621155033987623
2021-02-08,-7.752330465646347
2021-02-09,-8.515404118872247
2021-02-10,-8.538108745731254
2021-02-11,-4.426596620900176
2021-02-12,-5.764060122589526
2021-02-14,-9.407209322874966
2021-02-15,-6.495214453494592
2021-02-16,-10.209830098910942
2021-02-17,-13.87760596006833
2021-02-18,-11.542203491046854
2021-02-19,-13.030654020556922
2021-02-21,-16.77497220230836
2021-02-22,-16.64015494434527
2021-02-23,-21.842342856329687
2021-02-24,-17.246216958634996
2021-02-25,-25.149058137883106
2021-02-26,-30.0
2021-02-28,-30.0
2021-03-01,-30.0
2021-03-02,-30.0
2021-03-03,-27.731166410870102
2021-03-04,-30.0
2021-03-05,-30.0
2021-03-07,-30.0
2021-03-08,-30.0
