date,6B_FRONT_CALENDAR,6E_FRONT_CALENDAR,6J_FRONT_CALENDAR,CL_FRONT_VOLUME,ES_FRONT_CALENDAR_2D,GC_FRONT_VOLUME,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,SR3_FRONT_CALENDAR,UB_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,ZT_FRONT_VOLUME
2020-01-31,-0.008627930060319144,,,0.02345375449215048,-0.018925286919510564,0.008955792682926678,-0.022265010576558053,,,0.008275190653902254,0.003647495603465112,0.004885605338417642,0.001663352015910391
2020-02-02,,,,0.011233778810769035,-0.0015494267121165528,0.0033994334277620553,0.0008321082850248906,,,-0.0009655616350177088,-0.00019469141410866087,-0.0003557452863749422,-7.219955958270852e-05
2020-02-03,,,,0.022526934378060748,0.00293935643564347,-0.006775832862789488,0.0076213175179447035,,,0.0016108247422681465,-0.0009087368557705311,-0.0009489916963226763,-0.0006498429546193396
2020-02-04,-0.0028461538461539426,0.001896933291179237,0.0077603516578931275,0.006212424849699305,0.016196205460434987,-0.015981302507737993,0.027366741844985887,,,-0.01543904792537798,-0.0033134095634095306,-0.005224412253621469,-0.0011921534626638808
2020-02-05,0.002531257191071612,0.0038915788044709965,0.003062787136294043,-0.03286953014720706,0.012295081967213184,0.0012196687636409909,0.004604717157925764,0.0013941928835545792,-2.539811545976267e-05,-0.008983992159425025,-0.0016296199726223426,-0.002625925041776056,-0.0004340277777777901
2020-02-06,-0.005690556751768772,0.0019079634761277608,0.0009326311169628454,-0.003904724716907504,0.004348478032688563,-0.006155029813425639,0.009113924050632827,0.018756828942576242,0.0,0.004779957145211844,-0.0001958735962391822,-0.00011967448539973446,-0.0001447387465624006
2020-02-07,,,,0.02100350058343059,0.007763511495968989,0.00286752055056394,-0.006998177832941654,,,0.011811023622047223,0.002155031672435248,0.003470975463794046,0.0007599884192239781
2020-02-09,,,,0.011720301946762102,0.0035359614805898776,0.0028593213877239343,-0.004654007765544366,,,0.003728923476005175,0.0011077805291281884,0.001789122137404675,0.00043394930025675293
2020-02-10,,,,-0.0010050251256281673,0.012155530388825886,0.0018374200088702164,0.018035108344243378,,,-0.0025843967048941874,-0.00039054872095289905,-0.0005953089653529808,-0.0002530272908006781
2020-02-11,,,,-0.0066265060240964235,0.002759958227659176,0.003237273073505187,0.0016272111700172953,,,-0.005182186234817809,-0.0014976883505892769,-0.0022635215630212313,-0.0006869621809241222
2020-02-12,-0.0006946052326926022,0.004669474455228029,0.0014268466688617254,-0.02673050069818461,0.0020084802499442667,0.0015920524740495878,0.003746986689026288,-0.015748506607132118,0.0,-0.0009767214715936667,-6.52145558889261e-05,-0.00023880597014924732,0.00010854227721690535
2020-02-13,-0.006632731759987687,0.0029436114432893623,-0.001154099802154418,0.001360015543034776,0.002004454342984463,0.004832146490335809,0.003445845406844672,0.0009504574076274475,,0.0014665145836727511,-0.0001304376182090783,0.00011943150603133112,-0.00021706099413931756
2020-02-14,,,,-0.01653696498054469,0.0018522634659554615,0.004112882814477414,0.002133250084549454,,,0.004881223560039061,0.000521818537603469,0.0010747551946501677,7.236937328114479e-05
2020-02-16,-0.0038426068244699074,-0.0,,0.0024880382775119836,0.002144653157816867,-0.0005671434873023573,0.0034786220503102427,,,-0.0016191709844559643,-0.0003911597887736873,-0.0005964451866873333,-0.00014472827266809318
2020-02-17,0.0035216659010870455,0.0005064456721916022,-0.00043852436550995133,0.003069838833461125,-0.003468378717437881,0.0006305170239595537,-0.00628637951105937,,,0.003567953292247905,0.0006521880910455025,0.0011936022917165001,0.0002171238329593539
2020-02-18,,,,-0.0038491147036181506,0.0005924170616113944,0.010522999369880326,0.006352181609913465,,,0.0019392372333548735,0.00013035260379323788,0.0002384358607534498,7.235890014478663e-05
2020-02-19,-0.005765239449611714,-0.0011561228264891366,-0.011691091717437763,-0.026648773006134885,0.00399644760213147,0.005799089605287744,0.00832988410596025,-0.006411792905081537,,-0.000645161290322549,-0.0005213424568263347,-0.0007151370679380209,-0.00021706099413931756
2020-02-20,0.003479202102984469,0.0020324264400203296,,0.0014939309056956063,-0.010467344832669867,0.007377557346559316,-0.01762532710759912,-0.0025007442691278303,-0.0,0.011781794706262172,0.0022820629849384932,0.004055343511450316,0.0007960631060934809
2020-02-21,-0.005896500892233814,-0.0054616986808608825,0.003523292880711404,0.0001870207593042128,-0.005289034564958328,0.012923872238291612,-0.012300540597007137,,,0.007656723560376388,0.001366120218579292,0.0022570681872178255,0.0005784944681466175
2020-02-23,0.00038565368299259273,0.0007825806748608111,-0.0002786446723137548,0.026000748222970493,-0.011982326069048144,0.013548818275715302,-0.015388683236382872,,,0.00680702865284144,0.0020139024231793368,0.0028446130141044357,0.0007949700079497024
2020-02-24,0.002160493827160548,-0.0008292637980282791,-0.006239901944398163,0.011907048204340298,-0.01773667854165084,-0.007253326939215987,-0.01812664482517856,,,0.006761006289308202,0.00188018672199175,0.002836544143718145,0.0006860196418254638
2020-02-25,-0.0059542220847510485,,-0.004983112784452626,-0.02487852283770653,-0.027239756154024186,-0.008574361451603063,-0.024013346826026294,,,0.002811182258316336,0.0017472335468839972,0.0021213906894519408,-0.000721630885802016
2020-02-26,0.007533246214159406,-0.0004131282992883012,0.0008814941325547831,-0.03508072553318731,-0.015310169760431536,0.0021925817650283452,-0.009976180467983764,-0.0035490358452620052,-0.0,0.002491823703473006,0.0018733850129200036,0.002469716570622227,0.0011898323418064738
