date,ES_FRONT_CALENDAR_2D,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,ZT_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,UB_FRONT_VOLUME,SR3_FRONT_CALENDAR,CL_FRONT_VOLUME,GC_FRONT_VOLUME,6E_FRONT_CALENDAR,6B_FRONT_CALENDAR,6J_FRONT_CALENDAR
2024-01-01,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,-0.0,-0.0,-0.0
2024-01-02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
2024-01-03,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,-0.0,0.0,-0.0
2024-01-04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,0.0,0.0,0.0,-0.0
2024-01-05,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,-0.0,0.0,-0.0
2024-01-07,5.9257142029815364e-05,-9.214351489312323e-06,,-0.0005575368790914505,-0.0006916376147978522,-0.00040681304960025685,-0.00019880981411457872,,0.0003712846684295416,0.00010297740351252435,0.0001312040849900788,0.00010318485951288046,0.00028828001807402586
2024-01-08,0.0009854797830656345,-0.00015686420754319985,,0.0008181877225878524,0.001597589709974621,0.0011199895475702355,0.0005405401537809893,,0.006654741739377356,0.0009893060392553168,-0.0005249602501126975,-0.0005333733653600141,-0.0008489248593364231
2024-01-09,-8.774157988937477e-05,-2.6733735187139912e-05,0.00045215364804890117,0.00022295536926139793,0.0005313752417827274,0.00040601771616970665,0.0001699161393622231,,-0.003264880237441501,-0.0,0.0008084270022263723,0.0006522222269407073,0.00030451180015963716
2024-01-10,0.000489381512963237,-6.243803212778012e-05,-0.00028362180325524207,-3.715074920764038e-05,-0.00026549573325526914,-0.0003548690552803926,-0.0005938487380260051,,0.002058862744984239,0.00040820653306917576,-0.0014007262036113126,-0.00044759183570879167,0.00220210826741571
2024-01-11,-0.0001704522395554208,4.535504572609336e-06,5.347060797509454e-05,0.002006216753733156,0.002815271409587874,0.0016745892306833962,0.0006821277051567134,,-0.004873599805596605,-0.0006036804348079379,-0.00032733720228184527,-0.0005669373102585357,-0.0011114800232396767
2024-01-12,4.166229119096685e-06,-1.7647437719848474e-06,-0.00031242462103963904,0.0017425728962237263,0.0015345554017113553,0.0006566610015881993,-0.00016954879724022075,-0.0,0.001408251385433125,-0.0009742051156787728,-0.0005669966966831355,-0.00027416813682260233,-0.001021146936062989
2024-01-14,-2.020487277582189e-05,-1.0213296035046332e-05,,-0.0006514756410593759,-0.001007225027400439,-0.0006640873212853416,-0.00031735479701146903,,0.0004209769137839248,0.00016546302532727004,0.001073578660401832,,3.4487653558621945e-05
2024-01-15,-3.536587802100005e-05,-1.021932326744706e-05,,-0.0001448711591811169,-0.0003185057095988115,-0.000255879692725708,-0.00039784194546944434,,-0.0002665762733353721,-0.00046813720403784937,-0.00024833662036409564,,0.0010520253066827663
