date,tsmom_multihorizon,csmom_meta
2024-01-01,0.0,0.0
2024-01-02,0.0,0.0
2024-01-03,0.0,0.0
2024-01-04,0.0,0.0
2024-01-05,0.0,0.0
2024-01-07,-0.0032697153361862484,-0.0001473782066899107
2024-01-08,0.04117433269497052,-0.002336647793705412
2024-01-09,0.0016592039947821134,-0.0008464907555148658
2024-01-10,0.0054454872632545654,0.0006457651383760707
2024-01-11,-7.848727052357264e-05,0.00048470352258908
2024-01-12,0.008067036324319255,0.0008286110895975594
2024-01-14,-0.004709926471170706,0.00029012215983080774
2024-01-15,-0.004083272643015019,0.00011748810052197235
