date,instrument,weight
2024-03-01,GC_FRONT_VOLUME,-0.23191666
2024-03-01,NQ_FRONT_CALENDAR_2D,0.26194532
2024-03-01,RTY_FRONT_CALENDAR_2D,0.18773673
2024-03-01,SR3_FRONT_CALENDAR,-0.09154678
2024-03-01,UB_FRONT_VOLUME,0.03762021
2024-03-01,ZF_FRONT_VOLUME,0.30057910
2024-03-01,ZN_FRONT_VOLUME,0.10768453
2024-03-01,ZT_FRONT_VOLUME,0.52966827
2024-03-08,6B_FRONT_CALENDAR,-0.27817703
2024-03-08,6E_FRONT_CALENDAR,-0.84269462
2024-03-08,6J_FRONT_CALENDAR,-0.63899551
2024-03-08,CL_FRONT_VOLUME,-0.12248455
2024-03-08,ES_FRONT_CALENDAR_2D,0.46414475
2024-03-08,GC_FRONT_VOLUME,-0.17257657
2024-03-08,NQ_FRONT_CALENDAR_2D,0.25262789
2024-03-08,RTY_FRONT_CALENDAR_2D,0.21477709
2024-03-08,SR3_FRONT_CALENDAR,-0.02814110
2024-03-08,UB_FRONT_VOLUME,0.03744495
2024-03-08,ZF_FRONT_VOLUME,0.25669811
2024-03-08,ZN_FRONT_VOLUME,0.06834525
2024-03-08,ZT_FRONT_VOLUME,0.55368510
2024-03-15,6B_FRONT_CALENDAR,-0.25274428
2024-03-15,6E_FRONT_CALENDAR,-0.90476413
2024-03-15,6J_FRONT_CALENDAR,-0.69214795
2024-03-15,CL_FRONT_VOLUME,-0.11111596
2024-03-15,ES_FRONT_CALENDAR_2D,0.47164270
2024-03-15,GC_FRONT_VOLUME,-0.09070156
2024-03-15,NQ_FRONT_CALENDAR_2D,0.22822634
2024-03-15,RTY_FRONT_CALENDAR_2D,0.25643704
2024-03-15,SR3_FRONT_CALENDAR,-0.03516993
2024-03-15,UB_FRONT_VOLUME,0.02796432
2024-03-15,ZF_FRONT_VOLUME,0.17091448
2024-03-15,ZN_FRONT_VOLUME,0.00874786
2024-03-15,ZT_FRONT_VOLUME,0.51651629
2024-03-22,6B_FRONT_CALENDAR,-0.16806043
2024-03-22,6E_FRONT_CALENDAR,-0.49775648
2024-03-22,6J_FRONT_CALENDAR,-0.39225067
2024-03-22,CL_FRONT_VOLUME,-0.02821870
2024-03-22,ES_FRONT_CALENDAR_2D,0.25576687
2024-03-22,GC_FRONT_VOLUME,-0.01193030
2024-03-22,NQ_FRONT_CALENDAR_2D,0.12668349
2024-03-22,RTY_FRONT_CALENDAR_2D,0.15254657
2024-03-22,SR3_FRONT_CALENDAR,-0.01876107
2024-03-22,UB_FRONT_VOLUME,0.00941854
2024-03-22,ZF_FRONT_VOLUME,0.01114999
2024-03-22,ZN_FRONT_VOLUME,-0.04341485
2024-03-22,ZT_FRONT_VOLUME,0.19982700
2024-03-29,6B_FRONT_CALENDAR,-0.28514709
2024-03-29,6E_FRONT_CALENDAR,-0.76986229
2024-03-29,6J_FRONT_CALENDAR,-0.60495408
2024-03-29,CL_FRONT_VOLUME,-0.05062218
2024-03-29,ES_FRONT_CALENDAR_2D,0.34606954
