pair,pair_dir,sharpe,cagr,maxdd,hitrate,vol,n_days,years,start_date,end_date,latest_path,corr_spread_rank0,corr_spread_rank1
R5-R4,5-4,1.0388617114407,0.006251329314518772,-0.004657420823845793,0.44157303370786516,0.006016200154265562,1780,7.063492063492063,2020-01-06,2025-10-31,sanity_checks\carry\sr3_calendar_carry_adjacent\latest\5-4,,
R4-R3,4-3,0.6967497145176765,0.0029960489369613708,-0.003848149041559723,0.43301300169587337,0.004306919805910438,1769,7.01984126984127,2020-01-06,2025-10-31,sanity_checks\carry\sr3_calendar_carry_adjacent\latest\4-3,,
R2-R1,2-1,0.6384081532786526,0.0057440214414510304,-0.014426971149387957,0.38722442057659695,0.009035584397890708,1769,7.01984126984127,2020-01-06,2025-10-31,sanity_checks\carry\sr3_calendar_carry_adjacent\latest\2-1,,
R3-R2,3-2,0.43064547573089823,0.0028407214966714722,-0.0073171375957724605,0.4070096099491238,0.006638124448536713,1769,7.01984126984127,2020-01-06,2025-10-31,sanity_checks\carry\sr3_calendar_carry_adjacent\latest\3-2,,
R1-R0,1-0,0.18742295477872617,0.001641418306147946,-0.013982904995756607,0.4080505130228887,0.00896390311078703,1267,5.027777777777778,2020-01-06,2025-10-31,sanity_checks\carry\sr3_calendar_carry_adjacent\latest\1-0,-0.48910105192071274,0.33203304433572084
