date,baseline,vrp_core
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,0.0
2020-03-13,0.0,0.0
2020-03-15,0.0,0.0
2020-03-16,0.0,0.0
2020-03-17,0.0,0.0
2020-03-18,0.0,0.0
2020-03-19,0.0,0.0
2020-03-20,-0.022470504194575,-0.0224291685783397
2020-03-22,-0.0222767721884387,-0.0224535559355532
2020-03-23,0.0039904445536793,0.0041648787693231
2020-03-24,0.0215899079383645,0.0217103027345451
2020-03-25,-0.0004441253756288,-0.000483342207971
2020-03-26,0.0128055662245429,0.0127795174172338
2020-03-27,0.0022388915489754,0.0021486951740439
2020-03-29,-0.0016716524903641,-0.0016874961639455
2020-03-30,0.0054329142515894,0.0054890412381198
2020-03-31,-0.0111062191577986,-0.0111254242699989
2020-04-01,-0.0069821887760734,-0.0070125679429108
2020-04-02,-0.0029991775470016,-0.0029673437887208
2020-04-03,-0.0082495332056444,-0.0081951302634402
2020-04-05,0.0045550024854148,0.0045278734802669
2020-04-06,0.0116226730859896,0.0116937814174102
2020-04-07,0.0092260428815247,0.0092139613105448
2020-04-08,0.0058261839459508,0.0058769169556858
2020-04-09,0.0055425200892054,0.0055390917193707
2020-04-10,0.0024618837168095,0.0024899379745502
2020-04-12,-0.0003686605748249,-0.0003674905476834
2020-04-13,0.0047913087131097,0.0048054759791744
2020-04-14,0.0074655397983767,0.0074538629471452
2020-04-15,-0.0153996339897689,-0.0154211437706619
2020-04-16,0.0036779869475482,0.0036906276091626
2020-04-17,0.0023607726015335,0.0023062668657027
2020-04-19,0.0071494120014172,0.0073271124958096
2020-04-20,-0.0085969282184829,-0.0086728288761115
2020-04-21,-0.0199392569076698,-0.0202255263112854
2020-04-22,0.0029302751986248,0.0029747169320186
2020-04-23,0.0031391181410613,0.0032397825577665
2020-04-24,0.0059403704489653,0.0059616586889978
2020-04-26,-0.0011107176900555,-0.0011372114406046
2020-04-27,0.0015150383104514,0.0012862396036095
2020-04-28,0.0003231221111734,0.0004058268701181
2020-04-29,0.0132390420320522,0.0134017575306002
2020-04-30,0.0091436799944599,0.0092567517112234
2020-05-01,-0.0053300281769174,-0.0053178098424718
2020-05-03,-0.0058813812438345,-0.0059283125456872
2020-05-04,0.0096959720082925,0.0097967410887416
2020-05-05,0.0079098813886229,0.0079918030579675
2020-05-06,-0.0048324720430231,-0.0049241884578553
2020-05-07,-0.003436914618866,-0.003358307268115
2020-05-08,0.0132070215619553,0.0132337945611693
2020-05-10,-0.000588431201031,-0.0005905728664614
2020-05-11,-0.0008763578223078,-0.0009007367602141
2020-05-12,-0.0104969975479819,-0.0105056879901878
2020-05-13,-0.0033138486539412,-0.0032754647768941
2020-05-14,0.0013213884316376,0.0014134495248894
2020-05-15,0.0033586038519739,0.003399746837593
2020-05-17,0.0008947218574064,0.0009232113751695
2020-05-18,0.0194576755909654,0.0194742420991398
2020-05-19,-0.0116193149958073,-0.0116521104720461
2020-05-20,0.005206982116745,0.0052556949907847
2020-05-21,-0.0001468188496666,-0.0001568863739419
2020-05-22,-0.0014752598315258,-0.0014657529514945
2020-05-24,0.000303566095428,0.0002894984721133
2020-05-25,0.0016297107714975,0.0016579979179576
2020-05-26,0.0148214404375561,0.0148326833677079
2020-05-27,-0.0022259450515645,-0.0022819930084664
2020-05-28,0.0045925517438201,0.0046630412282369
2020-05-29,0.0006893222717121,0.0007823540343152
2020-05-31,0.0012796956938345,0.001265706585688
2020-06-01,0.0048034765239974,0.0048112879592534
2020-06-02,0.0096943827027249,0.0097271349992882
2020-06-03,0.0092376308715573,0.0092087335902333
2020-06-04,0.0104734504314871,0.0104743443442625
2020-06-05,0.0176055769841372,0.0176574766486061
2020-06-07,0.0042719629216525,0.0043022244220523
2020-06-08,-0.0044274800819545,-0.004430114738119
