date,pack_curvature_fly
2020-01-03,-0.0006780288004984703
2020-01-06,-9.59959937441024e-06
2020-01-07,-0.00017071763442072507
2020-01-08,0.00061358287661753
2020-01-09,-6.967215175154862e-05
2020-01-10,-0.0001235406735221739
2020-01-13,0.00010128874684145472
2020-01-14,-0.00015838183202476763
2020-01-15,-6.0172585039347526e-05
2020-01-16,0.00013621244670017352
2020-01-17,6.647548947710802e-05
2020-01-20,-6.323630901972077e-06
2020-01-21,-0.00037366553331547037
2020-01-22,-9.817854022506345e-05
2020-01-23,-0.00031969098540401975
2020-01-24,-0.00018031151798912626
2020-01-26,-0.0004365042440189759
2020-01-27,-0.00022429864010214962
2020-01-28,0.00029055536732774945
2020-01-29,-0.0004742121017729528
2020-01-30,-0.00018007017386549584
2020-01-31,-0.00044491733110574305
2020-02-02,2.5369130299934817e-05
2020-02-03,0.00016373802293424833
2020-02-04,0.0007007873383126778
2020-02-05,0.0002875841683528807
2020-02-06,0.00019603493191730492
2020-02-07,-0.00041096675480270517
2020-02-09,-3.7732448663091445e-05
2020-02-10,-0.00019918573650162807
2020-02-11,0.00028105703096333035
2020-02-12,0.0002023574781893911
2020-02-13,-3.4796877326367937e-05
2020-02-14,-0.00021490523165615394
2020-02-16,-6.346466287582286e-06
2020-02-17,1.2652462169138179e-05
2020-02-18,-0.00025277680008406467
2020-02-19,0.00014203302429427467
2020-02-20,-0.000341293412104024
2020-02-21,-0.0004421015967959463
2020-02-23,-0.0001132273876404688
2020-02-24,-0.0007037524193215239
2020-02-25,-0.00010075361945971473
2020-02-26,0.00020035893923710246
2020-02-27,-0.0005879402925553778
2020-02-28,-0.0008202502077646612
2020-03-01,0.0002093682154668819
2020-03-02,-0.0011602626529026855
2020-03-03,-0.0009885989430208908
2020-03-04,-0.00013499247782909618
2020-03-05,0.0003824606107041273
2020-03-06,9.667226769510817e-05
2020-03-09,0.0002534606776133652
2020-03-10,-0.0005291209067868757
2020-03-11,0.00027891970217239215
2020-03-12,0.0005198592732043594
2020-03-13,-0.00021283332146961043
2020-03-15,0.0004007974774373757
2020-03-16,-0.00020314444975633172
2020-03-17,-0.0007227541123822345
2020-03-18,-0.0020486794739808245
2020-03-19,-4.706064643300589e-05
2020-03-20,-0.00046055425425745034
2020-03-22,1.876782896803597e-05
