,risk_scalar_applied
2020-03-20,1.0
2020-03-27,1.0
2020-04-03,1.0
2020-04-10,1.0
2020-04-17,1.0
2020-04-24,1.0
2020-05-01,1.0
2020-05-08,1.0
2020-05-15,1.0
2020-05-22,1.0
2020-05-29,1.0
2020-06-05,1.0
2020-06-12,1.0
2020-06-19,1.0
2020-06-26,1.0
2020-07-03,1.0
2020-07-10,1.0
2020-07-17,1.0
2020-07-24,1.0
2020-07-31,1.0
2020-08-07,1.0
2020-08-14,1.0
2020-08-21,1.0
2020-08-28,0.91328125
2020-09-04,0.8612627029418947
2020-09-11,0.8520045191515238
2020-09-18,0.8503567613431302
2020-09-25,0.8500634958542828
2020-10-02,0.8500113008978937
2020-10-09,0.9644063081920324
2020-10-16,0.9936650875664044
2020-10-23,0.9988725216884544
2020-10-30,0.9997993330837116
2020-11-06,0.999964285600104
2020-11-13,0.99999364360412
2020-11-20,0.9343738686980966
2020-11-27,0.865016735908426
2020-12-04,0.8901726563665144
2020-12-11,0.9804530924050756
2020-12-18,0.9965210704011964
2020-12-25,0.999380825274041
2021-01-01,0.9998898002013612
2021-01-08,0.999980386803416
2021-01-15,0.9999965092723851
2021-01-22,0.9999993787254806
2021-01-29,0.9999998894264832
2021-02-05,0.9624999803202896
2021-02-12,0.8700225795052469
2021-02-19,0.8535635889793275
2021-02-26,0.8506342422768385
2021-03-05,0.7188628814989784
2021-03-12,0.6550539649933484
2021-03-19,0.8153037940625368
2021-03-26,0.8438248207694311
2021-04-02,0.848900950766825
2021-04-09,0.9731076155051308
2021-04-16,0.9952137333259864
2021-04-23,0.9991481473619735
2021-04-30,0.9998483885319528
2021-05-07,0.9999730164159653
2021-05-14,0.9999951975017672
2021-05-21,0.9999991452584932
2021-05-28,0.8855955509993755
2021-06-04,0.8563352433297229
2021-06-11,0.8886275372039473
2021-06-18,0.980178094390058
2021-06-25,0.9097533766626836
2021-07-02,0.860634817282006
2021-07-09,0.9544318314937946
2021-07-16,0.9918898450095156
2021-07-23,0.9985565666533048
2021-07-30,0.9997430998755517
2021-08-06,0.9999542772971868
2021-08-13,0.999991862341223
2021-08-20,0.99999855167157
2021-08-27,0.999999742228656
2021-09-03,0.8855956572472389
2021-09-10,0.8563352622395599
2021-09-17,0.8511275405694921
2021-09-24,0.9369194279968652
2021-10-01,0.9887730134301062
2021-10-08,0.9980018375953486
2021-10-15,0.9996443700212424
2021-10-22,0.9999367055042688
2021-10-29,0.9999887349396024
2021-11-05,0.999997995061272
2021-11-12,0.9999996431639812
2021-11-19,0.9999999364908552
2021-11-26,0.9999999886967368
2021-12-03,0.885595701113262
2021-12-10,0.8563352700467697
2021-12-17,0.9378462919590076
2021-12-24,0.9889379753022745
2021-12-31,0.9980311972644916
2022-01-07,0.9996495954115758
2022-01-14,0.999937635511484
2022-01-21,0.9999889004609064
2022-01-28,0.999998024520508
2022-02-04,0.9999996484070924
2022-02-11,0.9999999374240164
2022-02-18,0.9999999888628192
2022-02-25,0.9999999980178212
2022-03-04,0.9999999996472146
2022-03-11,0.9999999999372118
2022-03-18,0.9999999999888252
2022-03-25,0.9999999999980111
2022-04-01,0.8855957031246461
2022-04-08,0.8563352704047528
2022-04-15,0.7761275420227209
2022-04-22,0.5902458442711338
2022-04-29,0.5571628956234513
2022-05-06,0.5512748415306388
2022-05-13,0.5502268944032802
2022-05-20,0.8101966323290994
2022-05-27,0.9662190783613068
2022-06-03,0.9939877217103008
2022-06-10,0.884525646759475
2022-06-17,0.8561448233612446
2022-06-24,0.6222850527906121
2022-07-01,0.562865186397548
2022-07-08,0.5522897267782747
2022-07-15,0.5504075221731843
2022-07-22,0.5500725301914675
2022-07-29,0.6625129088158153
2022-08-05,0.9399345484684398
2022-08-12,0.9893096400960676
2022-08-19,0.8836930487378011
2022-08-26,0.8559966388012347
2022-09-02,0.8510672728725831
2022-09-09,0.8501899516416292
2022-09-16,0.9367525573112178
2022-09-23,0.9887433140331732
2022-09-30,0.9604965517407674
2022-10-07,0.6645878872605029
2022-10-14,0.7729820727082293
2022-10-21,0.5896860183115964
2022-10-28,0.5570632586301645
2022-11-04,0.5512571082864721
2022-11-11,0.6055948320168062
2022-11-18,0.5598946856787723
2022-11-25,0.5517610414696839
2022-12-02,0.8279013181717284
2022-12-09,0.8460669094109351
2022-12-16,0.9726032170313896
2022-12-23,0.9951239612343464
2022-12-30,0.9335071698583592
2023-01-06,0.8698166428472474
2023-01-13,0.8547025822381652
2023-01-20,0.8508369586063532
2023-01-27,0.8501489606503984
2023-02-03,0.8500265117954445
2023-02-10,0.9733079411862496
2023-02-17,0.9952493869933536
2023-02-24,0.8847501960737684
2023-03-03,0.979488010971137
2023-03-10,0.9963493066401268
2023-03-17,0.9993502550148076
2023-03-24,0.6495425624770006
2023-03-31,0.4247110664174154
2023-04-07,0.5277012615767325
2023-04-14,0.7926377489476167
2023-04-21,0.9541950485797882
2023-04-28,0.9918477027379556
2023-05-05,0.9985490662343676
2023-05-12,0.9130230149621228
2023-05-19,0.8612167426531708
2023-05-26,0.9176213392075592
2023-06-02,0.985338368232986
2023-06-09,0.9317655445414668
2023-06-16,0.86455251024676
2023-06-23,0.852590034172336
2023-06-30,0.8504609704374104
2023-07-07,0.8500820428341973
2023-07-14,0.973317824518098
2023-07-21,0.9577511460140854
2023-07-28,0.8691773890244796
2023-08-04,0.8534131632321401
2023-08-11,0.8881074697256421
2023-08-18,0.9800855335522444
2023-08-25,0.9964556528221646
2023-09-01,0.9993691823504292
2023-09-08,0.9998877280110994
2023-09-15,0.9999800179980692
