date,port_rvol_20d,port_rvol_60d,vol_accel,dd_level,dd_slope_10d,corr_20d,corr_60d,corr_shock,trend_breadth_20d,sleeve_concentration_60d
2020-05-28,0.10646397379143038,0.127430648846209,0.8354659946832534,0.0,0.007514439800747175,0.06377982921519859,0.11989174219275171,-0.05611191297755312,0.3076923076923077,1.0
2020-05-29,0.10476980119853013,0.11933748731622693,0.8779286673005394,0.0,0.0,0.061940108287643965,0.05804028745060686,0.0038998208370371046,0.3076923076923077,1.0
2020-05-31,0.10371034987761289,0.1102244536892939,0.940901464297176,0.0,0.010509556720072255,0.008160686700728061,0.05576551796160274,-0.04760483126087468,0.38461538461538464,1.0
2020-06-01,0.09856669717825452,0.11027292388622531,0.8938431457567158,0.0,0.005778067498962813,0.01486826750387297,0.04874957055266506,-0.03388130304879209,0.3076923076923077,1.0
2020-06-02,0.1018157692802711,0.10453356920025238,0.9740006971848932,0.0,0.005910167770009744,0.007392425190343839,0.06450167213699873,-0.05710924694665489,0.3076923076923077,1.0
2020-06-03,0.10393807373351924,0.1054305869716321,0.985843641006054,0.0,0.007255237304799156,0.05903097364105165,0.0737599470051947,-0.014728973364143048,0.46153846153846156,1.0
2020-06-04,0.09859165841413943,0.10461922273498231,0.9423856900933809,0.0,0.006953102510829479,0.06896801012236757,0.07635471677969773,-0.007386706657330155,0.46153846153846156,1.0
2020-06-05,0.10619374964667372,0.10884332361785065,0.9756569913237895,0.0,0.005455207889442648,0.06159932381252829,0.061387927312321726,0.00021139650020656625,0.5384615384615384,1.0
2020-06-07,0.1056393477160955,0.10869438532256191,0.9718933264363171,0.0,0.0,0.05087237516435579,0.06183799043242209,-0.010965615268066296,0.6153846153846154,0.8835772720113929
2020-06-08,0.10961445206635442,0.10914083512454452,1.0043395026368402,-0.004035749675540212,-0.0019611181662029242,0.05069250271533036,0.06360023977160137,-0.012907737056271011,0.6153846153846154,0.8731952387186153
2020-06-09,0.11333552236556477,0.1071217462736265,1.058006672856752,-0.008697582619095923,-0.008697582619095923,0.05836826119923758,0.06607179550379086,-0.007703534304553276,0.5384615384615384,0.9939066869538902
2020-06-10,0.11305891275074828,0.10935201927740631,1.0338987199124166,-0.02028275010075975,-0.02028275010075975,0.0766326087082012,0.07349885323681736,0.0031337554713838367,0.38461538461538464,0.7704232323749998
2020-06-11,0.11970707377115303,0.11396318688575713,1.0504012483535923,-0.03450269820239893,-0.03450269820239893,0.13782811171744122,0.08288308536731168,0.054945026350129544,0.6153846153846154,0.5735738606324187
2020-06-12,0.12027322417255104,0.11279739303359786,1.0662766304955862,-0.028480438204610548,-0.028480438204610548,0.10019921769046093,0.08311943868279587,0.017079779007665066,0.6153846153846154,0.5567196341210499
2020-06-14,0.12483056429734123,0.11422533884291665,1.0928447712377456,-0.035810578087201006,-0.035810578087201006,0.08194755773122604,0.08259005460125801,-0.0006424968700319694,0.5384615384615384,0.5220871942141687
2020-06-15,0.13515329714846258,0.11690767577185274,1.1560686349818166,-0.019660685580401016,-0.019660685580401016,0.0692860080473693,0.08807193658610692,-0.018785928538737617,0.6923076923076923,0.7010451586366546
2020-06-16,0.13494164999054378,0.1161255446885762,1.162032439567266,-0.015999070219432365,-0.015999070219432365,0.06735271382437917,0.09358726283483108,-0.026234549010451913,0.6153846153846154,0.8018580508874802
2020-06-17,0.135071384520766,0.1158545955353535,1.1658698897235236,-0.015319977382243,-0.015319977382243,0.06724398532848351,0.09513335096437786,-0.02788936563589435,0.6153846153846154,0.6887914562601678
2020-06-18,0.12883778578589525,0.11561284942137705,1.114389848798873,-0.013440671878330979,-0.013440671878330979,0.09618516745421013,0.07826069382078442,0.01792447363342571,0.5384615384615384,0.7110060945734443
2020-06-19,0.12800420756602435,0.11559765353061774,1.1073253103024323,-0.012674865790053058,-0.008639116114512846,0.0830962621921733,0.07669212775851134,0.006404134433661959,0.46153846153846156,0.7255402306634273
2020-06-21,0.1319861228687812,0.11686902820793883,1.1293507346869123,-0.01974148976453516,-0.011043907145439236,0.07286160074249227,0.07752079702545754,-0.004659196282965267,0.38461538461538464,0.602704397304126
2020-06-22,0.1345926286944986,0.117832064167878,1.142241117856863,-0.01069489449494676,0.00958785560581299,0.0711428819246281,0.08126988783053592,-0.010127005905907815,0.5384615384615384,0.6959756453299202
2020-06-23,0.13900690165439017,0.11869948260333096,1.1710826248411073,-0.018297338380160122,0.016205359822238807,0.08944181505346695,0.0723139565623344,0.017127858491132547,0.6153846153846154,0.7849958453494119
2020-06-24,0.16005527684837725,0.12319127034035028,1.2992420356262246,-0.03892681734645287,-0.010446379141842321,0.09934287145890425,0.08208559320060517,0.017257278258299077,0.3076923076923077,0.5708495564599996
2020-06-25,0.1578567709832325,0.12334994142760823,1.2797474336530243,-0.03424703965955256,0.0015635384276484476,0.11252227189341311,0.08158067785228208,0.030941594041131032,0.23076923076923078,0.6389998795634327
2020-06-26,0.16320479143662114,0.12749511731908653,1.2800866014983363,-0.048495161858098546,-0.02883447627769753,0.09844876239731135,0.08219209696676902,0.016256665430542327,0.15384615384615385,0.5597126354757487
2020-06-28,0.15843390507398356,0.1269615645017646,1.2478887267632994,-0.05048113616315664,-0.03448206594372427,0.10921199119485127,0.08378521318469193,0.025426778010159343,0.15384615384615385,0.5070387554923426
2020-06-29,0.1467490592182929,0.1262228029883621,1.1626192395032087,-0.045209667932259334,-0.029889690550016335,0.12472379303878069,0.08472304570782961,0.040000747330951075,0.15384615384615385,0.508306889341806
