date,tsmom_multihorizon
2021-01-01,0.0
2021-01-03,0.0
2021-01-04,0.0039908387223554186
2021-01-05,0.035662836274709814
2021-01-06,0.1506024098780021
2021-01-07,0.056820520317924623
2021-01-08,0.012138656168561362
2021-01-10,-0.011337637073399133
2021-01-11,0.003229413074320177
2021-01-12,0.010674781983975982
2021-01-13,-0.024128983772217696
2021-01-14,0.03688242676976333
2021-01-15,-0.05773491737687561
2021-01-17,0.009207555181464835
2021-01-18,0.0036062898182473643
2021-01-19,0.028493896029141114
2021-01-20,0.005553701772053539
2021-01-21,0.040737973146553925
2021-01-22,-0.032790234349455646
2021-01-24,0.014051569067186463
2021-01-25,-0.035627329104789135
2021-01-26,0.02287571107303963
2021-01-27,-0.07406343293614039
2021-01-28,0.04355741655083293
2021-01-29,-0.041496462181041915
2021-01-31,-0.007203917417895076
2021-02-01,0.02608407664497011
2021-02-02,0.058518396731790316
2021-02-03,0.014751811136625137
2021-02-04,0.026574986926491045
2021-02-05,0.07409781989606895
2021-02-07,0.0095613036926602
2021-02-08,-0.008887387102319268
2021-02-09,0.003985746858019898
2021-02-10,-0.01725428697121868
2021-02-11,0.039685860291433034
2021-02-12,0.08273149980119263
2021-02-14,0.03203895651501454
2021-02-15,0.021372147346893494
2021-02-16,0.08442547788807367
2021-02-17,-0.026427879586826096
2021-02-18,0.00033849998996524685
2021-02-19,0.024762322150659568
2021-02-21,0.030184248986259734
2021-02-22,-0.022787320925910903
2021-02-23,0.013309267802741262
2021-02-24,0.08346793998049533
2021-02-25,0.0940903215328511
2021-02-26,-0.10543900833655163
2021-02-28,0.06034011539358206
2021-03-01,0.009983177456681359
2021-03-02,-0.029008026141050122
2021-03-03,0.06312243902374529
2021-03-04,0.08742346165687082
2021-03-05,0.06463029083353487
2021-03-07,0.024239654717387985
2021-03-08,0.015148876311674463
2021-03-09,-0.07540240201704186
2021-03-10,0.02429078539068676
2021-03-11,0.06581391427124031
2021-03-12,0.03220991308873789
2021-03-14,0.004973470816764688
2021-03-15,-0.022880429443394593
2021-03-16,-0.026799055990719155
2021-03-17,0.02623148438623954
2021-03-18,-0.020778859032523626
2021-03-19,0.007858537341552023
2021-03-21,-0.021608172062940762
2021-03-22,-0.011339971965753586
2021-03-23,-0.06749753093498419
2021-03-24,0.056249225396278836
2021-03-25,0.031058637964255828
2021-03-26,0.07631248076509925
2021-03-28,-0.0003972071601994441
2021-03-29,0.04528950487691675
2021-03-30,0.003624605661431104
2021-03-31,0.04486845231291142
2021-04-01,-0.06870444232125235
2021-04-02,0.059038215633425546
2021-04-04,-0.005314834822505306
2021-04-05,-0.01940317080624863
2021-04-06,-0.07325477554738966
2021-04-07,0.0021756171586463664
2021-04-08,-0.05171103527170671
2021-04-09,0.03164984761838899
2021-04-11,0.0067947378831818145
2021-04-12,0.010879152256228389
2021-04-13,-0.047343106548729565
2021-04-14,0.014802774148737128
2021-04-15,-0.02509915342035395
2021-04-16,0.026464109138482312
2021-04-18,-0.008289545604847771
2021-04-19,-0.01922100515359916
2021-04-20,-0.05641612537757416
2021-04-21,0.00758079987067844
2021-04-22,-0.02600553963168511
2021-04-23,0.0059609586107775975
2021-04-25,0.003845800253948412
2021-04-26,0.022681933526619538
2021-04-27,0.03929321027114016
2021-04-28,0.0007643918420268962
2021-04-29,0.03342600976951237
2021-04-30,-0.005062550392432769
2021-05-02,0.010970212968038117
2021-05-03,-0.04090296675449197
2021-05-04,0.0011115508797338233
2021-05-05,-0.023297973695471534
2021-05-06,-0.011160744587941526
2021-05-07,-0.002862548771749858
2021-05-09,0.010626623394062158
2021-05-10,-0.002696101295464626
2021-05-11,-0.01166620067206733
2021-05-12,0.013376106088275434
2021-05-13,-0.0168749838572034
2021-05-14,0.04643268241343447
2021-05-16,0.0029241458325336856
2021-05-17,0.020025372855808656
2021-05-18,-0.0568124098061845
2021-05-19,-0.006450265476416724
2021-05-20,-0.058570795273677
2021-05-21,0.027677390893653613
2021-05-23,-0.008177948789298155
2021-05-24,0.024492476586105382
2021-05-25,-0.03612748661511828
2021-05-26,0.01437463734147863
2021-05-27,0.08184281113771427
2021-05-28,-0.015803148555730343
2021-05-30,0.05105153173824124
2021-05-31,-0.008656956804226765
2021-06-01,-0.009863861303779272
2021-06-02,0.012407682984977856
2021-06-03,0.023539896640850835
2021-06-04,-0.0484951067194215
2021-06-06,0.01312859060119447
2021-06-07,-0.009759027128079283
2021-06-08,-0.012131438471247601
2021-06-09,-0.03636215229224201
2021-06-10,0.006365308037613287
2021-06-11,0.0018261619629718513
2021-06-13,0.007317459679605015
2021-06-14,0.018414640494820157
2021-06-15,0.01085294483726738
2021-06-16,0.011810400201905767
2021-06-17,-0.04123213556417506
2021-06-18,-0.039756534605709416
2021-06-20,-0.019106590177955296
2021-06-21,0.0132906034509966
2021-06-22,0.011431105529590448
2021-06-23,0.016883030658808397
2021-06-24,0.014331254535142968
2021-06-25,-0.002250077757818332
2021-06-27,0.01051567829810406
2021-06-28,-0.004507944342776799
2021-06-29,0.03187098049217746
2021-06-30,0.02341933998850096
2021-07-01,0.04768603392735277
2021-07-02,-0.005966548638520879
2021-07-04,0.004340121571792308
2021-07-05,0.010328337518500255
2021-07-06,-0.007273934740058191
2021-07-07,0.0028540798951305854
2021-07-08,-0.06156327382850708
2021-07-09,0.019116450506990297
2021-07-11,0.00338486446962737
2021-07-12,0.004598938520564014
2021-07-13,0.03555976293133369
2021-07-14,-0.04926556589227678
2021-07-15,-0.01728986762423878
2021-07-16,0.00241719896219293
2021-07-18,0.0006601387267174382
