,risk_scalar_applied
2021-01-01,1.0
2021-01-08,1.0
2021-01-15,1.0
2021-01-22,1.0
2021-01-29,1.0
2021-02-05,1.0
2021-02-12,1.0
2021-02-19,1.0
2021-02-26,1.0
2021-03-05,1.0
2021-03-12,1.0
2021-03-19,1.0
2021-03-26,1.0
2021-04-02,1.0
2021-04-09,1.0
2021-04-16,1.0
2021-04-23,1.0
2021-04-30,1.0
2021-05-07,1.0
2021-05-14,1.0
2021-05-21,1.0
2021-05-28,0.8855957031250001
2021-06-04,0.8563352704048157
2021-06-11,0.8886275420227322
2021-06-18,0.9801780952476983
2021-06-25,0.9097533768153253
2021-07-02,0.7293848173091728
2021-07-09,0.7764578935103484
2021-07-16,0.8369110850510362
2021-07-23,0.9343892043462416
2021-07-30,0.922697687980569
2021-08-06,0.8629386265961512
2021-08-13,0.8898027975558092
2021-08-20,0.9803872654829553
2021-08-27,0.9965093546233093
2021-09-03,0.8849744432422834
2021-09-10,0.8562246994930724
2021-09-17,0.8511078627759888
2021-09-24,0.9369159257723868
2021-10-01,0.9887723901093921
2021-10-08,0.8954626641576531
2021-10-15,0.858091377483137
2021-10-22,0.8514400913538103
2021-10-29,0.9158813053215156
2021-11-05,0.9850286795848109
2021-11-12,0.9973354266155584
2021-11-19,0.9995257631842631
2021-11-26,0.9999155960354804
2021-12-03,0.8855806810326821
2021-12-10,0.9588716592951234
2021-12-17,0.9926800389712267
2021-12-24,0.9986972042016661
2021-12-31,0.99976813033765
2022-01-07,0.9999587321816764
2022-01-14,0.9343676552149517
2022-01-21,0.8650156300419191
2022-01-28,0.852672459546035
2022-02-04,0.9161006403830713
2022-02-11,0.985067716513491
2022-02-18,0.9973423743501794
2022-02-25,0.999526999731758
2022-03-04,0.999915816114368
2022-03-11,0.8766817944207458
2022-03-18,0.8547487861652159
2022-03-25,0.8508451819127058
2022-04-01,0.9157754242222564
2022-04-08,0.9850098350239319
2022-04-15,0.9598320726885855
2022-04-22,0.8695477492651317
2022-04-29,0.8534790793980178
2022-05-06,0.8506192013870009
2022-05-13,0.8501102045437314
2022-05-20,0.9367383640411086
2022-05-27,0.9887407879360274
2022-06-03,0.9979961021497471
2022-06-10,0.9996433492351479
2022-06-17,0.9999365238262751
2022-06-24,0.9999887026048229
2022-07-01,0.999997989306376
2022-07-08,0.9999996421397335
2022-07-15,0.999999936308561
2022-07-22,0.9999999886642922
2022-07-29,0.9999999979824876
