date,vix,rv252,vx2,spread,signal,position,vx_return,pnl
2020-10-23,27.55,33.083277206339254,28.63,-5.533277206339253,0.0,0.0,0.0034989538846152968,-0.0
2020-10-26,32.46,33.10287226361929,30.38,-0.6428722636192887,0.0,0.0,0.059329378057602966,-0.0
2020-10-27,33.35,33.107823152185894,30.93,0.24217684781410753,-1.0,0.0,0.017942089529351612,-0.0
2020-10-28,40.28,33.18257432940395,34.73,7.097425670596053,-1.0,-1.0,0.11587728005900422,0.11587728005900422
2020-10-29,37.59,33.13341681182062,32.58,4.456583188179387,-1.0,-1.0,-0.06390526358208337,-0.06390526358208337
2020-10-30,38.02,33.129871819831294,34.08,4.890128180168709,-1.0,-1.0,0.04501209878721557,0.04501209878721557
2020-11-02,37.13,33.18092199529483,33.18,3.9490780047051715,-1.0,-1.0,-0.026763417198816253,-0.026763417198816253
2020-11-03,35.55,33.245957289642,31.58,2.3040427103579972,-1.0,-1.0,-0.04942327593480256,-0.04942327593480256
2020-11-04,29.57,33.27540820849993,29.18,-3.7054082084999322,0.0,-1.0,-0.07904046573285628,-0.07904046573285628
2020-11-05,27.58,33.3230405603852,28.78,-5.743040560385204,0.0,0.0,-0.013802841635417895,0.0
2020-11-06,24.86,33.31753635523531,27.18,-8.457536355235312,0.0,0.0,-0.05719929273622437,0.0
2020-11-09,25.75,33.32693564789756,26.28,-7.576935647897557,0.0,0.0,-0.033673215106587495,0.0
2020-11-10,24.8,33.32809776404787,25.43,-8.528097764047867,0.0,0.0,-0.03287861418238158,0.0
2020-11-11,23.45,33.3388934843817,24.98,-9.8888934843817,0.0,0.0,-0.017854074736596726,0.0
2020-11-12,25.35,33.35303929141531,26.58,-8.003039291415305,0.0,0.0,0.062083548587667625,-0.0
2020-11-13,23.1,33.37566448084803,25.08,-10.275664480848029,0.0,0.0,-0.05808833752037934,0.0
2020-11-16,22.45,33.34697870498991,24.53,-10.896978704989909,0.0,0.0,-0.02217385749432177,0.0
2020-11-17,22.71,33.347484048672754,24.03,-10.637484048672754,0.0,0.0,-0.02059380852202075,0.0
2020-11-18,23.84,33.36394592648165,26.18,-9.523945926481648,0.0,0.0,0.08569271073337648,-0.0
2020-11-19,23.11,33.3668270582323,25.93,-10.256827058232304,0.0,0.0,-0.009595160931180846,0.0
2020-11-20,23.7,33.363736069061005,25.83,-9.663736069061006,0.0,0.0,-0.0038639924428238714,0.0
2020-11-23,22.66,33.3195232202255,25.73,-10.659523220225498,0.0,0.0,-0.0038789808140964332,0.0
2020-11-24,21.64,33.34584181487153,25.63,-11.705841814871526,0.0,0.0,-0.003894085917672818,0.0
2020-11-25,21.25,33.310509322161245,24.83,-12.060509322161245,0.0,0.0,-0.031710940855904646,0.0
2020-11-27,20.84,33.29159187923616,24.9,-12.451591879236158,0.0,0.0,0.0028152039505866533,-0.0
