date,baseline,variant
2020-03-23,0.0041648787693231,0.0042171199053739
2020-03-24,0.0217103027345451,0.0217462319188479
2020-03-25,-0.000483342207971,-0.0004950886117575
2020-03-26,0.0127795174172338,0.0127716276752443
2020-03-27,0.0021486951740439,0.0021223971806518
2020-03-29,-0.0016874961639455,-0.0016924229204613
2020-03-30,0.0054890412381198,0.0055057220438152
2020-03-31,-0.0111254242699989,-0.011131569760813
2020-04-01,-0.0070125679429108,-0.0070211846961594
2020-04-02,-0.0029673437887208,-0.0029573703622475
2020-04-03,-0.0081951302634402,-0.0081788706218602
2020-04-05,0.0045278734802669,0.0045198533101797
2020-04-06,0.0116937814174102,0.0117151179590588
2020-04-07,0.0092139613105448,0.0092100099523944
2020-04-08,0.0058769169556858,0.005891998680662
2020-04-09,0.0055390917193707,0.0055380869520711
2020-04-10,0.0024899379745502,0.0024982846588423
2020-04-12,-0.0003674905476834,-0.0003671370423702
2020-04-13,0.0048054759791744,0.0048096956673042
2020-04-14,0.0074538629471452,0.0074503512372201
2020-04-15,-0.0154211437706619,-0.0154274920498644
2020-04-16,0.0036906276091626,0.0036944609045983
2020-04-17,0.0023062668657027,0.0022899417920339
2020-04-19,0.0073271124958096,0.0073802301566761
2020-04-20,-0.0086728288761115,-0.0086954711944218
2020-04-21,-0.0202255263112854,-0.0203110086126216
2020-04-22,0.0029747169320186,0.0029879914706216
2020-04-23,0.0032397825577665,0.0032698783823186
2020-04-24,0.0059616586889978,0.0059679873558644
2020-04-26,-0.0011372114406046,-0.0011451272516221
2020-04-27,0.0012862396036095,0.0012178105729723
2020-04-28,0.0004058268701181,0.0004305579009227
2020-04-29,0.0134017575306002,0.0134503409812409
2020-04-30,0.0092567517112234,0.0092905119066473
2020-05-01,-0.0053178098424718,-0.0053141213375578
2020-05-03,-0.0059283125456872,-0.005942310707024
2020-05-04,0.0097967410887416,0.0098268201892226
2020-05-05,0.0079918030579675,0.0080162522057845
2020-05-06,-0.0049241884578553,-0.0049515861335025
2020-05-07,-0.003358307268115,-0.0033347618209524
2020-05-08,0.0132337945611693,0.0132417088440133
2020-05-10,-0.0005905728664614,-0.0005912051683453
2020-05-11,-0.0009007367602141,-0.000908018628526
2020-05-12,-0.0105056879901878,-0.0105082129395611
2020-05-13,-0.0032754647768941,-0.0032639559436671
2020-05-14,0.0014134495248894,0.0014409836486017
2020-05-15,0.003399746837593,0.003412069702918
2020-05-17,0.0009232113751695,0.0009317402007484
2020-05-18,0.0194742420991398,0.0194790579935768
2020-05-19,-0.0116521104720461,-0.0116618562358177
2020-05-20,0.0052556949907847,0.0052702323480016
2020-05-21,-0.0001568863739419,-0.0001599018205397
2020-05-22,-0.0014657529514945,-0.0014628766125952
2020-05-24,0.0002894984721133,0.0002852758208466
2020-05-25,0.0016579979179576,0.0016664510726625
2020-05-26,0.0148326833677079,0.0148358920735569
2020-05-27,-0.0022819930084664,-0.0022987649269339
2020-05-28,0.0046630412282369,0.0046841154702159
2020-05-29,0.0007823540343152,0.0008102284427766
2020-05-31,0.001265706585688,0.0012615101427999
2020-06-01,0.0048112879592534,0.004813558870153
2020-06-02,0.0097271349992882,0.0097368168232863
2020-06-03,0.0092087335902333,0.0091999411347989
2020-06-04,0.0104743443442625,0.0104744970638539
2020-06-05,0.0176574766486061,0.0176728387983635
2020-06-07,0.0043022244220523,0.0043112415784118
2020-06-08,-0.004430114738119,-0.0044308641008996
2020-06-09,-0.0051400959047662,-0.0051298907490395
2020-06-10,-0.0128070031389492,-0.0127958797310762
2020-06-11,-0.015896210566432,-0.0159246682780781
2020-06-12,0.0068081463754841,0.0068146582570254
2020-06-14,-0.0075640992702459,-0.0075695850160359
2020-06-15,0.018354372315483,0.0183664271582923
2020-06-16,0.0040623972770119,0.0040684977698262
2020-06-17,0.0007370670718889,0.0007446512714961
2020-06-18,0.0020448038876537,0.0020599565546113
2020-06-19,0.0008890897857254,0.0009037383648997
2020-06-21,-0.0077506287276745,-0.0077615164664875
2020-06-22,0.0100703103970449,0.0100902337455355
2020-06-23,-0.0083903755978308,-0.0084029347978679
2020-06-24,-0.0227764394624102,-0.0228089836077993
2020-06-25,0.0053051166333677,0.0053173777031203
2020-06-26,-0.0159008820076757,-0.0159176347804567
