date,instrument,weight
2024-03-01,GC_FRONT_VOLUME,-0.23774761
2024-03-01,NQ_FRONT_CALENDAR_2D,0.26853126
2024-03-01,RTY_FRONT_CALENDAR_2D,0.19245689
2024-03-01,SR3_FRONT_CALENDAR,-0.09384848
2024-03-01,UB_FRONT_VOLUME,0.03856608
2024-03-01,ZF_FRONT_VOLUME,0.30813640
2024-03-01,ZN_FRONT_VOLUME,0.11039198
2024-03-01,ZT_FRONT_VOLUME,0.54298543
2024-03-08,6B_FRONT_CALENDAR,-0.28307475
2024-03-08,6E_FRONT_CALENDAR,-0.85753151
2024-03-08,6J_FRONT_CALENDAR,-0.65024598
2024-03-08,CL_FRONT_VOLUME,-0.12464107
2024-03-08,ES_FRONT_CALENDAR_2D,0.47231671
2024-03-08,GC_FRONT_VOLUME,-0.17561504
2024-03-08,NQ_FRONT_CALENDAR_2D,0.25707579
2024-03-08,RTY_FRONT_CALENDAR_2D,0.21855856
2024-03-08,SR3_FRONT_CALENDAR,-0.02863657
2024-03-08,UB_FRONT_VOLUME,0.03810422
2024-03-08,ZF_FRONT_VOLUME,0.26121767
2024-03-08,ZN_FRONT_VOLUME,0.06954857
2024-03-08,ZT_FRONT_VOLUME,0.56343355
2024-03-15,6B_FRONT_CALENDAR,-0.11807257
2024-03-15,6E_FRONT_CALENDAR,-0.42267160
2024-03-15,6J_FRONT_CALENDAR,-0.32334535
2024-03-15,CL_FRONT_VOLUME,-0.05190918
2024-03-15,ES_FRONT_CALENDAR_2D,0.22033364
2024-03-15,GC_FRONT_VOLUME,-0.04237234
2024-03-15,NQ_FRONT_CALENDAR_2D,0.10661872
2024-03-15,RTY_FRONT_CALENDAR_2D,0.11979769
2024-03-15,SR3_FRONT_CALENDAR,-0.01643006
2024-03-15,UB_FRONT_VOLUME,0.01306388
2024-03-15,ZF_FRONT_VOLUME,0.07984478
2024-03-15,ZN_FRONT_VOLUME,0.00408667
2024-03-15,ZT_FRONT_VOLUME,0.24129688
2024-03-22,6B_FRONT_CALENDAR,-0.27386199
2024-03-22,6E_FRONT_CALENDAR,-0.81111644
2024-03-22,6J_FRONT_CALENDAR,-0.63919002
2024-03-22,CL_FRONT_VOLUME,-0.04598363
2024-03-22,ES_FRONT_CALENDAR_2D,0.41678356
2024-03-22,GC_FRONT_VOLUME,-0.01944096
2024-03-22,NQ_FRONT_CALENDAR_2D,0.20643642
