date,carry_raw
2020-01-06,-0.012500000000002842
2020-01-07,-0.04749999999999943
2020-01-08,-0.002500000000011937
2020-01-09,-0.00750000000000739
2020-01-10,-0.010000000000005116
2020-01-13,0.0
2020-01-14,0.0049999999999954525
2020-01-15,0.007499999999993179
2020-01-16,0.005000000000009663
2020-01-17,0.0024999999999977263
2020-01-21,-0.0024999999999977263
2020-01-22,0.0
2020-01-23,0.0024999999999977263
2020-01-24,-0.014999999999986358
2020-01-27,-0.03249999999999886
2020-01-28,-0.012499999999988631
2020-01-29,-0.017499999999998295
2020-01-30,-0.024999999999991473
2020-01-31,-0.07250000000000512
2020-02-03,-0.052499999999994884
2020-02-04,-0.0274999999999892
2020-02-05,-0.024999999999991473
2020-02-06,-0.01999999999999602
2020-02-10,-0.04749999999999943
2020-02-11,-0.03499999999999659
2020-02-12,-0.03499999999999659
2020-02-13,-0.037499999999994316
2020-02-14,-0.04749999999999943
2020-02-18,-0.04749999999999943
2020-02-19,-0.030000000000001137
2020-02-20,-0.03499999999999659
2020-02-21,-0.045000000000001705
2020-02-24,-0.08749999999999147
2020-02-25,-0.09749999999999659
2020-02-26,-0.14000000000000057
2020-02-27,-0.25250000000001194
2020-02-28,-0.3299999999999983
2020-03-01,-0.29749999999999943
2020-03-02,-0.48499999999999943
2020-03-03,-0.7524999999999977
2020-03-04,-0.7549999999999955
2020-03-05,-0.9050000000000011
2020-03-06,-0.9925000000000068
2020-03-09,-1.1099999999999994
2020-03-10,-1.1125000000000114
2020-03-11,-1.2049999999999983
2020-03-12,-1.3249999999999886
2020-03-16,-1.3474999999999966
2020-03-17,-1.3549999999999898
2020-03-18,-0.022499999999993747
2020-03-19,-0.045000000000001705
2020-03-20,0.0024999999999977263
2020-03-23,-0.03499999999999659
2020-03-24,0.007499999999993179
2020-03-26,-0.012500000000002842
2020-03-27,-0.017499999999998295
2020-04-01,0.009999999999990905
2020-04-09,0.015000000000000568
2020-04-17,0.015000000000000568
2020-04-20,0.030000000000001137
2020-04-21,0.030000000000001137
2020-04-22,0.025000000000005684
2020-04-23,0.030000000000001137
2020-04-24,0.022500000000007958
2020-04-27,0.017499999999998295
2020-04-28,0.01999999999999602
2020-04-29,0.015000000000000568
2020-04-30,-0.0049999999999954525
2020-05-05,0.00750000000000739
2020-05-07,0.0049999999999954525
2020-05-11,0.015000000000000568
2020-05-14,0.01999999999999602
2020-05-18,0.029999999999986926
2020-05-19,0.029999999999986926
2020-05-20,0.02750000000000341
2020-05-21,0.030000000000001137
2020-06-02,0.037500000000008527
2020-06-03,0.037500000000008527
2020-06-04,0.04000000000000625
2020-06-05,0.037500000000008527
2020-06-08,0.04749999999999943
2020-06-10,0.0350000000000108
2020-06-11,0.06500000000001194
2020-06-12,0.052499999999994884
2020-06-17,-0.0024999999999977263
2020-06-18,0.0
2020-06-19,-0.010000000000005116
2020-06-22,-0.002500000000011937
2020-06-23,-0.00750000000000739
2020-06-24,-0.0024999999999977263
2020-06-25,-0.007499999999993179
2020-06-26,-0.007499999999993179
2020-06-30,-0.012500000000002842
2020-07-01,-0.012499999999988631
2020-07-02,-0.015000000000000568
2020-07-03,-0.01999999999999602
2020-07-06,-0.022500000000007958
2020-07-07,-0.01999999999999602
2020-07-08,-0.01999999999999602
2020-07-09,-0.022500000000007958
2020-07-10,-0.025000000000005684
2020-07-13,-0.020000000000010232
2020-07-15,-0.017500000000012506
2020-07-16,-0.022500000000007958
2020-07-17,-0.022500000000007958
2020-07-20,-0.017500000000012506
2020-07-21,-0.02750000000000341
2020-07-22,-0.022500000000007958
2020-07-23,-0.02750000000000341
2020-07-24,-0.020000000000010232
2020-07-27,-0.020000000000010232
2020-07-28,-0.025000000000005684
2020-07-29,-0.025000000000005684
2020-07-30,-0.024999999999991473
2020-07-31,-0.03249999999999886
2020-08-03,-0.01999999999999602
2020-08-04,-0.025000000000005684
2020-08-05,-0.022500000000007958
2020-08-07,-0.020000000000010232
2020-08-10,-0.025000000000005684
2020-08-11,-0.020000000000010232
2020-08-12,-0.017499999999998295
2020-08-14,-0.00750000000000739
2020-08-17,-0.010000000000005116
2020-08-18,-0.010000000000005116
2020-08-19,-0.017499999999998295
2020-08-20,-0.017499999999998295
2020-08-21,-0.020000000000010232
2020-08-24,-0.015000000000000568
2020-08-25,-0.015000000000000568
2020-08-26,-0.015000000000000568
2020-08-27,-0.017499999999998295
2020-08-28,-0.012500000000002842
2020-08-31,-0.015000000000000568
2020-09-01,-0.017499999999998295
2020-09-03,-0.015000000000000568
2020-09-04,-0.012500000000002842
2020-09-08,-0.012500000000002842
2020-09-09,-0.010000000000005116
2020-09-10,-0.015000000000000568
2020-09-11,-0.017499999999998295
2020-09-14,-0.017499999999998295
2020-09-16,-0.002500000000011937
2020-09-17,-0.002500000000011937
2020-09-18,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,-0.002500000000011937
2020-09-23,-0.0024999999999977263
2020-09-24,-0.0049999999999954525
2020-09-25,-0.0049999999999954525
2020-09-28,-0.002500000000011937
2020-09-29,-0.0049999999999954525
2020-09-30,-0.0024999999999977263
2020-10-01,0.0
2020-10-02,0.0024999999999977263
2020-10-05,-0.002500000000011937
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,-0.002500000000011937
2020-10-09,-0.002500000000011937
2020-10-12,-0.002500000000011937
2020-10-13,-0.005000000000009663
2020-10-14,-0.00750000000000739
2020-10-15,-0.010000000000005116
2020-10-16,-0.010000000000005116
2020-10-18,-0.010000000000005116
2020-10-19,-0.010000000000005116
