date,6B_FRONT_CALENDAR,6E_FRONT_CALENDAR,6J_FRONT_CALENDAR,CL_FRONT_VOLUME,ES_FRONT_CALENDAR_2D,GC_FRONT_VOLUME,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,SR3_FRONT_CALENDAR,UB_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,ZT_FRONT_VOLUME
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.005679303732113894,0.003998368013055753,0.005054672993604292,0.049989453701750675,0.005618357814932695,0.004369056797738358,0.00942763599069063,0.012457705321439638,-0.0,-0.0060240963855421326,-0.0006809880517550937,-0.0015838895802692265,-3.535567812185114e-05
2021-01-06,-0.002053538687202039,0.0023569570871262435,-0.0039002360669198044,0.014061872237846496,0.009625740441572495,-0.014687819856704198,-0.009515435717077025,0.04374905058483969,-0.0,0.022172949002217335,0.002292157105686976,0.004645892351274772,0.0003535692819007785
2021-01-07,-0.003086646578966734,-0.004864996351252704,-0.0075734157650696465,0.009310618066561194,0.01326755117007794,-0.004259076507557302,0.020969364606553187,0.0,0.0,0.007407407407407418,0.0011176653213287313,0.00261839708561018,-0.0
2021-01-08,-0.001253225211942488,-0.004236942882750783,0.0013497378393810822,0.03493621197252206,0.005921831819976298,-0.03505294455166652,0.01423989489141353,-0.0026220442410374023,0.0,0.004721291501675329,0.0008702679181947781,0.002282844424152497,-7.073886747077651e-05
2021-01-10,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
2021-01-12,-0.010199556541020005,-0.0041544979638845625,-0.003697146427827702,0.024371521780848227,-0.00019751135690304622,-0.006278415241394386,0.002050607444091912,0.0066330209084355385,2.5018138150145752e-05,-0.004444444444444473,-0.0004358112314779561,-0.001604584527220565,-7.074887686164821e-05
2021-01-13,-0.0021217442200761605,-0.0043830902834671726,0.001037613488975353,-0.011802173098538815,0.0026340050046094188,-0.006077882960413006,-0.005776761136742525,0.014276846679081245,-0.0,-0.008391821788220843,-0.0006845478872363753,-0.001945302666208848,-3.537193590608112e-05
2021-01-14,0.004252511181171759,-0.0003291503805800122,0.0,0.019715639810426566,-0.0030211480362537513,-0.0006493857892743149,0.00406676432040709,-0.0,-0.0,-0.008775911635648392,0.0001865671641790856,0.0015989036089538722,7.074637424842045e-05
2021-01-15,-0.006351755858947206,-0.005717106074939138,-0.00010372905969613377,-0.03253392823944967,-0.012845849802371578,-0.010288622949044202,0.01232752114256963,0.019632888636578638,-5.003878005460649e-05,-0.005953289574110787,-0.0011196118678857836,-0.0024021962937543773,0.00014148273910574716
2021-01-17,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
2021-01-19,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
2021-01-20,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007168120726243732,0.0,-0.0018250950570342095,-0.0003728097427613264,0.0,0.00010609704342900983
2021-01-21,-0.007039155301363786,0.004702194357366851,0.0,0.0011329305135951984,0.0010395010395010118,-0.0002139151826301422,-0.0052009988922059325,0.0,0.0,0.007438894792773598,6.211180124227056e-05,0.0010264598540146164,-7.072385869366649e-05
2021-01-22,-0.003494975972040182,-0.00020527136874959329,-0.002950768752912003,-0.019615239532252082,0.0036420395421435936,-0.007488633324418292,0.0021480872683801167,0.0031161341332961445,-2.501688639833244e-05,-0.004435607219333226,-0.000621156593577199,-0.0012558511245575055,0.0
2021-01-24,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2021-01-25,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
2021-01-26,-0.004752156748062619,-0.0014816034241500464,-0.001659923228550797,-0.0017026106696934606,-0.00039006631127280755,0.0026419367013533757,-0.0070935155611675516,0.00879367603723269,5.003377279666488e-05,-0.0003016591251885359,6.202704379099089e-05,0.0,7.071635669331222e-05
2021-01-27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.003709370797978284,0.0,0.003166465621230463,0.0003101159833778233,0.0,-3.535567812185114e-05
2021-01-28,0.0,-0.0016931653933514035,0.001352757544224814,-0.0036245707745136135,-0.01570715922879873,-0.0018494342906874017,-0.012077666910659923,-0.0,-0.0,-0.00661355779347661,-0.0004960317460317443,-0.0013639463514435457,0.0
2021-01-29,0.0023304930449349337,-0.0009482189973615274,0.004741064916119697,-0.001723147616312426,0.01865002986659592,-0.0022260831794984615,-0.020155687938942957,-0.009998611303985716,5.0031269543504564e-05,-0.0037827205326070867,0.0003722084367245859,-0.0004552697473252376,0.00017678464095038926
2021-01-31,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
