symbol,cagr,vol,sharpe
6J_FRONT_CALENDAR,0.02440951801613167,0.06031188717587376,0.40472150945885305
UB_FRONT_VOLUME,0.013895152227807905,0.10001368498293713,0.1389325093878752
GC_FRONT_VOLUME,0.01095916176896794,0.0952573312038092,0.11504796145842157
ZF_FRONT_VOLUME,0.007600168140563968,0.03022202974191287,0.2514777533298438
ZT_FRONT_VOLUME,0.006424500451553072,0.014684016178182062,0.4375165740486436
ZN_FRONT_VOLUME,0.0029078123107479925,0.04152074887472239,0.07003275204697122
SR3_FRONT_CALENDAR,0.0017196985665564046,0.006046213236217655,0.2844257222446559
6B_FRONT_CALENDAR,-0.01910774493681988,0.04936024747931941,-0.3871079646597296
RTY_FRONT_CALENDAR_2D,-0.02099140629563867,0.1230949886504134,-0.1705301452624828
6E_FRONT_CALENDAR,-0.022718341283764043,0.04684960297414614,-0.4849206789714123
NQ_FRONT_CALENDAR_2D,-0.023362334487369574,0.14949164103303392,-0.15627853387606522
ES_FRONT_CALENDAR_2D,-0.04116344202483968,0.11143774529361325,-0.3693850940395763
CL_FRONT_VOLUME,-0.05414115786250584,0.24332229740746192,-0.2225080004560466
