date,baseline,combined
2020-01-07,1.0,0.9995483257451167
2020-01-08,1.0,0.998324077971398
2020-01-09,1.0,0.9972290374188325
2020-01-10,1.0,0.9970707971975689
2020-01-13,1.0,0.9959490051578308
2020-01-14,1.0,0.9954609504482488
2020-01-15,1.0,0.9952972770106483
2020-01-16,1.0,0.9944708736984468
2020-01-17,1.0,0.9944708736984468
2020-01-21,1.0,0.9949679475849302
2020-01-22,1.0,0.9970673475896625
2020-01-23,1.0,0.9969086293168552
2020-01-24,1.0,0.9986270688401865
2020-01-27,1.0,1.0019014532653272
2020-01-28,1.0,1.0004348651327157
2020-01-29,1.0,1.0003456202504226
2020-01-30,1.0,0.9992317376850607
2020-01-31,1.0,1.0030362719593335
2020-02-03,1.0,1.0021804181930192
2020-02-04,1.0,0.9995238409612253
2020-02-05,1.0,0.998299623176494
2020-02-06,1.0,0.9978332699134796
2020-02-07,1.0,0.9986077602175448
2020-02-10,1.0,0.9978326687757454
2020-02-11,1.0,0.9976763175558453
2020-02-12,1.0,0.9957611565948332
2020-02-13,1.0,0.9965665455225686
2020-02-14,1.0,0.99608448764534
2020-02-18,1.0,0.9973591374952211
2020-02-19,1.0,0.9989098830002588
2020-02-20,1.0,1.000416194213829
2020-02-21,1.0,1.0018806082171472
2020-02-24,1.0,1.0074812461891696
2020-02-25,1.0,1.0112366404204907
2020-02-26,1.0,1.0114782167616536
2020-02-27,1.0,1.0172793781110179
2020-02-28,1.0,1.0161868969191306
2020-03-02,1.0,1.016844490371403
2020-03-03,1.0,1.0214260939749797
2020-03-04,1.0,1.0195931949441146
2020-03-05,1.0,1.0252677973061846
2020-03-06,1.0,1.0302332206424436
2020-03-09,1.0,1.0393894278281743
2020-03-10,1.0,1.0372667349780653
2020-03-11,1.0,1.0426445220854375
2020-03-12,1.0,1.0516219464015761
2020-03-13,1.0,1.049359666855472
2020-03-16,1.0,1.0650036398892864
2020-03-17,1.0,1.067017653615645
2020-03-18,1.0,1.0656987610721531
2020-03-19,1.0,1.064847331113427
2020-03-20,0.9793893350697231,1.0418326709056593
2020-03-23,0.9832394483178152,1.0341294528591338
2020-03-24,1.0029452130571668,1.0475444482876255
2020-03-25,1.002476771565958,1.0525028127986866
2020-03-26,1.014247995481688,1.0581352033853297
2020-03-27,1.016202356757284,1.0665684265569204
2020-03-30,1.0213663811582274,1.0691838512213334
2020-03-31,1.0109002440178076,1.0564497353466307
2020-04-01,1.0043619043003296,1.054529852036161
2020-04-02,1.0016390754586804,1.0486491766822987
2020-04-03,0.9941183442472299,1.0397401863083338
2020-04-06,1.0048539310671534,1.046487853584571
2020-04-07,1.0133642313619846,1.0572677021384436
2020-04-08,1.0188724446065194,1.06085598747228
2020-04-09,1.0240626372337758,1.0640577242709397
2020-04-13,1.028598322319836,1.0673697309910921
2020-04-14,1.0356450662703498,1.0694480807107287
2020-04-15,1.020939355883836,1.0575548775097403
2020-04-16,1.0244133413989513,1.060743656719243
2020-04-17,1.0265548660858572,1.060728800012852
2020-04-20,1.018319495013016,1.0574688725314672
2020-04-21,0.9992044837414633,1.0420712600818154
2020-04-22,1.0019644409287352,1.0430244461771896
2020-04-23,1.0050086429879632,1.046520985940482
2020-04-24,1.0105330029194777,1.0489158385787207
2020-04-27,1.0115963733977866,1.0467738481439453
2020-04-28,1.0120219752356938,1.0477365385081927
2020-04-29,1.0245939436807687,1.0568266500946952
2020-04-30,1.0333858214115024,1.0677992532117007
2020-05-01,1.028337416960971,1.0670885986280383
2020-05-04,1.0376650342182818,1.0747798674928937
2020-05-05,1.0453429859373662,1.0804589157163274
2020-05-06,1.0405524831391875,1.0770195500735584
2020-05-07,1.037384487771336,1.0707787883850541
2020-05-08,1.0500304161199896,1.0799672021047282
2020-05-11,1.0491456400926547,1.076029675855222
2020-05-12,1.039000366905949,1.0729266046508306
2020-05-13,1.0358923300054337,1.073040650796122
2020-05-14,1.0372940026592656,1.0712565630432418
2020-05-15,1.040562906228049,1.0741373936249485
2020-05-18,1.0592154746558133,1.0879302209637283
2020-05-19,1.0478410081271914,1.0802970118122923
2020-05-20,1.052936727993379,1.0827013029865447
2020-05-21,1.0527786688027607,1.0843744930818613
2020-05-22,1.0513648204845027,1.0820399482010705
2020-05-26,1.0657182003397816,1.0950188479191814
2020-05-27,1.0634465590873856,1.0920781828356354
2020-05-28,1.0680516601581282,1.098444355921538
2020-05-29,1.0688774499699625,1.0975490015999572
2020-06-01,1.0736133282755953,1.1032490690090704
2020-06-02,1.0832409042199609,1.111286974388864
2020-06-03,1.0923998404459236,1.1184270558594163
2020-06-04,1.1029268980737847,1.1279888952815262
2020-06-05,1.1208761762578252,1.1423002414677657
2020-06-08,1.1163062271393425,1.1394304776860127
2020-06-09,1.1110491961481417,1.1376028429263876
2020-06-10,1.0979838444566132,1.1238265496585427
2020-06-11,1.081915193897578,1.1257628151386054
2020-06-12,1.088703601587789,1.125134982103314
2020-06-15,1.1070123506492557,1.1418857091381518
2020-06-16,1.111171761193078,1.145202721027078
2020-06-17,1.1119385188196043,1.1453543991168795
2020-06-18,1.1140860544498976,1.147627689113907
2020-06-19,1.1149582177491961,1.1507561862386597
2020-06-22,1.1252629231513727,1.1555711893253588
2020-06-23,1.1166021627221856,1.1475760231518568
2020-06-24,1.0931008351468356,1.1273503287773834
2020-06-25,1.0984369104107625,1.1306082385255949
2020-06-26,1.08221247759951,1.1183832466972516
2020-06-29,1.0882308820450135,1.1215497343114151
2020-06-30,1.0905521631222985,1.1220877970651713
2020-07-01,1.0986795498925872,1.1282411759336493
