symbol,cagr,vol,sharpe
UB_FRONT_VOLUME,0.07043329116274544,0.09991468923646397,0.7049342964581902
CL_FRONT_VOLUME,0.02479103166481078,0.24681620261283327,0.10044329100913639
ZN_FRONT_VOLUME,0.02105936146688392,0.04159672237583753,0.5062745395323927
ZT_FRONT_VOLUME,0.014559775436312039,0.014661064733142635,0.993091272791285
6E_FRONT_CALENDAR,0.012071323879508933,0.04978715243070263,0.24245861211505673
ZF_FRONT_VOLUME,0.007747243600969123,0.0302218742826169,0.25634557038129174
6J_FRONT_CALENDAR,0.00010096362009637261,0.0642056680073045,0.0015725032264267736
6B_FRONT_CALENDAR,-0.0006502225431339603,0.0543360734778318,-0.011966682564930647
SR3_FRONT_CALENDAR,-0.0020968431806646093,0.006825934625743639,-0.3071877033155987
NQ_FRONT_CALENDAR_2D,-0.00961488151508283,0.15308039044014035,-0.06280936106471832
GC_FRONT_VOLUME,-0.011519530440449732,0.09622027248235333,-0.1197204096731528
RTY_FRONT_CALENDAR_2D,-0.03027764378134634,0.14582273893320719,-0.20763321278181962
ES_FRONT_CALENDAR_2D,-0.04984208909443266,0.11459791187683435,-0.4349301682564785
