date,6E_FRONT_CALENDAR_2D,CL_FRONT_VOLUME,ES_FRONT_CALENDAR_2D,GC_FRONT_VOLUME,NQ_FRONT_CALENDAR_2D,ZN_FRONT_VOLUME
2021-01-08,0.6034992164751449,-0.040156875625175406,0.13572561695649,0.27046856929261426,0.35000392056521806,0.34617390887961835
2021-01-15,0.46857823623402517,0.00702670843672034,0.23614529241289042,0.24656392199881805,0.4038008557848497,0.20639973115246213
2021-01-22,0.36773032617388035,0.04050187413377614,0.30177701306145216,0.17599163442514584,0.4618222920320932,0.034948251379140205
2021-01-29,0.31785942694082586,0.08858433849682094,0.30459616889137214,0.25950446936123195,0.37881841064918165,0.0788809784017729
2021-02-05,0.31361717699622094,0.1364048519621358,0.3172368650787637,0.17538671226743427,0.32686114544909883,-0.031146641984641617
2021-02-12,0.21324881053079855,0.20106856117034902,0.31542390645445467,0.10278973876776541,0.3445260517813474,-0.07023540339148915
2021-02-19,0.2977283711894281,0.18341282810514842,0.3572748852806746,0.10187362544630287,0.39516156061372876,-0.06633104224964641
2021-02-26,0.23382213894154438,0.329671433601673,0.2635739784246316,0.04674884552979077,0.324897071402211,-0.044876992842832475
2021-03-05,0.2616750494474154,0.34804079834126195,0.2629218984079796,0.0741668802416886,0.2946247375192041,-0.07967437814603703
2021-03-12,0.24017938497596822,0.3995497803462246,0.24680756521626165,0.019622570367486044,0.2587688410868936,-0.10287999348566458
2021-03-19,0.22292170456637933,0.3959394658005428,0.24673112996015015,0.04359471681538319,0.24162550724526696,-0.10666977530667637
2021-03-26,0.29002915364148524,0.38391200316775553,0.2585583782857302,0.015240231684650015,0.2450890999876594,-0.1939061756299535
2021-04-02,0.2640675867051858,0.3686234038521489,0.3031587600771402,-0.031738427472727204,0.2520153058798397,-0.2822817159919841
2021-04-09,0.27344124464123787,0.3781455096339018,0.33516640029041983,-0.0003282088293946131,0.27507532951801494,-0.3229877211356381
2021-04-16,0.24813419893907432,0.3469211869642037,0.3929558196084925,-0.02397046869302937,0.33075316748306777,-0.3846033520772829
2021-04-23,0.1607160867515613,0.3498756446625302,0.4009804309383769,-0.0026549474882937435,0.345233881628133,-0.39798712299863903
2021-04-30,0.18778477127082407,0.3302716528588103,0.44557007449945585,0.0022965007244684327,0.34343049668733244,-0.3639996976576489
2021-05-07,0.255431895929419,0.2964891223346546,0.48111812917140184,-0.011192430891045933,0.36392166789161945,-0.3635092927783576
2021-05-14,0.23240816300978187,0.32701611343555337,0.4614633147730142,-0.004702303652134127,0.327032595765273,-0.33605482533823855
2021-05-21,0.27422920927461275,0.32503034176150364,0.4697057473501498,-0.00807628188337861,0.3254529624871178,-0.3948430959842853
2021-05-28,0.22870337106062721,0.38271042274083683,0.45440919328590085,-0.021257934304567253,0.2516063692840831,-0.4037148454932369
2021-06-04,0.2458145594832355,0.3736882920722326,0.44328590696406717,0.025880345364686436,0.2683211242884376,-0.4060142662119962
2021-06-11,0.2016737339831311,0.37181181424293686,0.45111163814640326,-0.038660629476233895,0.2843475945634612,-0.4268833577973761
2021-06-18,0.15144928871023472,0.3919804803523527,0.44309760769249207,-0.09194059784772342,0.27310804387333826,-0.40226729013074297
2021-06-25,0.1463373330888155,0.40842664084807273,0.42171558068271287,-0.13252566814102176,0.2590502939153992,-0.4917206856408537
2021-07-02,0.10609335413500731,0.44007030285464765,0.4655819098586463,-0.046692869593013914,0.29907291579362855,-0.40861588510509705
2021-07-09,0.10465862957643135,0.46162731271090696,0.4566860795007103,-0.08336774533470367,0.26966355079571924,-0.4200249644110754
2021-07-16,-0.021892638299335916,0.4848338152416669,0.42004157501224243,-0.22920703533192077,0.2602935118696371,-0.43033670007071917
2021-07-23,7.208617793993132e-05,0.46875228087130505,0.4252874328922989,-0.16670431833370247,0.3097858859675978,-0.34441560344571387
2021-07-30,-0.02659101850886908,0.4770574480780332,0.445409803193863,-0.13381455651048751,0.33553219973419274,-0.2954449429466336
2021-08-06,-0.04403083258597594,0.4348108188027076,0.4966291578700544,-0.1307812083346595,0.38243664361897445,-0.3035641612430766
2021-08-13,0.03407115955493694,0.40798981466148576,0.5559741858056002,-0.05326992117483089,0.39030966215118595,-0.26629216321958254
2021-08-20,0.015472828975365558,0.4685592403549399,0.501255952263052,-0.09391726797732898,0.3484437419008748,-0.23209208821143396
2021-08-27,-0.009797953309875452,0.47332225197651073,0.5191086874332838,-0.11665420839641007,0.3630058645156002,-0.21382736110904083
2021-09-03,-0.031701594774735845,0.46006927627679317,0.5554826708675881,-0.1976224435031822,0.3791462252311655,-0.3171041853210113
2021-09-10,-0.08329804580986584,0.45823822404915854,0.5667519233652585,-0.1174483022099043,0.3875513765428637,-0.23194887316776527
2021-09-17,0.014411750882601706,0.4603878160252747,0.5534045816501265,-0.05876006700532789,0.39611841680265075,-0.1842604166483795
2021-09-24,-0.06473473288828772,0.49363999866999414,0.512899988984813,-0.13957500777037507,0.35017129264608815,-0.23633363238353905
2021-10-01,-0.03225510652775289,0.465591972495557,0.48926764944713924,-0.09832442448304332,0.4028977055228568,-0.27872896682896625
2021-10-08,-0.06077010572296965,0.462915211151562,0.49709649966051705,-0.07241211939110535,0.3979583211037709,-0.27939049909375246
2021-10-15,-0.17181902001426383,0.4934508903594519,0.45830148446961416,-0.009951238648548957,0.3623665219620357,-0.3543445057734483
2021-10-22,-0.2625591744515494,0.5284815557602236,0.434863001723042,-0.14241607192418257,0.30816680091302795,-0.4035095614072606
2021-10-29,-0.2995789456323222,0.5643981589531529,0.4194199041840891,-0.11225527783852016,0.2960585223898044,-0.4087369388786291
