date,port_rvol_20d,port_rvol_60d,vol_accel,dd_level,dd_slope_10d,corr_20d,corr_60d,corr_shock,trend_breadth_20d,sleeve_concentration_60d
2020-05-28,0.11433577161702671,0.12760122927261736,0.8960397346388468,0.0,0.008677677877482082,0.06377982921519859,0.11989174219275171,-0.05611191297755312,0.3076923076923077,1.0
2020-05-29,0.11272012938757885,0.11939424230986126,0.9441002112567436,0.0,0.0,0.061940108287643965,0.05804028745060686,0.0038998208370371046,0.3076923076923077,1.0
2020-05-31,0.1116823906425873,0.11014123657522562,1.0139925255543056,0.0,0.010919076748680312,0.008160686700728061,0.05576551796160274,-0.04760483126087468,0.38461538461538464,1.0
2020-06-01,0.10542336592043931,0.11025332572390369,0.956192162261304,0.0,0.006033863795726346,0.01486826750387297,0.04874957055266506,-0.03388130304879209,0.3076923076923077,1.0
2020-06-02,0.1094333234650097,0.10473631724981583,1.0448460127158246,0.0,0.0061896278904778335,0.007392425190343839,0.06450167213699873,-0.05710924694665489,0.3076923076923077,1.0
2020-06-03,0.1120260186316889,0.10595914914693226,1.0572566836710229,0.0,0.0076655387844788425,0.05903097364105165,0.0737599470051947,-0.014728973364143048,0.46153846153846156,1.0
2020-06-04,0.10572369687875012,0.10547253892648668,1.002381263927272,0.0,0.007365974159099009,0.06896801012236757,0.07635471677969773,-0.007386706657330155,0.46153846153846156,1.0
2020-06-05,0.10962033312032508,0.10874491570004124,1.0080501917229727,0.0,0.005667018636139387,0.06159932381252829,0.061387927312321726,0.00021139650020656625,0.5384615384615384,1.0
2020-06-07,0.10909991799064937,0.10854527712370367,1.0051097650827645,0.0,0.0,0.05087237516435579,0.06183799043242209,-0.010965615268066296,0.6153846153846154,0.8835772720113929
2020-06-08,0.11277523878692443,0.10882425959227794,1.0363060516970137,-0.003611575128389055,-0.001259543288919529,0.05069250271533036,0.06360023977160137,-0.012907737056271011,0.6153846153846154,0.8731952387186153
2020-06-09,0.11608735976277772,0.10619400675050689,1.0931630071696452,-0.007768945199082999,-0.007768945199082999,0.05836826119923758,0.06607179550379086,-0.007703534304553276,0.5384615384615384,0.9939066869538902
2020-06-10,0.11369816245832834,0.10761161051480628,1.0565603647636572,-0.01812984115043148,-0.01812984115043148,0.0766326087082012,0.07349885323681736,0.0031337554713838367,0.5384615384615384,0.7704232323749998
2020-06-11,0.1173404838374277,0.11145702479546961,1.0527867943070848,-0.031012580692121983,-0.031012580692121983,0.13782811171744122,0.08288308536731168,0.054945026350129544,0.6923076923076923,0.5735738606324187
2020-06-12,0.11765010120114665,0.11050896020513373,1.0646204704374838,-0.025350511263020126,-0.025350511263020126,0.10019921769046093,0.08311943868279587,0.017079779007665066,0.6153846153846154,0.5567196341210499
2020-06-14,0.12217925861793581,0.11191700563028666,1.0916952069067154,-0.03231684457317263,-0.03231684457317263,0.08194755773122604,0.08259005460125801,-0.0006424968700319694,0.5384615384615384,0.5220871942141687
2020-06-15,0.1307984168523057,0.11467267497463839,1.14062410143684,-0.016948821317653406,-0.016948821317653406,0.0692860080473693,0.08807193658610692,-0.018785928538737617,0.6923076923076923,0.7010451586366546
2020-06-16,0.13045072022240864,0.11409140427486437,1.1433878042918295,-0.013459174637876492,-0.013459174637876492,0.06735271382437917,0.09358726283483108,-0.026234549010451913,0.6923076923076923,0.8018580508874802
2020-06-17,0.13066452838404613,0.11393041588943392,1.1468801141817315,-0.01287436151077459,-0.01287436151077459,0.06724398532848351,0.09513335096437786,-0.02788936563589435,0.6153846153846154,0.6887914562601678
2020-06-18,0.1227445927563444,0.11378834239696319,1.0787097357314193,-0.011080772085029222,-0.011080772085029222,0.09618516745421013,0.07826069382078442,0.01792447363342571,0.5384615384615384,0.7110060945734443
2020-06-19,0.12167103963318775,0.11378463776945233,1.0693098999859247,-0.010400556396593208,-0.006788981268204153,0.0830962621921733,0.07669212775851134,0.006404134433661959,0.5384615384615384,0.7255402306634273
2020-06-21,0.1252523416923377,0.11485493197442595,1.0905264540161574,-0.01666795795663434,-0.008899012757551339,0.07286160074249227,0.07752079702545754,-0.004659196282965267,0.46153846153846156,0.602704397304126
2020-06-22,0.12711970143042448,0.11555217265087189,1.100106545071226,-0.00860557045279653,0.009524270697634951,0.0711428819246281,0.08126988783053592,-0.010127005905907815,0.6153846153846154,0.6959756453299202
2020-06-23,0.131153816860971,0.1162593773510545,1.1281138764827678,-0.015349626448450726,0.015662954243671257,0.08944181505346695,0.0723139565623344,0.017127858491132547,0.6153846153846154,0.7849958453494119
2020-06-24,0.14955364372774,0.11944458885117794,1.2520755035129842,-0.03381872183128887,-0.008468210568268741,0.09934287145890425,0.08208559320060517,0.017257278258299077,0.46153846153846156,0.5708495564599996
2020-06-25,0.1461364965525394,0.11954773696932505,1.2224112330126067,-0.029651325093828618,0.002665519479344014,0.11252227189341311,0.08158067785228208,0.030941594041131032,0.3076923076923077,0.6389998795634327
2020-06-26,0.15069057441718317,0.12357400725251032,1.2194358487482164,-0.043349108781298495,-0.02640028746364509,0.09844876239731135,0.08219209696676902,0.016256665430542327,0.15384615384615385,0.5597126354757487
2020-06-28,0.14461414615731868,0.12318874424087699,1.1739233730197587,-0.04526355443181718,-0.031804379793940685,0.10921199119485127,0.08378521318469193,0.025426778010159343,0.15384615384615385,0.5070387554923426
2020-06-29,0.13461742966565207,0.12249167817421139,1.0989924513418379,-0.04021277723474159,-0.027338415723967002,0.12472379303878069,0.08472304570782961,0.040000747330951075,0.15384615384615385,0.508306889341806
