,risk_scalar_computed,risk_scalar_applied
2020-03-20,0.9999973819551432,0.9999973819551432
2020-03-27,0.9999995340442625,0.9999995340442625
2020-04-03,0.9999999170698894,0.9999999170698894
2020-04-10,0.999999985240222,0.999999985240222
2020-04-17,0.8855957004980767,0.8855957004980767
2020-04-24,0.8563352699372798,0.8563352699372798
2020-05-01,0.8511275419395209,0.8511275419395209
2020-05-08,0.9369194282407008,0.9369194282407008
2020-05-15,0.9887730134735035,0.9887730134735035
2020-05-22,0.9980018376030724,0.9980018376030724
2020-05-29,0.9996443700226172,0.9996443700226172
2020-06-05,0.9999367055045136,0.9999367055045136
2020-06-12,0.999988734939646,0.999988734939646
2020-06-19,0.9999979950612798,0.9999979950612798
2020-06-26,0.9999996431639826,0.9999996431639826
2020-07-03,0.9624999364908552,0.9624999364908552
2020-07-10,0.8700225717045492,0.8700225717045492
2020-07-17,0.8535635875909708,0.8535635875909708
2020-07-24,0.8506342420297408,0.8506342420297408
2020-07-31,0.8501128814550003,0.8501128814550003
2020-08-07,0.9644243873488024,0.9644243873488024
2020-08-14,0.99366830526789,0.99366830526789
2020-08-21,0.9988730943701885,0.9988730943701885
2020-08-28,0.9997994350087568,0.9997994350087568
2020-09-04,0.999964303740572,0.999964303740572
2020-09-11,0.9999936468327336,0.9999936468327336
2020-09-18,0.9999988692727204,0.9999988692727204
2020-09-25,0.9999997987548372,0.9999997987548372
2020-10-02,0.9999999641826848,0.9999999641826848
2020-10-09,0.9999999936252876,0.9999999936252876
2020-10-16,0.999999998865438,0.999999998865438
2020-10-23,0.8855957029230724,0.8855957029230724
2020-10-30,0.856335270368877,0.856335270368877
2020-11-06,0.8886275420163358,0.8886275420163358
2020-11-13,0.9801780952465596,0.9801780952465596
2020-11-20,0.9097533768151228,0.9097533768151228
2020-11-27,0.8606348173091369,0.8606348173091369
2020-12-04,0.9544318314986232,0.9544318314986232
2020-12-11,0.9918898450103752,0.9918898450103752
2020-12-18,0.9985565666534578,0.9985565666534578
2020-12-25,0.9997430998755787,0.9997430998755787
2021-01-01,0.9999542772971916,0.9999542772971916
2021-01-08,0.9999918623412238,0.9999918623412238
2021-01-15,0.9999985516715704,0.9999985516715704
2021-01-22,0.999999742228656,0.999999742228656
2021-01-29,0.8855956572472389,0.8855956572472389
2021-02-05,0.8563352622395599,0.8563352622395599
2021-02-12,0.8511275405694921,0.8511275405694921
2021-02-19,0.9369194279968652,0.9369194279968652
2021-02-26,0.9887730134301062,0.9887730134301062
2021-03-05,0.9980018375953486,0.9980018375953486
2021-03-12,0.9996443700212424,0.9996443700212424
2021-03-19,0.9999367055042688,0.9999367055042688
2021-03-26,0.9999887349396024,0.9999887349396024
2021-04-02,0.999997995061272,0.999997995061272
2021-04-09,0.9999996431639812,0.9999996431639812
2021-04-16,0.9999999364908552,0.9999999364908552
2021-04-23,0.9999999886967368,0.9999999886967368
2021-04-30,0.885595701113262,0.885595701113262
2021-05-07,0.9588743325467696,0.9588743325467696
2021-05-14,0.9926805147525868,0.9926805147525868
2021-05-21,0.9986972888805264,0.9986972888805264
2021-05-28,0.999768145408668,0.999768145408668
2021-06-04,0.999958734863994,0.999958734863994
2021-06-11,0.9999926556923466,0.9999926556923466
2021-06-18,0.9999986928710256,0.9999986928710256
2021-06-25,0.9999997673591254,0.9999997673591254
2021-07-02,0.9999999585949224,0.9999999585949224
2021-07-09,0.9999999926307858,0.9999999926307858
2021-07-16,0.999999998688438,0.999999998688438
2021-07-23,0.9999999997665702,0.9999999997665702
2021-07-30,0.9999999999584545,0.9999999999584545
2021-08-06,0.9999999999926056,0.9999999999926056
2021-08-13,0.897460937498684,0.897460937498684
2021-08-20,0.8584470272061868,0.8584470272061868
2021-08-27,0.8515033893636011,0.8515033893636011
2021-09-03,0.8502675710073403,0.8502675710073403
2021-09-10,0.8500476218907108,0.8500476218907108
2021-09-17,0.8500084756734201,0.8500084756734201
2021-09-24,0.8500015084877743,0.8500015084877743
2021-10-01,0.850000268478415,0.850000268478415
2021-10-08,0.8500000477833899,0.8500000477833899
2021-10-15,0.8500000085044168,0.8500000085044168
2021-10-22,0.8500000015136036,0.8500000015136036
2021-10-29,0.9644042971443888,0.9644042971443888
2021-11-05,0.9936647296431298,0.9936647296431298
2021-11-12,0.9988724579858012,0.9988724579858012
2021-11-19,0.999799321746008,0.999799321746008
2021-11-26,0.9999642835822364,0.9999642835822364
2021-12-03,0.999993643244983,0.999993643244983
2021-12-10,0.999998868634178,0.999998868634178
2021-12-17,0.9999997986411904,0.9999997986411904
2021-12-24,0.999999964162458,0.999999964162458
2021-12-31,0.9999999936216876,0.9999999936216876
2022-01-07,0.9999999988647974,0.9999999988647974
2022-01-14,0.8855957029229584,0.8855957029229584
2022-01-21,0.8563352703688567,0.8563352703688567
2022-01-28,0.8511275420163322,0.8511275420163322
2022-02-04,0.9527397407543716,0.9527397407543716
2022-02-11,0.9915886892114104,0.9915886892114104
2022-02-18,0.9985029673913864,0.9985029673913864
2022-02-25,0.9997335603584768,0.9997335603584768
2022-03-04,0.999952579468098,0.999952579468098
2022-03-11,0.999991560164122,0.999991560164122
2022-03-18,0.9999984978905384,0.9999984978905384
2022-03-25,0.9999997326567877,0.9999997326567877
2022-04-01,0.876696729762402,0.876696729762402
2022-04-08,0.723501444335154,0.723501444335154
2022-04-15,0.5808795295215643,0.5808795295215643
2022-04-22,0.7523708928274464,0.7523708928274464
2022-04-29,0.8903023390798849,0.8903023390798849
2022-05-06,0.8571729504856535,0.8571729504856535
