date,position
2020-01-03,
2020-01-06,-0.0
2020-01-07,-0.3535533905932738
2020-01-08,-0.4364357804719911
2020-01-09,-0.6004805767690756
2020-01-10,-0.7601169500660919
2020-01-13,-0.5818433351570418
2020-01-14,-0.5783552312542589
2020-01-15,-0.4036761201903324
2020-01-16,-0.5689507777331443
2020-01-17,-0.6850386929107729
2020-01-21,-0.6841145663229963
2020-01-22,-0.13298017534249562
2020-01-23,1.0
2020-01-24,1.0
2020-01-27,1.0
2020-01-28,1.0
2020-01-29,0.7533318091328324
2020-01-30,0.7017326642918952
2020-01-31,0.5466259605225459
2020-02-03,0.8777742627699389
2020-02-04,0.8172577859295265
2020-02-05,0.5350144396339728
2020-02-06,0.340080626842878
2020-02-07,0.32992758362090063
2020-02-10,0.40976714077557386
2020-02-11,0.3293679726605039
2020-02-12,0.3436909219737233
2020-02-13,0.07607421469334698
2020-02-14,0.12314113428937855
2020-02-18,-0.002211887749146726
2020-02-19,0.0229427640544915
2020-02-20,0.022592428195512212
2020-02-21,0.12610953311933054
2020-02-24,0.3072387223185945
2020-02-25,0.8496355926523086
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,0.9665464449362091
2020-03-06,1.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,0.8015375139785661
2020-03-19,1.0
2020-03-20,0.7130897885930343
2020-03-23,0.41014873278118197
2020-03-24,0.31035614924305444
2020-03-25,0.7771430878288083
2020-03-26,0.5993035511268111
2020-03-27,0.5263401982011641
2020-03-30,0.7890616937326353
2020-03-31,0.10397975058784589
2020-04-01,0.07801788972759133
2020-04-02,0.0943578878035062
2020-04-03,0.06069803696086128
2020-04-06,0.036662316336339366
2020-04-07,0.032679320116106636
2020-04-08,0.04295929102713644
2020-04-09,0.03685903507074392
2020-04-13,0.04231408580476153
2020-04-14,0.04414671793384955
2020-04-15,0.05350774074048488
2020-04-16,-0.009778353019394325
2020-04-17,-0.007626953246848978
2020-04-20,-0.022525501587485834
2020-04-21,0.009520425297546448
2020-04-22,0.015465706006363685
2020-04-23,-0.005058560920827385
2020-04-24,-0.011209569906389234
2020-04-27,-0.03080673560088065
2020-04-28,-0.0502749775918282
2020-04-29,-0.052252883917990676
2020-04-30,-0.056903253032317955
2020-05-01,-0.04132647223388705
2020-05-04,-0.025104484450830605
2020-05-05,-0.042308184564844864
2020-05-06,-0.053732419687407176
2020-05-07,-0.05468554391818747
2020-05-08,-0.07237980810665705
2020-05-11,-0.09556974180948452
2020-05-12,-0.08932345551955925
2020-05-13,-0.05191019704243841
2020-05-14,-0.0526928565584808
2020-05-15,-0.0715460342354193
2020-05-18,-0.07359247057487583
2020-05-19,-0.08921317548909509
2020-05-20,-0.0974601135758978
2020-05-21,-0.08402597265237613
2020-05-22,-0.07929691287776945
2020-05-26,-0.08523737006195524
2020-05-27,-0.09095416472410965
2020-05-28,-0.09640038195878033
2020-05-29,-0.09173356702775663
2020-06-01,-0.10890321684008705
2020-06-02,-0.10754723072019852
2020-06-03,-0.12369767783341072
2020-06-04,-0.13380456045217118
2020-06-05,-0.12982030960576366
2020-06-08,-0.12399456110340525
2020-06-09,-0.1316507516081355
2020-06-10,-0.13408721065408416
2020-06-11,-0.11969648359289833
2020-06-12,-0.036828938675576
2020-06-15,-0.05979723434114491
2020-06-16,-0.0747630638465047
2020-06-17,-0.08675346667434615
2020-06-18,-0.05811651612195101
2020-06-19,-0.07007211505396048
2020-06-22,-0.059614180279508815
2020-06-23,-0.08184803502674344
2020-06-24,-0.08195891159065659
2020-06-25,-0.07935627802470593
2020-06-26,-0.08960139700097378
2020-06-29,-0.08265268610605936
2020-06-30,-0.10409605287779446
2020-07-01,-0.12124920206754317
2020-07-02,-0.12201744163327025
2020-07-06,-0.12066280895382636
2020-07-07,-0.11731452664242152
2020-07-08,-0.10030309695306111
2020-07-09,-0.11121262757501316
2020-07-10,-0.11377061209087692
2020-07-13,-0.1472992060270415
2020-07-14,-0.12734605572682595
2020-07-15,-0.14460284789473382
2020-07-16,-0.16093787999112444
2020-07-17,-0.16214548991588373
2020-07-20,-0.1756041306564413
2020-07-21,-0.1824453722919787
2020-07-22,-0.19576964729922436
2020-07-23,-0.13438680541689355
2020-07-24,-0.1189704361940551
2020-07-27,-0.13112520151639295
2020-07-28,-0.16223493101194356
2020-07-29,-0.1589064627232968
2020-07-30,-0.17446755635030628
2020-07-31,-0.16847738993981398
2020-08-03,-0.17672918926311756
2020-08-04,-0.16522575381805987
2020-08-05,-0.1633434880932885
2020-08-06,-0.1816855893302782
2020-08-07,-0.20815531148731578
2020-08-10,-0.22200198821752215
2020-08-11,-0.23781303357091002
2020-08-12,-0.22906582643273596
2020-08-13,-0.25403285200811143
2020-08-14,-0.2509729182214346
2020-08-17,-0.25934887330530254
2020-08-18,-0.2849117332991347
2020-08-19,-0.2535059106503542
2020-08-20,-0.19496101749519537
2020-08-21,-0.21679043843655316
2020-08-24,-0.24015851944391586
2020-08-25,-0.2468397700856262
2020-08-26,-0.26397250922042653
2020-08-27,-0.291565363986271
2020-08-28,-0.29154499801712547
2020-08-31,-0.3022697588937935
2020-09-01,-0.30117084643101477
2020-09-02,-0.3008235857748995
2020-09-03,-0.2946051779896317
2020-09-04,-0.2723599275501941
2020-09-08,-0.33197060732575523
2020-09-09,-0.22609797519282038
2020-09-10,-0.2599111260687584
