date,multiplier,profile
2021-12-17,1.00000000,H
2021-12-24,1.00000000,H
2021-12-31,1.00000000,H
2022-01-07,1.00000000,H
2022-01-14,1.00000000,H
2022-01-21,1.00000000,H
2022-01-28,1.00000000,H
2022-02-04,1.00000000,H
2022-02-11,1.00000000,H
2022-02-18,1.00000000,H
2022-02-25,1.00000000,H
2022-03-04,1.00000000,H
2022-03-11,1.00000000,H
2022-03-18,1.00000000,H
2022-03-25,1.00000000,H
2022-04-01,0.99700000,H
2022-04-08,0.99445000,H
2022-04-15,0.99228250,H
2022-04-22,0.99044013,H
2022-04-29,0.98887411,H
2022-05-06,0.98754299,H
2022-05-13,0.98641154,H
2022-05-20,0.98544981,H
2022-05-27,0.98463234,H
2022-06-03,0.98393749,H
2022-06-10,0.98334686,H
2022-06-17,0.98284484,H
2022-06-24,0.98241811,H
2022-07-01,0.98205539,H
2022-07-08,0.98174708,H
2022-07-15,0.98148502,H
2022-07-22,0.98126227,H
2022-07-29,0.98107293,H
2022-08-05,0.98091199,H
2022-08-12,0.96127519,H
2022-08-19,0.94458391,H
2022-08-26,0.93039633,H
2022-09-02,0.91833688,H
2022-09-09,0.90808634,H
2022-09-16,0.89937339,H
2022-09-23,0.89196738,H
2022-09-30,0.88567228,H
2022-10-07,0.88032144,H
2022-10-14,0.87577322,H
2022-10-21,0.87190724,H
2022-10-28,0.86862115,H
2022-11-04,0.86582798,H
2022-11-11,0.86345378,H
2022-11-18,0.86143571,H
2022-11-25,0.85972036,H
2022-12-02,0.85826230,H
2022-12-09,0.85702296,H
2022-12-16,0.85596951,H
2022-12-23,0.87457409,H
2022-12-30,0.89038797,H
2023-01-06,0.90382978,H
2023-01-13,0.91525531,H
2023-01-20,0.92496701,H
2023-01-27,0.91372196,H
2023-02-03,0.90416367,H
2023-02-10,0.89603912,H
2023-02-17,0.88913325,H
2023-02-24,0.88326326,H
2023-03-03,0.87827377,H
2023-03-10,0.87403271,H
2023-03-17,0.87042780,H
2023-03-24,0.86736363,H
2023-03-31,0.86475909,H
2023-04-07,0.86254522,H
2023-04-14,0.86066344,H
2023-04-21,0.85906392,H
2023-04-28,0.85770434,H
2023-05-05,0.85654869,H
