date,baseline,carry,combined
2020-01-07,1.0,0.9997972739701249,0.9999898636985063
2020-01-08,1.0,1.0002025826612555,1.0000101330367686
2020-01-09,1.0,1.0002026136133184,1.000010134584074
2020-01-10,1.0,1.0002026136133184,1.000010134584074
2020-01-13,1.0,1.0002025517154767,1.0000101314897774
2020-01-14,1.0,1.000100961888187,1.000005052975612
2020-01-15,1.0,1.000100961888187,1.000005052975612
2020-01-16,1.0,1.0001009979989273,1.0000050547809758
2020-01-17,1.0,1.0002025362493967,1.000010131206453
2020-01-22,1.0,1.0001517310207562,1.0000075914336812
2020-01-23,1.0,1.0000502030813572,1.0000025157683101
2020-01-24,1.0,1.000151849630789,1.0000075978534313
2020-01-28,1.0,1.0003545449453752,1.0000177311574248
2020-01-29,1.0,1.0001007844448153,1.000005047404384
2020-01-30,1.0,1.0001008437063872,1.000005050367179
2020-01-31,1.0,0.9998478430767143,0.9999924015473618
2020-02-02,1.0,0.9999494121879142,0.9999974807371672
2020-02-03,1.0,0.9999488772346663,0.999997453988219
2020-02-04,1.0,1.0002527404203363,1.0000126478855746
2020-02-05,1.0,1.0004049189067252,1.0000202549835098
2020-02-06,1.0,1.0004048750824832,1.0000202527931403
2020-02-07,1.0,1.000252758591019,1.0000126498927528
2020-02-11,1.0,1.0004048289711278,1.0000202515865484
2020-02-12,1.0,1.0004048289711278,1.0000202515865484
2020-02-13,1.0,1.0004048289711278,1.0000202515865484
2020-02-14,1.0,1.0003034299270892,1.0000151835833464
2020-02-18,1.0,1.0001766823227765,1.0000088480293032
2020-02-19,1.0,1.000201819689371,1.0000101046867247
2020-02-20,1.0,1.000024302983363,1.0000012305527117
2020-02-21,1.0,0.9996694844014782,0.9999834900329339
2020-02-23,1.0,0.9994165907384797,0.9999708413779694
2020-02-24,1.0,0.9991638517551119,0.9999581974206753
2020-02-25,1.0,0.9991388408316091,0.9999569458803029
2020-02-26,1.0,0.9986339230248553,0.9999316793183735
2020-02-27,1.0,0.9986626318040369,0.9999331166227308
2020-02-28,1.0,0.9983878577448553,0.9999193604415834
2020-03-03,1.0,0.9988729813538272,0.9999436538304228
2020-03-04,1.0,0.9986971549429139,0.9999348530866321
2020-03-05,1.0,0.9986750433743087,0.9999337461380443
2020-03-06,1.0,0.9989529394332323,0.9999476584536208
2020-03-09,1.0,0.9986296730682839,0.999931479040561
2020-03-10,1.0,0.999154497746471,0.9999577544823415
2020-03-11,1.0,0.9993813957979447,0.9999691085054961
2020-03-12,1.0,1.0001839588604156,1.0000092602570434
2020-03-13,1.0,1.0003340614453817,1.0000167640753972
2020-03-15,1.0,1.0002841677132064,1.0000142701800816
2020-03-16,1.0,1.000334141792001,1.0000167682098189
2020-03-17,1.0,1.0002840800293251,1.0000142659158338
2020-03-18,1.0,1.0012353838817927,1.0000618182783416
2020-03-19,1.0,1.0010348209488782,1.0000518018858628
2020-03-20,0.9775970080191208,1.0014356432176863,0.9787878784456652
2020-03-22,0.9555390294012431,1.001084857606848,0.9577901294759787
2020-03-23,0.9596226851727873,1.0010347432387559,0.961676344537219
2020-03-24,0.9805281193251946,1.0010347206895498,0.981579008029362
2020-03-25,0.9800302032531718,1.0012351029647952,0.9811153051840092
2020-03-26,0.9925383695310361,1.0012350979533589,0.9930112196434987
2020-03-27,0.9946170354988704,1.001335264033801,0.9949918602523484
2020-03-30,1.0001110135506601,1.0012851797413476,1.000210617953776
2020-03-31,0.9889713575861684,1.0013352690449864,0.9896293926011025
2020-04-01,0.9820186242613655,1.0013352690449864,0.9830199010883864
2020-04-02,0.9791252510134898,1.0013853658665313,0.9802708529191015
2020-04-03,0.9711343334101568,1.0013853658665313,0.9726705990943826
2020-04-06,0.9825337343392321,1.0013853658665313,0.9835171613691012
2020-04-07,0.9915785132831446,1.0013853658665313,0.992118301717941
2020-04-08,0.9974370257860473,1.0012851571838668,0.99768195428381
2020-04-09,1.002959844491559,1.0013853433064175,1.0029349116967394
2020-04-13,1.0077883451423575,1.0013853357881353,1.0075218729074011
2020-04-14,1.0152928839448299,1.0013853207500663,1.0146492989312423
2020-04-15,0.9996225337341466,1.0013352139038942,0.9997693643331017
2020-04-16,1.0033197689572373,1.0013853107226804,1.0032847546376442
2020-04-17,1.0055995828795419,1.0014354351182828,1.0054530132535466
2020-04-20,0.9968308212616659,1.001485534444668,0.9971264189058963
2020-04-21,0.9764920772333675,1.0014855369515145,0.9777988825649797
2020-04-22,0.9794238402886247,1.0015857431238213,0.9805926765772316
2020-04-23,0.9826583168629197,1.001485526925132,0.9836641905362441
2020-04-24,0.9885295168920272,1.0014354225861823,0.989245079339116
2020-04-28,0.9889815789369881,1.0015356162252607,0.9896797978521026
2020-04-29,1.002335650965028,1.0015356162252607,1.002375122828173
2020-04-30,1.011684436682182,1.001635834924527,1.0112618341411008
2020-05-01,1.0063122773592788,1.001685929239852,1.006162943435265
2020-05-05,1.0144057171088274,1.0017861253865281,1.0138556024042933
2020-05-06,1.0093527537444085,1.0017861253865281,1.0090578904307816
2020-05-07,1.0060125289702122,1.0014854993611044,1.005870463479124
2020-05-08,1.0193424178577601,1.0014854993611044,1.018532069643025
2020-05-11,1.0184088116362056,1.0015856829753054,1.017650943256811
2020-05-12,1.0077044126855332,1.001535566106513,1.0074867858058318
2020-05-13,1.0044278702393785,1.0015355811483428,1.0043747434699206
2020-05-14,1.0059051505530048,1.0015355811483428,1.0057780855375738
2020-05-15,1.0093507869543472,1.001585672952686,1.0090535418313629
2020-05-19,0.997569275259509,1.001635782301943,0.9978669259457524
