date,baseline,crisis_sleeve,combined
2020-01-07,0.0,0.00556634649684451,0.0002783173248422255
2020-01-08,0.0,-0.0191905354363886,-0.00095952677181943
2020-01-09,0.0,0.004277532401288475,0.00021387662006442377
2020-01-10,0.0,0.009515789731047164,0.0004757894865523582
2020-01-12,0.0,-0.00016913319279154848,-8.456659639577424e-06
2020-01-13,0.0,-0.004237653599776792,-0.00021188267998883958
2020-01-14,0.0,0.007783457230382318,0.00038917286151911594
2020-01-15,0.0,0.005043722864462197,0.00025218614322310986
2020-01-16,0.0,-0.010621359229294747,-0.0005310679614647373
2020-01-17,0.0,-0.00033904051858968387,-1.6952025929484193e-05
2020-01-19,0.0,-0.000508776403750133,-2.5438820187506653e-05
2020-01-20,0.0,-0.0003393281335579701,-1.6966406677898507e-05
2020-01-21,0.0,0.007607170485791848,0.0003803585242895924
2020-01-22,0.0,0.00621172147600646,0.000310586073800323
2020-01-23,0.0,0.006173374073153326,0.0003086687036576663
2020-01-24,0.0,0.008777070505285423,0.00043885352526427116
2020-01-26,0.0,0.00935429812720745,0.00046771490636037254
2020-01-27,0.0,0.0037499024947775794,0.00018749512473887898
2020-01-28,0.0,-0.008005924633653017,-0.00040029623168265084
2020-01-29,0.0,0.011579677625010554,0.0005789838812505277
2020-01-30,0.0,-0.0006488240292501501,-3.244120146250751e-05
2020-01-31,0.0,0.00824113899074952,0.000412056949537476
2020-02-02,0.0,-0.0009660280899375095,-4.830140449687548e-05
2020-02-03,0.0,0.0016095287556447957,8.047643778223979e-05
2020-02-04,0.0,-0.015559471113341772,-0.0007779735556670887
2020-02-05,0.0,-0.009024591563060014,-0.0004512295781530007
2020-02-06,0.0,0.004768569424184577,0.00023842847120922884
2020-02-07,0.0,0.011741817876683491,0.0005870908938341746
2020-02-09,0.0,0.0037219882760659573,0.00018609941380329787
2020-02-10,0.0,-0.002587742023053785,-0.00012938710115268927
2020-02-11,0.0,-0.005195660332250718,-0.0002597830166125359
2020-02-12,0.0,-0.000977198774830157,-4.885993874150785e-05
2020-02-13,0.0,0.0014654403013327766,7.327201506663884e-05
2020-02-14,0.0,0.004869349014182234,0.0002434674507091117
2020-02-16,0.0,-0.001620483258516714,-8.102416292583571e-05
2020-02-17,0.0,0.003561603246861722,0.0001780801623430861
2020-02-18,0.0,0.0019373593402258749,9.686796701129375e-05
2020-02-19,0.0,-0.0006453694964241308,-3.226847482120654e-05
2020-02-20,0.0,0.011712929737210054,0.0005856464868605028
2020-02-21,0.0,0.007627559624731717,0.00038137798123658587
2020-02-23,0.0,0.00678396543546711,0.00033919827177335553
2020-02-24,0.0,0.006738253184634502,0.0003369126592317251
2020-02-25,0.0,0.0028072382752464264,0.00014036191376232132
2020-02-26,0.0,0.0024887242585673874,0.00012443621292836937
2020-02-27,0.0,0.008354008980852257,0.00041770044904261284
2020-02-28,0.0,-0.04651267949670945,-0.002325633974835473
2020-03-01,0.0,0.06950920039993314,0.0034754600199966568
2020-03-02,0.0,-0.011051509044219365,-0.0005525754522109682
2020-03-03,0.0,0.021088294670414953,0.0010544147335207477
2020-03-04,0.0,-0.018503724626578233,-0.0009251862313289117
2020-03-05,0.0,0.02917839974753278,0.0014589199873766391
2020-03-06,0.0,0.04723700324564106,0.0023618501622820532
2020-03-08,0.0,0.058064522322503365,0.0029032261161251686
2020-03-09,0.0,-0.025406299644008534,-0.0012703149822004267
2020-03-10,0.0,-0.03688715483378857,-0.0018443577416894287
2020-03-11,0.0,-0.0182471206737036,-0.00091235603368518
2020-03-12,0.0,-0.013907221104070722,-0.0006953610552035361
2020-03-13,0.0,-0.009380106882623807,-0.0004690053441311903
2020-03-15,0.0,0.048853270914512414,0.002442663545725621
2020-03-16,0.0,0.0005607738826327591,2.8038694131637956e-05
2020-03-17,0.0,-0.07174969637022244,-0.003587484818511122
2020-03-18,0.0,-0.01823481614751188,-0.000911740807375594
2020-03-19,0.0,-0.003379419498853231,-0.00016897097494266157
2020-03-20,-0.0206106649302768,0.06161071258954287,-0.016499596054285817
2020-03-22,-0.0207579569949783,0.009216655104923532,-0.019259226389983206
2020-03-23,0.0039311365870835,0.011827711806656538,0.004325965348062151
2020-03-24,0.0200416742565256,-0.003974455196310345,0.0188408677838838
2020-03-25,-0.0004670658826726,0.000995095682369218,-0.00039395780442050905
2020-03-26,0.0117421413140003,-0.005413889844080089,0.010884339756096281
2020-03-27,0.0019269067173929,0.030806290101709877,0.003370875886608749
2020-03-29,-0.0016976978864061,0.005801121241086449,-0.0013227569300314724
2020-03-30,0.005081689061834,-0.017645473461410432,0.003945330935671778
2020-03-31,-0.0102471917359872,0.0009807356302733439,-0.009685795367674171
2020-04-01,-0.0064678386974084,0.022706222635689777,-0.005009135630753492
2020-04-02,-0.0027110037029391,-0.0071438688213874,-0.002932646958861515
2020-04-03,-0.0075084243373857,0.006870046256697293,-0.00678950080768155
2020-04-05,0.0045112371882003,-0.0024677829908048565,0.004162286179250042
2020-04-06,0.0107991034287299,-0.014796646921752199,0.009519315911205795
2020-04-07,0.0084691914234671,-0.00027866796892084267,0.008031798453847702
2020-04-08,0.0054355710158938,-0.017289066530452146,0.004299339138576502
2020-04-09,0.005094055349844,0.008330439985560822,0.005255874581629841
2020-04-10,0.0025072948417901,0.0,0.002381930099700595
2020-04-12,-0.0003667527501577,0.001685867215812209,-0.00026412175185920453
2020-04-13,0.0044291090419157,-0.011009285508369437,0.0036571893144014427
2020-04-14,0.0068508219366146,0.0011347518948143787,0.006565018434524589
2020-04-15,-0.0141995659183443,0.023675547254849327,-0.012305810259684618
