date,baseline,combined
2020-01-07,1.0,1.0002783173248422
2020-01-08,1.0,0.9993185235000985
2020-01-09,1.0,0.9995322543682724
2020-01-10,1.0,1.0000078213063708
2020-01-12,1.0,0.9999993645805891
2020-01-13,1.0,0.9997874820352347
2020-01-14,1.0,1.0001765721905294
2020-01-15,1.0,1.0004288028628123
2020-01-16,1.0,0.9998975071778854
2020-01-17,1.0,0.9998805568894169
2020-01-19,1.0,0.9998551211077212
2020-01-20,1.0,0.9998381571591175
2020-01-21,1.0,1.000218454125103
2020-01-22,1.0,1.0005291080477123
2020-01-23,1.0,1.0008379400704652
2020-01-24,1.0,1.0012771613286833
2020-01-26,1.0,1.001745473582435
2020-01-27,1.0,1.001933295974961
2020-01-28,1.0,1.0015322258521848
2020-01-29,1.0,1.0021120968675061
2020-01-30,1.0,1.0020795871470836
2020-01-31,1.0,1.002492501004957
2020-02-02,1.0,1.002444079209161
2020-02-03,1.0,1.0025247523377314
2020-02-04,1.0,1.0017448145915109
2020-02-05,1.0,1.0012927977014057
2020-02-06,1.0,1.0015315344123943
2020-02-07,1.0,1.0021195244561356
2020-02-09,1.0,1.0023060183121977
2020-02-10,1.0,1.0021763328420203
2020-02-11,1.0,1.001915984451097
2020-02-12,1.0,1.0018670308974726
2020-02-13,1.0,1.0019404397136553
2020-02-14,1.0,1.0021843795982748
2020-02-16,1.0,1.0021031784478205
2020-02-17,1.0,1.002281633144523
2020-02-18,1.0,1.0023787221286984
2020-02-19,1.0,1.002346376896142
2020-02-20,1.0,1.0029333975303887
2020-02-21,1.0,1.0033158942448535
2020-02-23,1.0,1.003656217262224
2020-02-24,1.0,1.0039943617473364
2020-02-25,1.0,1.0041352843173579
2020-02-26,1.0,1.004260235109406
2020-02-27,1.0,1.004679715060567
2020-02-28,1.0,1.0023431977813944
2020-03-01,1.0,1.0058268014915992
2020-03-02,1.0,1.005271006291919
2020-03-03,1.0,1.0063309788521344
2020-03-04,1.0,1.0053999352863408
2020-03-05,1.0,1.0068667333472372
2020-03-06,1.0,1.0092448017047897
2020-03-08,1.0,1.0121748675706628
2020-03-09,1.0,1.010889086671781
2020-03-10,1.0,1.0090246455587886
2020-03-11,1.0,1.0081040558352758
2020-03-12,1.0,1.0074030595352552
2020-03-13,1.0,1.006930582116639
2020-03-15,1.0,1.0093901747426515
2020-03-16,1.0,1.0094184767250205
2020-03-17,1.0,1.0057972032642448
2020-03-18,1.0,1.0048801769100846
2020-03-19,1.0,1.0047103813268916
2020-03-20,0.9793893350697231,0.9881330658834504
2020-03-22,0.9590592133710054,0.9691023874641728
2020-03-23,0.9628294061338677,0.973294690811067
2020-03-24,0.9821261194562068,0.9916324073953944
2020-03-25,0.9816674018533271,0.9912417460693846
2020-03-26,0.9931942792092363,1.00203075801403
2020-03-27,0.9951080719375207,1.0054084793338596
2020-03-29,0.9934186790670467,1.0040785683003084
2020-03-30,0.9984669239022832,1.0080399905376687
2020-03-31,0.9882354418910152,0.9982763214668886
2020-04-01,0.981843694457802,0.9932758199756914
2020-04-02,0.9791819125664195,0.990362892662929
2020-04-03,0.9718297992633779,0.9836388230032962
2020-04-05,0.9762139539944161,0.9877330092816566
2020-04-06,0.9867561894521711,0.9971355518329346
2020-04-07,0.9951132165089326,1.005144343616423
2020-04-08,1.0005222250661214,1.0094658000328518
2020-04-09,1.0056189406593572,1.014771425672269
2020-04-10,1.008140323842079,1.017188540275394
2020-04-12,1.007770585605765,1.0169198786561653
2020-04-13,1.0122341114186482,1.020638947169989
2020-04-14,1.0191687470741446,1.0273394606731536
2020-04-15,1.0046969932681489,1.0146972161978232
2020-04-16,1.0081157103364824,1.0179702995539162
2020-04-17,1.0102231650070697,1.019935539475461
2020-04-19,1.017736874877596,1.0271280492069115
2020-04-20,1.0095722447189681,1.01965489805518
2020-04-21,0.990621429251173,1.002009555023825
2020-04-22,0.9933576787156366,1.004227594986463
2020-04-23,0.9963757314204743,1.0072914015646401
2020-04-24,1.0018526377195365,1.0126272676027113
2020-04-26,1.0007892804263592,1.0115715894126172
2020-04-27,1.0018423977147,1.0116610351516033
2020-04-28,1.0022638958309185,1.012653971783438
2020-04-29,1.0147146433249041,1.0242900280806173
2020-04-30,1.023421748349992,1.0324193425562378
2020-05-01,1.0184220214308792,1.027957279497579
2020-05-03,1.012840214993816,1.0227185174118643
2020-05-04,1.0220272636341297,1.0310919719749165
2020-05-05,1.029589507447888,1.0377335451702125
2020-05-06,1.024871198258697,1.0328048843622866
2020-05-07,1.0217509450649969,1.030291966272487
2020-05-08,1.034206297341586,1.0416771725842457
2020-05-10,1.0335941662651444,1.0409505898223217
2020-05-11,1.0327232397412405,1.039901741300517
2020-05-12,1.0227367717113975,1.0309994301758496
2020-05-13,1.0196773852787835,1.0283529142614414
2020-05-14,1.0210571173853709,1.0302140494822987
2020-05-15,1.0242748524213354,1.0330036972850132
2020-05-17,1.025161559611198,1.0338749207093523
2020-05-18,1.0435380518210506,1.0503851031283966
2020-05-19,1.0323319384986989,1.039991029887963
2020-05-20,1.0373522367373695,1.0449136772951944
2020-05-21,1.0371965169770405,1.0448607798448513
2020-05-22,1.0358035949938296,1.0436531415566115
2020-05-24,1.0360943452477693,1.043901999045662
2020-05-25,1.0376915302774645,1.045511721464778
2020-05-26,1.051858240458821,1.058389429576985
2020-05-27,1.0496161425290522,1.0560039122475982
2020-05-28,1.0541613529869969,1.0604162453111066
2020-05-29,1.054976403173986,1.0615206748328103
2020-05-31,1.0561963853531267,1.0623837713902935
2020-06-01,1.0608760776303117,1.0664509340793111
