date,carry_raw
2020-01-06,0.1999999999999993
2020-01-07,0.29999999999999716
2020-01-08,0.3000000000000007
2020-01-09,0.34999999999999964
2020-01-10,0.34999999999999787
2020-01-13,0.3999999999999986
2020-01-14,0.4499999999999993
2020-01-15,0.40000000000000036
2020-01-16,0.45000000000000107
2020-01-17,0.45000000000000107
2020-01-21,0.4499999999999993
2020-01-22,0.5500000000000007
2020-01-23,0.6000000000000014
2020-01-24,0.4499999999999993
2020-01-27,0.20000000000000284
2020-01-28,0.25
2020-01-29,0.3099999999999987
2020-01-30,0.3000000000000007
2020-01-31,0.09999999999999787
2020-02-03,0.05000000000000071
2020-02-04,0.25
2020-02-05,0.40000000000000213
2020-02-06,0.3999999999999986
2020-02-07,0.5
2020-02-10,0.5
2020-02-11,0.5500000000000007
2020-02-12,0.7999999999999989
2020-02-13,0.7499999999999982
2020-02-14,0.6999999999999993
2020-02-18,0.7000000000000011
2020-02-19,0.20000000000000284
2020-02-20,0.0
2020-02-21,-0.14999999999999858
2020-02-24,-0.9499999999999993
2020-02-25,-1.3000000000000007
2020-02-26,-1.25
2020-02-27,-1.75
2020-02-28,-1.75
2020-03-02,-2.049999999999997
2020-03-03,-2.700000000000003
2020-03-04,-2.25
2020-03-05,-2.8500000000000014
2020-03-06,-4.049999999999997
2020-03-09,-6.149999999999999
2020-03-10,-5.25
2020-03-11,-6.350000000000001
2020-03-12,-9.25
2020-03-13,-9.369999999999997
2020-03-16,-14.269999999999996
2020-03-17,-12.729999999999997
2020-03-18,-8.43
2020-03-19,-8.579999999999998
2020-03-20,-6.900000000000006
2020-03-23,-4.979999999999997
2020-03-24,-4.449999999999996
2020-03-25,-5.280000000000001
2020-03-26,-4.119999999999997
2020-03-27,-5.3799999999999955
2020-03-30,-4.57
2020-03-31,-3.700000000000003
2020-04-01,-4.25
2020-04-02,-3.6799999999999997
2020-04-03,-2.969999999999999
2020-04-06,-2.049999999999997
2020-04-07,-3.0
2020-04-08,-2.219999999999999
2020-04-09,-2.280000000000001
2020-04-13,-2.3000000000000043
2020-04-14,-0.9299999999999997
2020-04-15,-1.5
2020-04-16,-1.3500000000000014
2020-04-17,-1.1499999999999986
2020-04-20,-1.7999999999999972
2020-04-21,-2.25
2020-04-22,-1.9500000000000028
2020-04-23,-2.049999999999997
2020-04-24,-1.3999999999999986
2020-04-27,-0.8999999999999986
2020-04-28,-1.0499999999999972
2020-04-29,-0.6500000000000021
2020-04-30,-1.1499999999999986
2020-05-01,-1.75
2020-05-04,-1.25
2020-05-05,-0.9500000000000028
2020-05-06,-1.0
2020-05-07,-0.5500000000000043
2020-05-08,-0.15000000000000213
2020-05-11,0.3999999999999986
2020-05-12,-0.6000000000000014
2020-05-13,-1.1000000000000014
2020-05-14,-0.29999999999999716
2020-05-15,-0.14999999999999858
2020-05-18,0.29999999999999716
2020-05-19,-0.29999999999999716
2020-05-20,-0.25
2020-05-21,-0.3999999999999986
2020-05-22,-0.2799999999999976
2020-05-26,-0.3000000000000007
2020-05-27,-0.25
2020-05-28,-0.4499999999999993
2020-05-29,-0.14999999999999858
2020-06-01,-0.3000000000000007
2020-06-02,-0.15000000000000213
2020-06-03,-0.04999999999999716
2020-06-04,-0.05000000000000071
2020-06-05,0.05000000000000071
2020-06-08,0.0
2020-06-09,-0.4799999999999969
2020-06-10,-0.23000000000000043
2020-06-11,-2.8999999999999986
2020-06-12,-1.1499999999999986
2020-06-15,-0.9499999999999957
2020-06-16,-0.4000000000000057
2020-06-17,-0.6000000000000014
2020-06-18,-0.45000000000000284
2020-06-19,-0.5
2020-06-22,0.05000000000000071
2020-06-23,-0.1999999999999993
2020-06-24,-0.25
2020-06-25,0.0
2020-06-26,-0.25
2020-06-29,-0.04999999999999716
2020-06-30,-0.04999999999999716
2020-07-01,0.10000000000000142
2020-07-02,0.15000000000000213
2020-07-06,0.08000000000000185
2020-07-07,-0.09999999999999787
2020-07-08,0.10000000000000142
2020-07-09,0.16999999999999815
2020-07-10,0.5500000000000007
2020-07-13,0.25
2020-07-14,0.3999999999999986
2020-07-15,0.8000000000000007
2020-07-16,0.7999999999999972
2020-07-17,1.1999999999999993
2020-07-20,1.4499999999999993
2020-07-21,1.5
2020-07-22,2.120000000000001
2020-07-23,1.8999999999999986
2020-07-24,2.0
2020-07-27,2.200000000000003
2020-07-28,2.349999999999998
2020-07-29,2.4499999999999993
2020-07-30,2.3500000000000014
2020-07-31,2.5000000000000036
2020-08-03,2.4700000000000024
2020-08-04,2.5500000000000007
2020-08-05,2.650000000000002
2020-08-06,2.5500000000000007
2020-08-07,2.700000000000003
2020-08-10,2.900000000000002
2020-08-11,2.8000000000000007
2020-08-12,3.150000000000002
2020-08-13,3.200000000000003
2020-08-14,3.0700000000000003
2020-08-17,3.3000000000000007
2020-08-18,3.349999999999998
2020-08-19,-0.6999999999999993
2020-08-20,-0.6500000000000021
2020-08-21,-0.6999999999999993
2020-08-24,-0.6799999999999997
2020-08-25,-0.6500000000000021
2020-08-26,-0.75
2020-08-27,-1.0999999999999979
2020-08-28,-1.2300000000000004
2020-08-31,-1.5999999999999979
2020-09-01,-1.6500000000000021
2020-09-02,-1.6999999999999957
2020-09-03,-3.8800000000000026
2020-09-04,-2.3800000000000026
2020-09-08,-2.8000000000000043
2020-09-09,-1.8999999999999986
2020-09-10,-1.8000000000000007
2020-09-11,-1.3000000000000007
2020-09-14,-1.2300000000000004
2020-09-15,-0.10000000000000142
2020-09-16,-0.8000000000000007
2020-09-17,-0.4299999999999997
2020-09-18,-0.6499999999999986
