date,profile,regime
2025-02-21,H,NORMAL
2025-02-28,H,NORMAL
2025-03-07,H,NORMAL
2025-03-14,H,NORMAL
2025-03-21,H,NORMAL
2025-03-28,H,NORMAL
2025-04-04,H,NORMAL
2025-04-11,H,NORMAL
2025-04-18,H,NORMAL
2025-04-25,H,NORMAL
2025-05-02,H,NORMAL
2025-05-09,H,NORMAL
2025-05-16,H,NORMAL
2025-05-23,H,NORMAL
2025-05-30,H,NORMAL
2025-06-06,H,NORMAL
2025-06-13,H,NORMAL
2025-06-20,H,NORMAL
2025-06-27,H,NORMAL
2025-07-04,H,NORMAL
2025-07-11,H,NORMAL
2025-07-18,H,NORMAL
2025-07-25,H,NORMAL
2025-08-01,H,NORMAL
2025-08-08,H,NORMAL
2025-08-15,H,NORMAL
2025-08-22,H,NORMAL
2025-08-29,H,NORMAL
2025-09-05,H,NORMAL
2025-09-12,H,NORMAL
2025-09-19,H,NORMAL
2025-09-26,H,NORMAL
2025-10-03,H,NORMAL
2025-10-10,H,NORMAL
2025-10-17,H,NORMAL
2025-10-24,H,NORMAL
2025-10-31,H,NORMAL
