date,multiplier,profile
2024-05-17,1.00000000,H
2024-05-24,1.00000000,H
2024-05-31,0.91328125,H
2024-06-07,0.86126270,H
2024-06-14,0.96640882,H
2024-06-21,0.99402149,H
2024-06-28,0.99893595,H
2024-07-05,0.93418562,H
2024-07-12,0.93060823,H
2024-07-19,0.88511069,H
2024-07-26,0.97065325,H
2024-08-02,0.99477691,H
2024-08-09,0.91235165,H
2024-08-16,0.96363632,H
2024-08-23,0.95602805,H
2024-08-30,0.86887071,H
2024-09-06,0.91898358,H
2024-09-13,0.98558082,H
2024-09-20,0.99743370,H
2024-09-27,0.99954325,H
2024-10-04,0.99991871,H
2024-10-11,0.99998553,H
2024-10-18,0.99999742,H
2024-10-25,0.99999954,H
2024-11-01,0.99999992,H
2024-11-08,0.99999999,H
2024-11-15,0.93437500,H
2024-11-22,0.86501694,H
2024-11-29,0.85267269,H
2024-12-06,0.85047568,H
2024-12-13,0.97338788,H
2024-12-20,0.99526362,H
2024-12-27,0.99915703,H
2025-01-03,0.99984997,H
2025-01-10,0.99997330,H
2025-01-17,0.99999525,H
2025-01-24,0.99999915,H
2025-01-31,0.99999985,H
2025-02-07,0.99999997,H
2025-02-14,1.00000000,H
2025-02-21,1.00000000,H
2025-02-28,1.00000000,H
2025-03-07,1.00000000,H
2025-03-14,1.00000000,H
2025-03-21,0.96250000,H
2025-03-28,0.87002258,H
2025-04-04,0.87002258,H
2025-04-11,0.87002258,H
2025-04-18,0.87002258,H
2025-04-25,0.87002258,H
2025-05-02,0.87002258,H
2025-05-09,0.87002258,H
2025-05-16,0.87002258,H
2025-05-23,0.87002258,H
2025-05-30,0.87002258,H
2025-06-06,0.87002258,H
2025-06-13,0.87002258,H
2025-06-20,0.87002258,H
2025-06-27,0.87002258,H
2025-07-04,0.87002258,H
2025-07-11,0.87002258,H
2025-07-18,0.87002258,H
2025-07-25,0.87002258,H
2025-08-01,0.87002258,H
2025-08-08,0.87002258,H
2025-08-15,0.87002258,H
2025-08-22,0.87002258,H
2025-08-29,0.87002258,H
2025-09-05,0.87002258,H
2025-09-12,0.87002258,H
2025-09-19,0.87002258,H
2025-09-26,0.87002258,H
2025-10-03,0.87002258,H
2025-10-10,0.87002258,H
2025-10-17,0.87002258,H
2025-10-24,0.87002258,H
2025-10-31,0.87002258,H
